section,characteristic,site,reader_site,previous_display,current_display,comparison_status,difference_reason,denominator_definition,placement,n_participants,n_participant_days,n_observations
Data collection,Screened days,BAUA,Dortmund (DE),"174d(g:106d, c:163d)",Near-eye 107; chest 114,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,107,
Data collection,Screened days,MPI,Tübingen (DE),"150d(g:150d, c:0d)",Near-eye 150; chest 0,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,150,
Data collection,Screened days,TUM,Munich (DE),"80d(g:60d, c:80d)",Near-eye 60; chest 60,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,60,
Data collection,Screened days,FUSPCEU,Madrid (ES),"179d(g:127d, c:174d)",Near-eye 129; chest 123,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,129,
Data collection,Screened days,IZTECH,Izmir (TR),"140d(g:102d, c:140d)",Near-eye 101; chest 102,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,101,
Data collection,Screened days,UCR,San José (CR),"312d(g:30d, c:312d)",Near-eye 32; chest 230,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,32,
Data collection,Screened days,KNUST,Kumasi (GH),"119d(g:80d, c:118d)",Near-eye 81; chest 84,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,81,
Data collection,Collection dates,Overall,Overall,,23/08/14–25/10/20; n=1478 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,RISE,Borås (SE),,25/03/03–25/10/20; n=137 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,THUAS,Delft (NL),,25/02/21–25/10/14; n=125 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,BAUA,Dortmund (DE),,25/06/10–25/10/20; n=176 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,MPI,Tübingen (DE),,23/08/14–23/11/13; n=208 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,TUM,Munich (DE),,24/05/13–24/07/29; n=80 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,FUSPCEU,Madrid (ES),,24/10/07–25/02/10; n=182 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,IZTECH,Izmir (TR),,24/12/23–25/06/02; n=138 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,UCR,San José (CR),,25/06/16–25/09/07; n=312 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,KNUST,Kumasi (GH),,24/10/07–25/02/03; n=120 participant-days,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,Overall,Overall,"13h 14m(10h 37m, 18h 11m)",13.25 h (10.62–18.20); n=1478 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,RISE,Borås (SE),"14h 48m(11h 48m, 20h 29m)",14.81 h (11.80–20.49); n=137 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,THUAS,Delft (NL),"13h 59m(11h 52m, 18h 5m)",14.00 h (11.88–18.09); n=125 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,BAUA,Dortmund (DE),"17h 52m(11h 45m, 18h 13m)",17.88 h (11.76–18.22); n=176 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,MPI,Tübingen (DE),"12h 3m(10h 32m, 15h 24m)",12.07 h (10.55–15.41); n=208 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,TUM,Munich (DE),"17h 12m(16h 27m, 17h 26m)",17.20 h (16.45–17.45); n=80 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,FUSPCEU,Madrid (ES),"11h 49s(10h 21m, 12h 13m)",11.01 h (10.35–12.22); n=182 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,IZTECH,Izmir (TR),"13h 5m(10h 31m, 15h 33m)",13.13 h (10.52–15.57); n=138 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,UCR,San José (CR),"13h 20m(13h 24s, 13h 28m)",13.34 h (13.01–13.47); n=312 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,KNUST,Kumasi (GH),"12h 32m(12h 29m, 12h 41m)",12.54 h (12.49–12.68); n=120 participant-days,DISPLAY_CHANGED,The updated cell uses verified civil dawn/dusk context for the union of all available non-all-zero participant-days across the whole roster.,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Participant information,Age,Overall,Overall,"28yr(18yr, 68yr)",28 y (21 y–52 y); n=191 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,191,,
Participant information,Age,RISE,Borås (SE),"38yr(21yr, 68yr)",38 y (22.6 y–64.8 y); n=17 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Age,THUAS,Delft (NL),"30yr(19yr, 59yr)",30.5 y (19.9 y–57.1 y); n=20 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,20,,
Participant information,Age,BAUA,Dortmund (DE),"36yr(18yr, 62yr)",35.5 y (20.1 y–58.5 y); n=24 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,24,,
Participant information,Age,MPI,Tübingen (DE),"27yr(22yr, 46yr)",27 y (22 y–37 y); n=26 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,26,,
Participant information,Age,TUM,Munich (DE),"28yr(20yr, 29yr)",27.5 y (22.2 y–29 y); n=10 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,10,,
Participant information,Age,FUSPCEU,Madrid (ES),"31yr(20yr, 56yr)",31 y (20.2 y–54.3 y); n=23 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,23,,
Participant information,Age,IZTECH,Izmir (TR),"24yr(21yr, 32yr)",24 y (21 y–29.6 y); n=17 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Age,UCR,San José (CR),"34yr(22yr, 52yr)",34 y (22 y–48.1 y); n=39 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,39,,
Participant information,Age,KNUST,Kumasi (GH),"23yr(18yr, 25yr)",23 y (20.1 y–25 y); n=15 participants,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Sex,Overall,Overall,105F/86M,Female 105 / Male 86; n=191,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,191,,
Participant information,Sex,RISE,Borås (SE),6F/11M,Female 6 / Male 11; n=17,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,17,,
Participant information,Sex,THUAS,Delft (NL),8F/12M,Female 8 / Male 12; n=20,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,20,,
Participant information,Sex,BAUA,Dortmund (DE),13F/11M,Female 13 / Male 11; n=24,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,24,,
Participant information,Sex,MPI,Tübingen (DE),14F/12M,Female 14 / Male 12; n=26,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,26,,
Participant information,Sex,TUM,Munich (DE),6F/4M,Female 6 / Male 4; n=10,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,10,,
Participant information,Sex,FUSPCEU,Madrid (ES),15F/8M,Female 15 / Male 8; n=23,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,23,,
Participant information,Sex,IZTECH,Izmir (TR),11F/6M,Female 11 / Male 6; n=17,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,17,,
Participant information,Sex,UCR,San José (CR),24F/15M,Female 24 / Male 15; n=39,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,39,,
Participant information,Sex,KNUST,Kumasi (GH),8F/7M,Female 8 / Male 7; n=15,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster participants with normalized sex,mixed_or_not_applicable,15,,
Participant information,Gender,Overall,Overall,,Woman 106 / Man 84 / Non-binary 1; n=191,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,191,,
Participant information,Gender,RISE,Borås (SE),,Woman 6 / Man 11 / Non-binary 0; n=17,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,17,,
Participant information,Gender,THUAS,Delft (NL),,Woman 9 / Man 10 / Non-binary 1; n=20,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,20,,
Participant information,Gender,BAUA,Dortmund (DE),,Woman 13 / Man 11 / Non-binary 0; n=24,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,24,,
Participant information,Gender,MPI,Tübingen (DE),,Woman 14 / Man 12 / Non-binary 0; n=26,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,26,,
Participant information,Gender,TUM,Munich (DE),,Woman 6 / Man 4 / Non-binary 0; n=10,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,10,,
Participant information,Gender,FUSPCEU,Madrid (ES),,Woman 15 / Man 8 / Non-binary 0; n=23,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,23,,
Participant information,Gender,IZTECH,Izmir (TR),,Woman 11 / Man 6 / Non-binary 0; n=17,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,17,,
Participant information,Gender,UCR,San José (CR),,Woman 24 / Man 15 / Non-binary 0; n=39,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,39,,
Participant information,Gender,KNUST,Kumasi (GH),,Woman 8 / Man 7 / Non-binary 0; n=15,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster participants with normalized gender,mixed_or_not_applicable,15,,
Participant information,Employment status,Overall,Overall,163F/26P/2N,Full/studying 163 / Part/marginal 26 / Not employed 2; n=191,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,191,,
Participant information,Employment status,RISE,Borås (SE),16F/1N,Full/studying 16 / Part/marginal 0 / Not employed 1; n=17,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,17,,
Participant information,Employment status,THUAS,Delft (NL),11F/9P,Full/studying 11 / Part/marginal 9 / Not employed 0; n=20,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,20,,
Participant information,Employment status,BAUA,Dortmund (DE),21F/3P,Full/studying 21 / Part/marginal 3 / Not employed 0; n=24,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,24,,
Participant information,Employment status,MPI,Tübingen (DE),23F/3P,Full/studying 23 / Part/marginal 3 / Not employed 0; n=26,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,26,,
Participant information,Employment status,TUM,Munich (DE),9F/1P,Full/studying 9 / Part/marginal 1 / Not employed 0; n=10,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,10,,
Participant information,Employment status,FUSPCEU,Madrid (ES),21F/2P,Full/studying 21 / Part/marginal 2 / Not employed 0; n=23,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,23,,
Participant information,Employment status,IZTECH,Izmir (TR),15F/2P,Full/studying 15 / Part/marginal 2 / Not employed 0; n=17,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,17,,
Participant information,Employment status,UCR,San José (CR),34F/5P,Full/studying 34 / Part/marginal 5 / Not employed 0; n=39,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,39,,
Participant information,Employment status,KNUST,Kumasi (GH),13F/1P/1N,Full/studying 13 / Part/marginal 1 / Not employed 1; n=15,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,15,,
Participant information,Chronotype group,Overall,Overall,62m/94i/30e,Morning 62 / Intermediate 94 / Evening 30; n=186,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,186,,
Participant information,Chronotype group,RISE,Borås (SE),8m/4i/5e,Morning 8 / Intermediate 4 / Evening 5; n=17,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,17,,
Participant information,Chronotype group,THUAS,Delft (NL),3m/9i/3e,Morning 3 / Intermediate 9 / Evening 3; n=15,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,15,,
Participant information,Chronotype group,BAUA,Dortmund (DE),8m/13i/3e,Morning 8 / Intermediate 13 / Evening 3; n=24,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,24,,
Participant information,Chronotype group,MPI,Tübingen (DE),9m/9i/8e,Morning 9 / Intermediate 9 / Evening 8; n=26,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,26,,
Participant information,Chronotype group,TUM,Munich (DE),8i/2e,Morning 0 / Intermediate 8 / Evening 2; n=10,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,10,,
Participant information,Chronotype group,FUSPCEU,Madrid (ES),5m/17i/1e,Morning 5 / Intermediate 17 / Evening 1; n=23,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,23,,
Participant information,Chronotype group,IZTECH,Izmir (TR),2m/10i/5e,Morning 2 / Intermediate 10 / Evening 5; n=17,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,17,,
Participant information,Chronotype group,UCR,San José (CR),16m/20i/3e,Morning 16 / Intermediate 20 / Evening 3; n=39,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,39,,
Participant information,Chronotype group,KNUST,Kumasi (GH),11m/4i,Morning 11 / Intermediate 4 / Evening 0; n=15,DISPLAY_CHANGED,"The familiar characteristic is retained, but the updated value is based on normalized metadata for the whole participant roster and states its available-participant denominator.",Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,15,,
Participant information,Sleep-corrected midsleep on free days,Overall,Overall,"04:02(02:07, 06:14)",04:03 (02:08–06:15); n=185 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,185,,
Participant information,Sleep-corrected midsleep on free days,RISE,Borås (SE),"02:55(02:04, 05:08)",02:55 (02:04–05:09); n=17 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,17,,
Participant information,Sleep-corrected midsleep on free days,THUAS,Delft (NL),"04:31(03:04, 05:36)",04:31 (03:05–05:37); n=15 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,15,,
Participant information,Sleep-corrected midsleep on free days,BAUA,Dortmund (DE),"03:47(02:17, 04:49)",03:47 (02:17–04:49); n=24 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,24,,
Participant information,Sleep-corrected midsleep on free days,MPI,Tübingen (DE),"04:33(02:40, 06:04)",04:33 (02:41–06:04); n=26 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,26,,
Participant information,Sleep-corrected midsleep on free days,TUM,Munich (DE),"05:07(04:11, 06:03)",05:08 (04:12–06:04); n=10 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,10,,
Participant information,Sleep-corrected midsleep on free days,FUSPCEU,Madrid (ES),"04:48(03:10, 06:52)",04:48 (03:10–06:52); n=22 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,22,,
Participant information,Sleep-corrected midsleep on free days,IZTECH,Izmir (TR),"05:28(03:34, 06:49)",05:29 (03:35–06:49); n=17 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,17,,
Participant information,Sleep-corrected midsleep on free days,UCR,San José (CR),"03:42(02:16, 05:30)",03:42 (02:17–05:31); n=39 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,39,,
Participant information,Sleep-corrected midsleep on free days,KNUST,Kumasi (GH),"02:19(01:21, 03:25)",02:19 (01:22–03:25); n=15 participants,DISPLAY_CHANGED,"The updated cell uses the whole participant roster and circular clock-time summaries. During rebuilding, a quantile-argument typo was found and repaired before final output.",Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,15,,
Participant information,Morningness–Eveningness Questionnaire score,Overall,Overall,,54 (35–69.8); n=186 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,186,,
Participant information,Morningness–Eveningness Questionnaire score,RISE,Borås (SE),,58 (34–71.4); n=17 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Morningness–Eveningness Questionnaire score,THUAS,Delft (NL),,49 (38.4–61.3); n=15 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Morningness–Eveningness Questionnaire score,BAUA,Dortmund (DE),,51.5 (40.1–70.2); n=24 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,24,,
Participant information,Morningness–Eveningness Questionnaire score,MPI,Tübingen (DE),,49 (33–68.2); n=26 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,26,,
Participant information,Morningness–Eveningness Questionnaire score,TUM,Munich (DE),,44.5 (37.7–57.5); n=10 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,10,,
Participant information,Morningness–Eveningness Questionnaire score,FUSPCEU,Madrid (ES),,52 (42–66.8); n=23 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,23,,
Participant information,Morningness–Eveningness Questionnaire score,IZTECH,Izmir (TR),,52 (31.6–60.4); n=17 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
