site,category_code,local_clock_hour,n_intervals,n_participants,n_participant_days,category_order,category_label
BAUA,daylight_indoor,3,0,0,0,3,Daylight indoors
BAUA,daylight_indoor,4,1,1,1,3,Daylight indoors
BAUA,daylight_indoor,5,6,4,6,3,Daylight indoors
BAUA,daylight_indoor,6,32,10,32,3,Daylight indoors
BAUA,daylight_indoor,7,36,13,36,3,Daylight indoors
BAUA,daylight_indoor,8,66,20,66,3,Daylight indoors
BAUA,daylight_indoor,9,92,22,92,3,Daylight indoors
BAUA,daylight_indoor,10,93,21,93,3,Daylight indoors
BAUA,daylight_indoor,11,93,21,93,3,Daylight indoors
BAUA,daylight_indoor,12,81,21,81,3,Daylight indoors
BAUA,daylight_indoor,13,86,21,86,3,Daylight indoors
BAUA,daylight_indoor,14,77,22,77,3,Daylight indoors
BAUA,daylight_indoor,15,71,20,71,3,Daylight indoors
BAUA,daylight_indoor,16,68,21,68,3,Daylight indoors
BAUA,daylight_indoor,17,72,21,72,3,Daylight indoors
BAUA,daylight_indoor,18,65,19,65,3,Daylight indoors
BAUA,daylight_indoor,19,61,17,61,3,Daylight indoors
BAUA,daylight_indoor,20,52,17,52,3,Daylight indoors
BAUA,daylight_indoor,21,41,14,41,3,Daylight indoors
BAUA,daylight_indoor,22,15,10,15,3,Daylight indoors
BAUA,daylight_indoor,23,4,3,4,3,Daylight indoors
FUSPCEU,daylight_indoor,0,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,1,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,2,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,3,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,4,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,5,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,6,0,0,0,3,Daylight indoors
FUSPCEU,daylight_indoor,7,7,3,7,3,Daylight indoors
FUSPCEU,daylight_indoor,8,27,14,27,3,Daylight indoors
FUSPCEU,daylight_indoor,9,54,18,54,3,Daylight indoors
FUSPCEU,daylight_indoor,10,63,21,63,3,Daylight indoors
FUSPCEU,daylight_indoor,11,58,20,58,3,Daylight indoors
FUSPCEU,daylight_indoor,12,59,21,59,3,Daylight indoors
FUSPCEU,daylight_indoor,13,54,20,54,3,Daylight indoors
FUSPCEU,daylight_indoor,14,59,21,59,3,Daylight indoors
FUSPCEU,daylight_indoor,15,63,22,63,3,Daylight indoors
FUSPCEU,daylight_indoor,16,67,22,67,3,Daylight indoors
FUSPCEU,daylight_indoor,17,51,20,51,3,Daylight indoors
FUSPCEU,daylight_indoor,18,35,14,35,3,Daylight indoors
FUSPCEU,daylight_indoor,19,15,11,15,3,Daylight indoors
FUSPCEU,daylight_indoor,20,10,7,10,3,Daylight indoors
FUSPCEU,daylight_indoor,21,5,5,5,3,Daylight indoors
FUSPCEU,daylight_indoor,22,2,2,2,3,Daylight indoors
FUSPCEU,daylight_indoor,23,2,2,2,3,Daylight indoors
IZTECH,daylight_indoor,0,1,1,1,3,Daylight indoors
IZTECH,daylight_indoor,1,0,0,0,3,Daylight indoors
IZTECH,daylight_indoor,2,0,0,0,3,Daylight indoors
IZTECH,daylight_indoor,3,1,1,1,3,Daylight indoors
IZTECH,daylight_indoor,4,1,1,1,3,Daylight indoors
IZTECH,daylight_indoor,5,2,1,2,3,Daylight indoors
IZTECH,daylight_indoor,6,9,3,9,3,Daylight indoors
IZTECH,daylight_indoor,7,14,5,14,3,Daylight indoors
IZTECH,daylight_indoor,8,32,12,32,3,Daylight indoors
IZTECH,daylight_indoor,9,59,16,59,3,Daylight indoors
IZTECH,daylight_indoor,10,74,16,74,3,Daylight indoors
IZTECH,daylight_indoor,11,65,16,65,3,Daylight indoors
IZTECH,daylight_indoor,12,59,16,59,3,Daylight indoors
IZTECH,daylight_indoor,13,54,15,54,3,Daylight indoors
IZTECH,daylight_indoor,14,59,16,59,3,Daylight indoors
IZTECH,daylight_indoor,15,67,16,67,3,Daylight indoors
IZTECH,daylight_indoor,16,72,16,72,3,Daylight indoors
IZTECH,daylight_indoor,17,60,14,60,3,Daylight indoors
IZTECH,daylight_indoor,18,48,12,48,3,Daylight indoors
IZTECH,daylight_indoor,19,25,8,25,3,Daylight indoors
IZTECH,daylight_indoor,20,1,1,1,3,Daylight indoors
IZTECH,daylight_indoor,21,2,2,2,3,Daylight indoors
IZTECH,daylight_indoor,22,1,1,1,3,Daylight indoors
IZTECH,daylight_indoor,23,1,1,1,3,Daylight indoors
KNUST,daylight_indoor,0,0,0,0,3,Daylight indoors
KNUST,daylight_indoor,1,0,0,0,3,Daylight indoors
KNUST,daylight_indoor,2,0,0,0,3,Daylight indoors
KNUST,daylight_indoor,3,0,0,0,3,Daylight indoors
KNUST,daylight_indoor,4,2,1,2,3,Daylight indoors
KNUST,daylight_indoor,5,2,1,2,3,Daylight indoors
KNUST,daylight_indoor,6,19,9,19,3,Daylight indoors
KNUST,daylight_indoor,7,26,10,26,3,Daylight indoors
KNUST,daylight_indoor,8,30,12,30,3,Daylight indoors
KNUST,daylight_indoor,9,27,11,27,3,Daylight indoors
KNUST,daylight_indoor,10,29,14,29,3,Daylight indoors
KNUST,daylight_indoor,11,33,14,33,3,Daylight indoors
KNUST,daylight_indoor,12,31,14,31,3,Daylight indoors
KNUST,daylight_indoor,13,35,13,35,3,Daylight indoors
KNUST,daylight_indoor,14,27,12,27,3,Daylight indoors
KNUST,daylight_indoor,15,31,12,31,3,Daylight indoors
KNUST,daylight_indoor,16,29,12,29,3,Daylight indoors
KNUST,daylight_indoor,17,18,7,18,3,Daylight indoors
KNUST,daylight_indoor,18,2,1,2,3,Daylight indoors
KNUST,daylight_indoor,19,3,1,3,3,Daylight indoors
KNUST,daylight_indoor,20,1,1,1,3,Daylight indoors
KNUST,daylight_indoor,21,2,2,2,3,Daylight indoors
KNUST,daylight_indoor,22,1,1,1,3,Daylight indoors
KNUST,daylight_indoor,23,0,0,0,3,Daylight indoors
MPI,daylight_indoor,0,3,1,3,3,Daylight indoors
MPI,daylight_indoor,1,2,1,2,3,Daylight indoors
MPI,daylight_indoor,2,1,1,1,3,Daylight indoors
MPI,daylight_indoor,3,0,0,0,3,Daylight indoors
MPI,daylight_indoor,4,0,0,0,3,Daylight indoors
MPI,daylight_indoor,5,0,0,0,3,Daylight indoors
MPI,daylight_indoor,6,7,2,7,3,Daylight indoors
MPI,daylight_indoor,7,28,14,28,3,Daylight indoors
MPI,daylight_indoor,8,61,22,61,3,Daylight indoors
MPI,daylight_indoor,9,89,23,89,3,Daylight indoors
MPI,daylight_indoor,10,111,24,111,3,Daylight indoors
MPI,daylight_indoor,11,123,25,123,3,Daylight indoors
MPI,daylight_indoor,12,109,24,109,3,Daylight indoors
MPI,daylight_indoor,13,118,25,118,3,Daylight indoors
MPI,daylight_indoor,14,129,25,129,3,Daylight indoors
MPI,daylight_indoor,15,130,25,130,3,Daylight indoors
MPI,daylight_indoor,16,117,25,117,3,Daylight indoors
MPI,daylight_indoor,17,90,23,90,3,Daylight indoors
MPI,daylight_indoor,18,67,17,67,3,Daylight indoors
MPI,daylight_indoor,19,38,14,38,3,Daylight indoors
MPI,daylight_indoor,20,18,9,18,3,Daylight indoors
MPI,daylight_indoor,21,9,7,9,3,Daylight indoors
MPI,daylight_indoor,22,9,6,9,3,Daylight indoors
MPI,daylight_indoor,23,5,3,5,3,Daylight indoors
RISE,daylight_indoor,0,0,0,0,3,Daylight indoors
RISE,daylight_indoor,1,0,0,0,3,Daylight indoors
RISE,daylight_indoor,2,0,0,0,3,Daylight indoors
RISE,daylight_indoor,3,0,0,0,3,Daylight indoors
RISE,daylight_indoor,4,2,2,2,3,Daylight indoors
RISE,daylight_indoor,5,6,4,6,3,Daylight indoors
RISE,daylight_indoor,6,27,10,27,3,Daylight indoors
RISE,daylight_indoor,7,44,13,44,3,Daylight indoors
RISE,daylight_indoor,8,53,16,53,3,Daylight indoors
RISE,daylight_indoor,9,49,14,49,3,Daylight indoors
RISE,daylight_indoor,10,50,15,50,3,Daylight indoors
RISE,daylight_indoor,11,52,15,52,3,Daylight indoors
RISE,daylight_indoor,12,53,15,53,3,Daylight indoors
RISE,daylight_indoor,13,50,15,50,3,Daylight indoors
RISE,daylight_indoor,14,41,12,41,3,Daylight indoors
RISE,daylight_indoor,15,44,14,44,3,Daylight indoors
RISE,daylight_indoor,16,46,15,46,3,Daylight indoors
RISE,daylight_indoor,17,52,15,52,3,Daylight indoors
RISE,daylight_indoor,18,55,13,55,3,Daylight indoors
RISE,daylight_indoor,19,33,9,33,3,Daylight indoors
RISE,daylight_indoor,20,19,6,19,3,Daylight indoors
RISE,daylight_indoor,21,11,5,11,3,Daylight indoors
RISE,daylight_indoor,22,3,3,3,3,Daylight indoors
RISE,daylight_indoor,23,0,0,0,3,Daylight indoors
THUAS,daylight_indoor,0,0,0,0,3,Daylight indoors
THUAS,daylight_indoor,1,0,0,0,3,Daylight indoors
THUAS,daylight_indoor,2,0,0,0,3,Daylight indoors
THUAS,daylight_indoor,3,0,0,0,3,Daylight indoors
THUAS,daylight_indoor,4,0,0,0,3,Daylight indoors
THUAS,daylight_indoor,5,1,1,1,3,Daylight indoors
THUAS,daylight_indoor,6,13,5,13,3,Daylight indoors
THUAS,daylight_indoor,7,22,8,22,3,Daylight indoors
THUAS,daylight_indoor,8,45,12,45,3,Daylight indoors
THUAS,daylight_indoor,9,38,11,38,3,Daylight indoors
THUAS,daylight_indoor,10,50,14,50,3,Daylight indoors
THUAS,daylight_indoor,11,46,14,46,3,Daylight indoors
THUAS,daylight_indoor,12,35,14,35,3,Daylight indoors
THUAS,daylight_indoor,13,36,14,36,3,Daylight indoors
THUAS,daylight_indoor,14,37,13,37,3,Daylight indoors
THUAS,daylight_indoor,15,40,14,40,3,Daylight indoors
THUAS,daylight_indoor,16,35,12,35,3,Daylight indoors
THUAS,daylight_indoor,17,38,14,38,3,Daylight indoors
THUAS,daylight_indoor,18,43,12,43,3,Daylight indoors
THUAS,daylight_indoor,19,34,10,34,3,Daylight indoors
THUAS,daylight_indoor,20,29,8,29,3,Daylight indoors
THUAS,daylight_indoor,21,19,6,19,3,Daylight indoors
THUAS,daylight_indoor,22,8,3,8,3,Daylight indoors
THUAS,daylight_indoor,23,3,1,3,3,Daylight indoors
TUM,daylight_indoor,0,1,1,1,3,Daylight indoors
TUM,daylight_indoor,1,1,1,1,3,Daylight indoors
TUM,daylight_indoor,2,0,0,0,3,Daylight indoors
TUM,daylight_indoor,3,0,0,0,3,Daylight indoors
TUM,daylight_indoor,4,0,0,0,3,Daylight indoors
TUM,daylight_indoor,5,0,0,0,3,Daylight indoors
TUM,daylight_indoor,6,1,1,1,3,Daylight indoors
TUM,daylight_indoor,7,11,3,11,3,Daylight indoors
TUM,daylight_indoor,8,14,4,14,3,Daylight indoors
TUM,daylight_indoor,9,26,8,26,3,Daylight indoors
TUM,daylight_indoor,10,43,9,43,3,Daylight indoors
TUM,daylight_indoor,11,49,9,49,3,Daylight indoors
TUM,daylight_indoor,12,46,10,46,3,Daylight indoors
TUM,daylight_indoor,13,46,10,46,3,Daylight indoors
TUM,daylight_indoor,14,43,10,43,3,Daylight indoors
TUM,daylight_indoor,15,45,10,45,3,Daylight indoors
TUM,daylight_indoor,16,40,9,40,3,Daylight indoors
TUM,daylight_indoor,17,41,9,41,3,Daylight indoors
TUM,daylight_indoor,18,33,8,33,3,Daylight indoors
TUM,daylight_indoor,19,32,9,32,3,Daylight indoors
TUM,daylight_indoor,20,16,7,16,3,Daylight indoors
TUM,daylight_indoor,21,7,5,7,3,Daylight indoors
TUM,daylight_indoor,22,3,2,3,3,Daylight indoors
TUM,daylight_indoor,23,2,1,2,3,Daylight indoors
UCR,daylight_indoor,0,4,3,4,3,Daylight indoors
UCR,daylight_indoor,1,1,1,1,3,Daylight indoors
UCR,daylight_indoor,2,1,1,1,3,Daylight indoors
UCR,daylight_indoor,3,1,1,1,3,Daylight indoors
UCR,daylight_indoor,4,1,1,1,3,Daylight indoors
UCR,daylight_indoor,5,28,13,28,3,Daylight indoors
UCR,daylight_indoor,6,84,28,84,3,Daylight indoors
UCR,daylight_indoor,7,130,34,130,3,Daylight indoors
UCR,daylight_indoor,8,137,35,137,3,Daylight indoors
UCR,daylight_indoor,9,147,37,147,3,Daylight indoors
UCR,daylight_indoor,10,144,35,144,3,Daylight indoors
UCR,daylight_indoor,11,133,35,133,3,Daylight indoors
UCR,daylight_indoor,12,132,34,132,3,Daylight indoors
UCR,daylight_indoor,13,139,33,139,3,Daylight indoors
UCR,daylight_indoor,14,131,35,131,3,Daylight indoors
UCR,daylight_indoor,15,133,34,133,3,Daylight indoors
UCR,daylight_indoor,16,112,32,112,3,Daylight indoors
UCR,daylight_indoor,17,68,27,68,3,Daylight indoors
UCR,daylight_indoor,18,21,15,21,3,Daylight indoors
UCR,daylight_indoor,19,12,10,12,3,Daylight indoors
UCR,daylight_indoor,20,11,8,11,3,Daylight indoors
UCR,daylight_indoor,21,14,10,14,3,Daylight indoors
UCR,daylight_indoor,22,5,5,5,3,Daylight indoors
UCR,daylight_indoor,23,6,5,6,3,Daylight indoors
BAUA,daylight_outdoor,0,2,2,2,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,1,1,1,1,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,2,0,0,0,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,4,0,0,0,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,6,3,3,3,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,7,15,6,15,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,8,14,6,14,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,9,12,8,12,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,10,16,11,16,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,11,21,12,21,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,12,29,12,29,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,13,27,12,27,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,14,33,15,33,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,15,53,18,53,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,16,56,19,56,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,17,50,18,50,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,18,48,16,48,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,19,40,14,40,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,20,34,13,34,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,21,21,10,21,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,22,7,5,7,4,Daylight outdoors (including shade)
BAUA,daylight_outdoor,23,4,4,4,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,0,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,1,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,2,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,4,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,6,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,7,3,2,3,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,8,21,11,21,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,9,10,6,10,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,10,5,5,5,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,11,19,15,19,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,12,23,12,23,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,13,25,15,25,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,14,35,17,35,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,15,19,11,19,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,16,19,8,19,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,17,33,15,33,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,18,28,13,28,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,19,15,11,15,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,20,11,5,11,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,21,1,1,1,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,22,0,0,0,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,23,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,0,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,1,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,2,1,1,1,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,4,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,6,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,7,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,8,11,7,11,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,9,14,7,14,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,10,7,5,7,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,11,5,4,5,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,12,12,7,12,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,13,18,10,18,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,14,6,4,6,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,15,10,5,10,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,16,8,7,8,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,17,13,8,13,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,18,11,7,11,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,19,3,3,3,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,20,1,1,1,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,21,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,22,0,0,0,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,23,1,1,1,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,0,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,1,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,2,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,4,1,1,1,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,6,3,2,3,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,7,27,10,27,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,8,35,13,35,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,9,36,13,36,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,10,27,12,27,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,11,18,11,18,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,12,37,15,37,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,13,27,12,27,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,14,28,11,28,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,15,32,14,32,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,16,24,13,24,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,17,24,13,24,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,18,10,6,10,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,19,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,20,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,21,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,22,0,0,0,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,23,0,0,0,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,0,1,1,1,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,1,0,0,0,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,2,0,0,0,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,4,0,0,0,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,6,1,1,1,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,7,5,3,5,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,8,13,6,13,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,9,22,13,22,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,10,18,10,18,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,11,18,13,18,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,12,30,15,30,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,13,33,17,33,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,14,21,14,21,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,15,26,19,26,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,16,28,15,28,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,17,32,18,32,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,18,28,15,28,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,19,20,10,20,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,20,15,6,15,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,21,8,5,8,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,22,1,1,1,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,23,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,0,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,1,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,2,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,4,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,6,2,1,2,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,7,11,5,11,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,8,22,9,22,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,9,13,7,13,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,10,11,9,11,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,11,13,9,13,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,12,13,9,13,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,13,18,10,18,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,14,21,10,21,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,15,24,13,24,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,16,33,14,33,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,17,30,12,30,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,18,20,11,20,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,19,14,6,14,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,20,7,4,7,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,21,4,2,4,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,22,1,1,1,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,23,0,0,0,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,0,2,2,2,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,1,1,1,1,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,2,1,1,1,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,3,1,1,1,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,4,1,1,1,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,5,1,1,1,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,6,3,2,3,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,7,1,1,1,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,8,7,4,7,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,9,14,7,14,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,10,8,7,8,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,11,13,9,13,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,12,25,13,25,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,13,17,10,17,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,14,19,12,19,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,15,24,13,24,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,16,23,11,23,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,17,26,12,26,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,18,22,11,22,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,19,15,9,15,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,20,7,6,7,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,21,7,4,7,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,22,3,2,3,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,23,1,1,1,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,0,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,1,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,2,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,3,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,4,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,5,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,6,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,7,0,0,0,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,8,1,1,1,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,9,3,3,3,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,10,6,5,6,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,11,3,3,3,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,12,11,7,11,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,13,8,5,8,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,14,12,5,12,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,15,11,6,11,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,16,11,8,11,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,17,10,5,10,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,18,14,7,14,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,19,12,7,12,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,20,8,6,8,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,21,4,3,4,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,22,3,2,3,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,23,0,0,0,4,Daylight outdoors (including shade)
UCR,daylight_outdoor,0,0,0,0,4,Daylight outdoors (including shade)
