site,local_clock_hour,activity_cardinality,n_intervals,n_participants,n_participant_days
MPI,6,exactly_one_selected,84,13,84
MPI,6,multiple_selected,4,1,4
MPI,7,all_flags_missing,78,13,78
MPI,7,partially_missing_flags,0,0,0
MPI,7,observed_zero_selected,0,0,0
MPI,7,exactly_one_selected,79,12,79
MPI,7,multiple_selected,9,2,9
MPI,8,all_flags_missing,77,13,77
MPI,8,partially_missing_flags,0,0,0
MPI,8,observed_zero_selected,0,0,0
MPI,8,exactly_one_selected,82,13,82
MPI,8,multiple_selected,6,3,6
MPI,9,all_flags_missing,77,13,77
MPI,9,partially_missing_flags,0,0,0
MPI,9,observed_zero_selected,0,0,0
MPI,9,exactly_one_selected,87,13,87
MPI,9,multiple_selected,1,1,1
MPI,10,all_flags_missing,77,13,77
MPI,10,partially_missing_flags,0,0,0
MPI,10,observed_zero_selected,0,0,0
MPI,10,exactly_one_selected,88,13,88
MPI,10,multiple_selected,0,0,0
MPI,11,all_flags_missing,78,13,78
MPI,11,partially_missing_flags,0,0,0
MPI,11,observed_zero_selected,0,0,0
MPI,11,exactly_one_selected,85,13,85
MPI,11,multiple_selected,4,3,4
MPI,12,all_flags_missing,83,13,83
MPI,12,partially_missing_flags,0,0,0
MPI,12,observed_zero_selected,0,0,0
MPI,12,exactly_one_selected,77,12,77
MPI,12,multiple_selected,0,0,0
MPI,13,all_flags_missing,84,13,84
MPI,13,partially_missing_flags,0,0,0
MPI,13,observed_zero_selected,0,0,0
MPI,13,exactly_one_selected,87,13,87
MPI,13,multiple_selected,2,2,2
MPI,14,all_flags_missing,86,13,86
MPI,14,partially_missing_flags,0,0,0
MPI,14,observed_zero_selected,0,0,0
MPI,14,exactly_one_selected,86,13,86
MPI,14,multiple_selected,3,2,3
MPI,15,all_flags_missing,88,13,88
MPI,15,partially_missing_flags,0,0,0
MPI,15,observed_zero_selected,0,0,0
MPI,15,exactly_one_selected,87,13,87
MPI,15,multiple_selected,3,2,3
MPI,16,all_flags_missing,89,13,89
MPI,16,partially_missing_flags,0,0,0
MPI,16,observed_zero_selected,0,0,0
MPI,16,exactly_one_selected,88,13,88
MPI,16,multiple_selected,2,2,2
MPI,17,all_flags_missing,89,13,89
MPI,17,partially_missing_flags,0,0,0
MPI,17,observed_zero_selected,0,0,0
MPI,17,exactly_one_selected,89,13,89
MPI,17,multiple_selected,2,1,2
MPI,18,all_flags_missing,89,13,89
MPI,18,partially_missing_flags,0,0,0
MPI,18,observed_zero_selected,0,0,0
MPI,18,exactly_one_selected,89,13,89
MPI,18,multiple_selected,2,2,2
MPI,19,all_flags_missing,89,13,89
MPI,19,partially_missing_flags,0,0,0
MPI,19,observed_zero_selected,0,0,0
MPI,19,exactly_one_selected,90,13,90
MPI,19,multiple_selected,1,1,1
MPI,20,all_flags_missing,89,13,89
MPI,20,partially_missing_flags,0,0,0
MPI,20,observed_zero_selected,0,0,0
MPI,20,exactly_one_selected,91,13,91
MPI,20,multiple_selected,0,0,0
MPI,21,all_flags_missing,89,13,89
MPI,21,partially_missing_flags,0,0,0
MPI,21,observed_zero_selected,0,0,0
MPI,21,exactly_one_selected,90,13,90
MPI,21,multiple_selected,1,1,1
MPI,22,all_flags_missing,89,13,89
MPI,22,partially_missing_flags,0,0,0
MPI,22,observed_zero_selected,0,0,0
MPI,22,exactly_one_selected,87,13,87
MPI,22,multiple_selected,4,2,4
MPI,23,all_flags_missing,89,13,89
MPI,23,partially_missing_flags,0,0,0
MPI,23,observed_zero_selected,0,0,0
MPI,23,exactly_one_selected,87,13,87
MPI,23,multiple_selected,4,2,4
RISE,0,all_flags_missing,0,0,0
RISE,0,partially_missing_flags,0,0,0
RISE,0,observed_zero_selected,0,0,0
RISE,0,exactly_one_selected,113,17,113
RISE,0,multiple_selected,10,4,10
RISE,1,all_flags_missing,0,0,0
RISE,1,partially_missing_flags,0,0,0
RISE,1,observed_zero_selected,0,0,0
RISE,1,exactly_one_selected,120,17,120
RISE,1,multiple_selected,3,3,3
RISE,2,all_flags_missing,0,0,0
RISE,2,partially_missing_flags,0,0,0
RISE,2,observed_zero_selected,0,0,0
RISE,2,exactly_one_selected,122,17,122
RISE,2,multiple_selected,0,0,0
RISE,3,all_flags_missing,0,0,0
RISE,3,partially_missing_flags,0,0,0
RISE,3,observed_zero_selected,0,0,0
RISE,3,exactly_one_selected,123,17,123
RISE,3,multiple_selected,0,0,0
RISE,4,all_flags_missing,0,0,0
RISE,4,partially_missing_flags,0,0,0
RISE,4,observed_zero_selected,0,0,0
RISE,4,exactly_one_selected,123,17,123
RISE,4,multiple_selected,0,0,0
RISE,5,all_flags_missing,0,0,0
RISE,5,partially_missing_flags,0,0,0
RISE,5,observed_zero_selected,0,0,0
RISE,5,exactly_one_selected,116,17,116
RISE,5,multiple_selected,7,5,7
RISE,6,all_flags_missing,0,0,0
RISE,6,partially_missing_flags,0,0,0
RISE,6,observed_zero_selected,0,0,0
RISE,6,exactly_one_selected,100,17,100
RISE,6,multiple_selected,24,7,24
RISE,7,all_flags_missing,0,0,0
RISE,7,partially_missing_flags,0,0,0
RISE,7,observed_zero_selected,0,0,0
RISE,7,exactly_one_selected,111,17,111
RISE,7,multiple_selected,13,6,13
RISE,8,all_flags_missing,0,0,0
RISE,8,partially_missing_flags,0,0,0
RISE,8,observed_zero_selected,0,0,0
RISE,8,exactly_one_selected,109,17,109
RISE,8,multiple_selected,15,8,15
RISE,9,all_flags_missing,0,0,0
RISE,9,partially_missing_flags,0,0,0
RISE,9,observed_zero_selected,0,0,0
RISE,9,exactly_one_selected,107,17,107
RISE,9,multiple_selected,17,11,17
RISE,10,all_flags_missing,0,0,0
RISE,10,partially_missing_flags,0,0,0
RISE,10,observed_zero_selected,0,0,0
RISE,10,exactly_one_selected,111,17,111
RISE,10,multiple_selected,11,6,11
RISE,11,all_flags_missing,0,0,0
RISE,11,partially_missing_flags,0,0,0
RISE,11,observed_zero_selected,0,0,0
RISE,11,exactly_one_selected,99,17,99
RISE,11,multiple_selected,19,9,19
RISE,12,all_flags_missing,1,1,1
RISE,12,partially_missing_flags,0,0,0
RISE,12,observed_zero_selected,0,0,0
RISE,12,exactly_one_selected,90,17,90
RISE,12,multiple_selected,23,10,23
RISE,13,all_flags_missing,0,0,0
RISE,13,partially_missing_flags,0,0,0
RISE,13,observed_zero_selected,0,0,0
RISE,13,exactly_one_selected,96,17,96
RISE,13,multiple_selected,17,10,17
RISE,14,all_flags_missing,0,0,0
RISE,14,partially_missing_flags,0,0,0
RISE,14,observed_zero_selected,0,0,0
RISE,14,exactly_one_selected,107,17,107
RISE,14,multiple_selected,8,5,8
RISE,15,all_flags_missing,0,0,0
RISE,15,partially_missing_flags,0,0,0
RISE,15,observed_zero_selected,0,0,0
RISE,15,exactly_one_selected,95,17,95
RISE,15,multiple_selected,21,8,21
RISE,16,all_flags_missing,0,0,0
RISE,16,partially_missing_flags,0,0,0
RISE,16,observed_zero_selected,0,0,0
RISE,16,exactly_one_selected,99,17,99
RISE,16,multiple_selected,18,9,18
RISE,17,all_flags_missing,0,0,0
RISE,17,partially_missing_flags,0,0,0
RISE,17,observed_zero_selected,0,0,0
RISE,17,exactly_one_selected,100,17,100
RISE,17,multiple_selected,19,8,19
RISE,18,all_flags_missing,0,0,0
RISE,18,partially_missing_flags,0,0,0
RISE,18,observed_zero_selected,0,0,0
RISE,18,exactly_one_selected,104,17,104
RISE,18,multiple_selected,15,10,15
RISE,19,all_flags_missing,0,0,0
RISE,19,partially_missing_flags,0,0,0
RISE,19,observed_zero_selected,0,0,0
RISE,19,exactly_one_selected,110,17,110
RISE,19,multiple_selected,8,6,8
RISE,20,all_flags_missing,0,0,0
RISE,20,partially_missing_flags,0,0,0
RISE,20,observed_zero_selected,0,0,0
RISE,20,exactly_one_selected,112,17,112
RISE,20,multiple_selected,7,6,7
RISE,21,all_flags_missing,0,0,0
RISE,21,partially_missing_flags,0,0,0
RISE,21,observed_zero_selected,0,0,0
RISE,21,exactly_one_selected,111,17,111
RISE,21,multiple_selected,9,3,9
RISE,22,all_flags_missing,0,0,0
RISE,22,partially_missing_flags,0,0,0
RISE,22,observed_zero_selected,0,0,0
RISE,22,exactly_one_selected,98,17,98
RISE,22,multiple_selected,22,9,22
RISE,23,all_flags_missing,0,0,0
RISE,23,partially_missing_flags,0,0,0
RISE,23,observed_zero_selected,0,0,0
RISE,23,exactly_one_selected,111,17,111
RISE,23,multiple_selected,8,3,8
THUAS,0,all_flags_missing,0,0,0
THUAS,0,partially_missing_flags,0,0,0
THUAS,0,observed_zero_selected,26,9,26
THUAS,0,exactly_one_selected,94,13,94
THUAS,0,multiple_selected,1,1,1
THUAS,1,all_flags_missing,0,0,0
THUAS,1,partially_missing_flags,0,0,0
THUAS,1,observed_zero_selected,25,10,25
THUAS,1,exactly_one_selected,93,13,93
THUAS,1,multiple_selected,3,2,3
THUAS,2,all_flags_missing,0,0,0
THUAS,2,partially_missing_flags,0,0,0
THUAS,2,observed_zero_selected,25,10,25
THUAS,2,exactly_one_selected,94,13,94
THUAS,2,multiple_selected,1,1,1
THUAS,3,all_flags_missing,0,0,0
THUAS,3,partially_missing_flags,0,0,0
THUAS,3,observed_zero_selected,25,10,25
THUAS,3,exactly_one_selected,95,13,95
THUAS,3,multiple_selected,1,1,1
THUAS,4,all_flags_missing,0,0,0
THUAS,4,partially_missing_flags,0,0,0
THUAS,4,observed_zero_selected,25,10,25
THUAS,4,exactly_one_selected,95,13,95
THUAS,4,multiple_selected,1,1,1
THUAS,5,all_flags_missing,0,0,0
THUAS,5,partially_missing_flags,0,0,0
THUAS,5,observed_zero_selected,25,10,25
THUAS,5,exactly_one_selected,92,13,92
THUAS,5,multiple_selected,4,2,4
THUAS,6,all_flags_missing,0,0,0
THUAS,6,partially_missing_flags,0,0,0
THUAS,6,observed_zero_selected,23,10,23
THUAS,6,exactly_one_selected,89,14,89
THUAS,6,multiple_selected,9,3,9
THUAS,7,all_flags_missing,0,0,0
THUAS,7,partially_missing_flags,0,0,0
THUAS,7,observed_zero_selected,23,10,23
THUAS,7,exactly_one_selected,80,15,80
THUAS,7,multiple_selected,18,9,18
THUAS,8,all_flags_missing,0,0,0
THUAS,8,partially_missing_flags,0,0,0
THUAS,8,observed_zero_selected,16,10,16
THUAS,8,exactly_one_selected,74,15,74
THUAS,8,multiple_selected,30,8,30
THUAS,9,all_flags_missing,0,0,0
THUAS,9,partially_missing_flags,0,0,0
THUAS,9,observed_zero_selected,15,11,15
THUAS,9,exactly_one_selected,91,15,91
THUAS,9,multiple_selected,14,7,14
THUAS,10,all_flags_missing,0,0,0
THUAS,10,partially_missing_flags,0,0,0
THUAS,10,observed_zero_selected,14,11,14
THUAS,10,exactly_one_selected,96,15,96
THUAS,10,multiple_selected,10,7,10
THUAS,11,all_flags_missing,0,0,0
THUAS,11,partially_missing_flags,0,0,0
THUAS,11,observed_zero_selected,13,10,13
THUAS,11,exactly_one_selected,98,15,98
THUAS,11,multiple_selected,9,7,9
THUAS,12,all_flags_missing,0,0,0
THUAS,12,partially_missing_flags,0,0,0
THUAS,12,observed_zero_selected,17,11,17
THUAS,12,exactly_one_selected,93,15,93
THUAS,12,multiple_selected,10,7,10
THUAS,13,all_flags_missing,0,0,0
THUAS,13,partially_missing_flags,0,0,0
THUAS,13,observed_zero_selected,15,11,15
THUAS,13,exactly_one_selected,89,15,89
THUAS,13,multiple_selected,16,7,16
THUAS,14,all_flags_missing,0,0,0
THUAS,14,partially_missing_flags,0,0,0
THUAS,14,observed_zero_selected,14,10,14
THUAS,14,exactly_one_selected,90,15,90
THUAS,14,multiple_selected,16,8,16
THUAS,15,all_flags_missing,0,0,0
THUAS,15,partially_missing_flags,0,0,0
THUAS,15,observed_zero_selected,15,11,15
THUAS,15,exactly_one_selected,97,15,97
THUAS,15,multiple_selected,9,8,9
THUAS,16,all_flags_missing,0,0,0
THUAS,16,partially_missing_flags,0,0,0
THUAS,16,observed_zero_selected,15,11,15
THUAS,16,exactly_one_selected,91,15,91
THUAS,16,multiple_selected,15,7,15
THUAS,17,all_flags_missing,0,0,0
THUAS,17,partially_missing_flags,0,0,0
THUAS,17,observed_zero_selected,14,12,14
THUAS,17,exactly_one_selected,84,15,84
THUAS,17,multiple_selected,23,9,23
THUAS,18,all_flags_missing,0,0,0
THUAS,18,partially_missing_flags,0,0,0
THUAS,18,observed_zero_selected,11,10,11
THUAS,18,exactly_one_selected,89,15,89
THUAS,18,multiple_selected,20,10,20
THUAS,19,all_flags_missing,0,0,0
THUAS,19,partially_missing_flags,0,0,0
THUAS,19,observed_zero_selected,11,10,11
THUAS,19,exactly_one_selected,94,15,94
THUAS,19,multiple_selected,15,9,15
THUAS,20,all_flags_missing,0,0,0
THUAS,20,partially_missing_flags,0,0,0
THUAS,20,observed_zero_selected,12,10,12
THUAS,20,exactly_one_selected,103,15,103
THUAS,20,multiple_selected,5,4,5
THUAS,21,all_flags_missing,0,0,0
THUAS,21,partially_missing_flags,0,0,0
THUAS,21,observed_zero_selected,13,10,13
THUAS,21,exactly_one_selected,101,15,101
THUAS,21,multiple_selected,6,6,6
THUAS,22,all_flags_missing,0,0,0
THUAS,22,partially_missing_flags,0,0,0
THUAS,22,observed_zero_selected,17,10,17
THUAS,22,exactly_one_selected,95,15,95
THUAS,22,multiple_selected,8,4,8
THUAS,23,all_flags_missing,0,0,0
THUAS,23,partially_missing_flags,0,0,0
THUAS,23,observed_zero_selected,20,10,20
THUAS,23,exactly_one_selected,94,14,94
THUAS,23,multiple_selected,6,6,6
TUM,0,all_flags_missing,0,0,0
TUM,0,partially_missing_flags,0,0,0
TUM,0,observed_zero_selected,0,0,0
TUM,0,exactly_one_selected,70,10,70
TUM,0,multiple_selected,0,0,0
TUM,1,all_flags_missing,0,0,0
TUM,1,partially_missing_flags,0,0,0
TUM,1,observed_zero_selected,0,0,0
TUM,1,exactly_one_selected,70,10,70
TUM,1,multiple_selected,0,0,0
TUM,2,all_flags_missing,0,0,0
TUM,2,partially_missing_flags,0,0,0
TUM,2,observed_zero_selected,0,0,0
TUM,2,exactly_one_selected,70,10,70
TUM,2,multiple_selected,0,0,0
TUM,3,all_flags_missing,0,0,0
TUM,3,partially_missing_flags,0,0,0
TUM,3,observed_zero_selected,0,0,0
TUM,3,exactly_one_selected,69,10,69
TUM,3,multiple_selected,1,1,1
TUM,4,all_flags_missing,0,0,0
TUM,4,partially_missing_flags,0,0,0
TUM,4,observed_zero_selected,0,0,0
TUM,4,exactly_one_selected,70,10,70
TUM,4,multiple_selected,0,0,0
TUM,5,all_flags_missing,0,0,0
TUM,5,partially_missing_flags,0,0,0
TUM,5,observed_zero_selected,0,0,0
TUM,5,exactly_one_selected,70,10,70
TUM,5,multiple_selected,0,0,0
TUM,6,all_flags_missing,0,0,0
TUM,6,partially_missing_flags,0,0,0
TUM,6,observed_zero_selected,0,0,0
TUM,6,exactly_one_selected,70,10,70
TUM,6,multiple_selected,0,0,0
TUM,7,all_flags_missing,0,0,0
TUM,7,partially_missing_flags,0,0,0
TUM,7,observed_zero_selected,0,0,0
TUM,7,exactly_one_selected,70,10,70
TUM,7,multiple_selected,0,0,0
TUM,8,all_flags_missing,0,0,0
TUM,8,partially_missing_flags,0,0,0
TUM,8,observed_zero_selected,0,0,0
TUM,8,exactly_one_selected,70,10,70
TUM,8,multiple_selected,0,0,0
TUM,9,all_flags_missing,0,0,0
TUM,9,partially_missing_flags,0,0,0
TUM,9,observed_zero_selected,0,0,0
TUM,9,exactly_one_selected,69,10,69
TUM,9,multiple_selected,1,1,1
TUM,10,all_flags_missing,0,0,0
TUM,10,partially_missing_flags,0,0,0
TUM,10,observed_zero_selected,0,0,0
TUM,10,exactly_one_selected,69,10,69
TUM,10,multiple_selected,1,1,1
TUM,11,all_flags_missing,0,0,0
TUM,11,partially_missing_flags,0,0,0
TUM,11,observed_zero_selected,0,0,0
TUM,11,exactly_one_selected,69,10,69
TUM,11,multiple_selected,1,1,1
TUM,12,all_flags_missing,0,0,0
TUM,12,partially_missing_flags,0,0,0
TUM,12,observed_zero_selected,0,0,0
TUM,12,exactly_one_selected,69,10,69
TUM,12,multiple_selected,1,1,1
TUM,13,all_flags_missing,0,0,0
TUM,13,partially_missing_flags,0,0,0
TUM,13,observed_zero_selected,0,0,0
TUM,13,exactly_one_selected,69,10,69
TUM,13,multiple_selected,1,1,1
TUM,14,all_flags_missing,0,0,0
TUM,14,partially_missing_flags,0,0,0
TUM,14,observed_zero_selected,0,0,0
TUM,14,exactly_one_selected,70,10,70
TUM,14,multiple_selected,0,0,0
TUM,15,all_flags_missing,0,0,0
TUM,15,partially_missing_flags,0,0,0
TUM,15,observed_zero_selected,0,0,0
TUM,15,exactly_one_selected,67,10,67
TUM,15,multiple_selected,3,1,3
TUM,16,all_flags_missing,0,0,0
TUM,16,partially_missing_flags,0,0,0
TUM,16,observed_zero_selected,0,0,0
TUM,16,exactly_one_selected,68,10,68
TUM,16,multiple_selected,2,2,2
TUM,17,all_flags_missing,0,0,0
TUM,17,partially_missing_flags,0,0,0
TUM,17,observed_zero_selected,0,0,0
TUM,17,exactly_one_selected,69,10,69
TUM,17,multiple_selected,1,1,1
TUM,18,all_flags_missing,0,0,0
TUM,18,partially_missing_flags,0,0,0
TUM,18,observed_zero_selected,0,0,0
TUM,18,exactly_one_selected,68,10,68
TUM,18,multiple_selected,2,2,2
TUM,19,all_flags_missing,0,0,0
TUM,19,partially_missing_flags,0,0,0
TUM,19,observed_zero_selected,0,0,0
TUM,19,exactly_one_selected,70,10,70
TUM,19,multiple_selected,0,0,0
TUM,20,all_flags_missing,0,0,0
TUM,20,partially_missing_flags,0,0,0
TUM,20,observed_zero_selected,0,0,0
TUM,20,exactly_one_selected,70,10,70
TUM,20,multiple_selected,0,0,0
TUM,21,all_flags_missing,0,0,0
TUM,21,partially_missing_flags,0,0,0
TUM,21,observed_zero_selected,0,0,0
TUM,21,exactly_one_selected,69,10,69
TUM,21,multiple_selected,1,1,1
TUM,22,all_flags_missing,0,0,0
TUM,22,partially_missing_flags,0,0,0
TUM,22,observed_zero_selected,0,0,0
TUM,22,exactly_one_selected,70,10,70
TUM,22,multiple_selected,0,0,0
TUM,23,all_flags_missing,0,0,0
TUM,23,partially_missing_flags,0,0,0
TUM,23,observed_zero_selected,0,0,0
TUM,23,exactly_one_selected,70,10,70
TUM,23,multiple_selected,0,0,0
UCR,0,all_flags_missing,0,0,0
UCR,0,partially_missing_flags,0,0,0
UCR,0,observed_zero_selected,0,0,0
UCR,0,exactly_one_selected,241,39,241
UCR,0,multiple_selected,3,3,3
UCR,1,all_flags_missing,0,0,0
UCR,1,partially_missing_flags,0,0,0
UCR,1,observed_zero_selected,0,0,0
UCR,1,exactly_one_selected,242,39,242
UCR,1,multiple_selected,2,2,2
UCR,2,all_flags_missing,0,0,0
UCR,2,partially_missing_flags,0,0,0
UCR,2,observed_zero_selected,0,0,0
UCR,2,exactly_one_selected,243,39,243
UCR,2,multiple_selected,1,1,1
UCR,3,all_flags_missing,0,0,0
UCR,3,partially_missing_flags,0,0,0
UCR,3,observed_zero_selected,0,0,0
UCR,3,exactly_one_selected,243,39,243
UCR,3,multiple_selected,1,1,1
UCR,4,all_flags_missing,0,0,0
UCR,4,partially_missing_flags,0,0,0
UCR,4,observed_zero_selected,0,0,0
UCR,4,exactly_one_selected,238,39,238
UCR,4,multiple_selected,6,4,6
UCR,5,all_flags_missing,0,0,0
UCR,5,partially_missing_flags,0,0,0
UCR,5,observed_zero_selected,0,0,0
UCR,5,exactly_one_selected,237,39,237
UCR,5,multiple_selected,9,5,9
UCR,6,all_flags_missing,0,0,0
UCR,6,partially_missing_flags,0,0,0
UCR,6,observed_zero_selected,0,0,0
UCR,6,exactly_one_selected,225,38,225
UCR,6,multiple_selected,24,7,24
UCR,7,all_flags_missing,0,0,0
UCR,7,partially_missing_flags,0,0,0
UCR,7,observed_zero_selected,0,0,0
UCR,7,exactly_one_selected,229,39,229
UCR,7,multiple_selected,20,10,20
UCR,8,all_flags_missing,0,0,0
UCR,8,partially_missing_flags,0,0,0
UCR,8,observed_zero_selected,0,0,0
UCR,8,exactly_one_selected,233,39,233
UCR,8,multiple_selected,16,8,16
UCR,9,all_flags_missing,0,0,0
UCR,9,partially_missing_flags,0,0,0
UCR,9,observed_zero_selected,0,0,0
UCR,9,exactly_one_selected,225,39,225
UCR,9,multiple_selected,24,12,24
UCR,10,all_flags_missing,0,0,0
UCR,10,partially_missing_flags,0,0,0
UCR,10,observed_zero_selected,0,0,0
UCR,10,exactly_one_selected,224,39,224
UCR,10,multiple_selected,26,11,26
UCR,11,all_flags_missing,1,1,1
UCR,11,partially_missing_flags,0,0,0
UCR,11,observed_zero_selected,0,0,0
UCR,11,exactly_one_selected,235,39,235
UCR,11,multiple_selected,13,7,13
UCR,12,all_flags_missing,1,1,1
UCR,12,partially_missing_flags,0,0,0
UCR,12,observed_zero_selected,0,0,0
UCR,12,exactly_one_selected,233,39,233
UCR,12,multiple_selected,15,9,15
UCR,13,all_flags_missing,0,0,0
UCR,13,partially_missing_flags,0,0,0
UCR,13,observed_zero_selected,0,0,0
UCR,13,exactly_one_selected,241,39,241
UCR,13,multiple_selected,15,9,15
UCR,14,all_flags_missing,0,0,0
UCR,14,partially_missing_flags,0,0,0
UCR,14,observed_zero_selected,0,0,0
UCR,14,exactly_one_selected,252,39,252
UCR,14,multiple_selected,12,9,12
UCR,15,all_flags_missing,0,0,0
UCR,15,partially_missing_flags,0,0,0
UCR,15,observed_zero_selected,0,0,0
UCR,15,exactly_one_selected,253,39,253
UCR,15,multiple_selected,17,10,17
UCR,16,all_flags_missing,0,0,0
UCR,16,partially_missing_flags,0,0,0
UCR,16,observed_zero_selected,0,0,0
UCR,16,exactly_one_selected,252,39,252
UCR,16,multiple_selected,18,10,18
UCR,17,all_flags_missing,0,0,0
UCR,17,partially_missing_flags,0,0,0
UCR,17,observed_zero_selected,0,0,0
UCR,17,exactly_one_selected,256,39,256
UCR,17,multiple_selected,15,9,15
UCR,18,all_flags_missing,0,0,0
UCR,18,partially_missing_flags,0,0,0
UCR,18,observed_zero_selected,0,0,0
UCR,18,exactly_one_selected,255,39,255
UCR,18,multiple_selected,16,9,16
UCR,19,all_flags_missing,0,0,0
UCR,19,partially_missing_flags,0,0,0
UCR,19,observed_zero_selected,0,0,0
UCR,19,exactly_one_selected,251,39,251
UCR,19,multiple_selected,20,9,20
UCR,20,all_flags_missing,0,0,0
UCR,20,partially_missing_flags,0,0,0
UCR,20,observed_zero_selected,0,0,0
UCR,20,exactly_one_selected,257,39,257
UCR,20,multiple_selected,14,9,14
UCR,21,all_flags_missing,0,0,0
UCR,21,partially_missing_flags,0,0,0
UCR,21,observed_zero_selected,0,0,0
UCR,21,exactly_one_selected,257,39,257
UCR,21,multiple_selected,15,7,15
UCR,22,all_flags_missing,2,2,2
UCR,22,partially_missing_flags,0,0,0
UCR,22,observed_zero_selected,0,0,0
UCR,22,exactly_one_selected,259,39,259
UCR,22,multiple_selected,11,7,11
UCR,23,all_flags_missing,1,1,1
UCR,23,partially_missing_flags,0,0,0
UCR,23,observed_zero_selected,0,0,0
UCR,23,exactly_one_selected,262,39,262
UCR,23,multiple_selected,10,7,10
