"key","note","utc","view_id","status","observation","page","screenshot","state"
"60_page109_table_s13","Supplementary Table S13 table boundaries and typography; Go To page 109; formatting marks hidden; no save.","2026-09-12T07:59:33.327Z","60","PASS_SCOPED","Table S13 visible with complete columns and notes. AX status briefly lagged navigation; the screenshot footer and content identify page 109.","109","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/60_page109_table_s13.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/60_page109_table_s13.txt"
"61_page111_table_s14","Supplementary Table S14 and exact table boundaries; Go To page 111; formatting marks hidden; no save.","2026-09-12T07:59:45.690Z","61","PASS_SCOPED","Table S14 visible with complete columns and notes.","111","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/61_page111_table_s14.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/61_page111_table_s14.txt"
"62_page113_table_s15","Supplementary Table S15 and final table note; Go To page 113; formatting marks hidden; no save.","2026-09-12T07:59:48.818Z","62","PASS_SCOPED","Table S15 visible on page 113. The following reproducibility section is visible on the next page, not duplicated in the document.","113","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/62_page113_table_s15.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/62_page113_table_s15.txt"
"63_page114_end","Document end and trailing pagination; Go To page 114; formatting marks hidden; no save.","2026-09-12T07:59:51.523Z","63","PASS_SCOPED","Final page 114 contains the measurement-position, robustness and reproducibility note. It is not a blank end page.","114","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/63_page114_end.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/63_page114_end.txt"
"64_page3_introduction","Introduction as a normal top-level heading on a new page; Go To page 3; formatting marks hidden; no save.","2026-09-12T07:59:54.776Z","64","PASS_SCOPED","Introduction has its own top-level heading and starts on page 3.","3","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/64_page3_introduction.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/64_page3_introduction.txt"
"65_page5_results","Results heading and internal cross-reference test preparation; Go To page 5; formatting marks hidden; no save.","2026-09-12T08:00:06.261Z","65","PASS_SCOPED","Results starts on page 5. Internal references are visibly blue, but semantic link entries are marked disabled; no native link activation was attempted or claimed.","5","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/65_page5_results.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/65_page5_results.txt"
"66_page27_discussion","Discussion top-level new-page start; Go To page 27; formatting marks hidden; no save.","2026-09-12T08:00:54.295Z","66","PASS_SCOPED","Discussion starts on page 27.","27","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/66_page27_discussion.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/66_page27_discussion.txt"
"67_page31_methods","Methods top-level new-page start; Go To page 31; formatting marks hidden; no save.","2026-09-12T08:00:57.456Z","67","PASS_SCOPED","Methods starts on page 31.","31","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/67_page31_methods.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/67_page31_methods.txt"
"68_page41_data_availability","Data availability top-level new-page start; Go To page 41; formatting marks hidden; no save.","2026-09-12T08:01:00.648Z","68","PASS_SCOPED","Data availability starts on page 41.","41","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/68_page41_data_availability.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/68_page41_data_availability.txt"
"69_page42_code_availability","Code availability top-level new-page start; Go To page 42; formatting marks hidden; no save.","2026-09-12T08:01:03.809Z","69","PASS_SCOPED","Code availability starts on page 42.","42","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/69_page42_code_availability.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/69_page42_code_availability.txt"
"70_page43_references","References top-level new-page start; Go To page 43; formatting marks hidden; no save.","2026-09-12T08:01:17.020Z","70","PASS_SCOPED","References starts on page 43. Only this reference page was visually reviewed, not the entire bibliography.","43","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/70_page43_references.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/70_page43_references.txt"
"71_page53_acknowledgements","Acknowledgements top-level new-page start; Go To page 53; formatting marks hidden; no save.","2026-09-12T08:01:20.177Z","71","PASS_SCOPED","Acknowledgements starts on page 53. The intentional new-page requirement explains the remaining white space.","53","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/71_page53_acknowledgements.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/71_page53_acknowledgements.txt"
"72_page54_funding","Funding top-level new-page start; Go To page 54; formatting marks hidden; no save.","2026-09-12T08:01:23.312Z","72","PASS_SCOPED","Funding starts on page 54.","54","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/72_page54_funding.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/72_page54_funding.txt"
"73_page55_contributions","Author contributions top-level new-page start; Go To page 55; formatting marks hidden; no save.","2026-09-12T08:01:26.428Z","73","PASS_SCOPED","Author contributions starts on page 55 and displays the CRediT-style role list.","55","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/73_page55_contributions.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/73_page55_contributions.txt"
"74_page56_competing","Competing interests top-level new-page start; Go To page 56; formatting marks hidden; no save.","2026-09-12T08:01:37.424Z","74","PASS_SCOPED","Competing interests starts on page 56.","56","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/74_page56_competing.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/74_page56_competing.txt"
"75_page57_ai_statement","AI assistance declaration and competing-interest continuation; Go To page 57; formatting marks hidden; no save.","2026-09-12T08:01:40.561Z","75","PASS_SCOPED","Page 57 is the competing-interest continuation, not the AI statement. The planned filename is retained; views 77-78 locate the actual AI statement.","57","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/75_page57_ai_statement.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/75_page57_ai_statement.txt"
"76_page58_supplement","Supplementary Information top-level new-page start; Go To page 58; formatting marks hidden; no save.","2026-09-12T08:01:43.669Z","76","PASS_SCOPED","Supplementary Information starts on page 58. Its non-S5 preview warning remains present and is not final-submission prose.","58","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/76_page58_supplement.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/76_page58_supplement.txt"
"77_page39_ai_statement","Methods AI-use declaration, first portion; Go To page 39; formatting marks hidden; no save.","2026-09-12T08:02:12.750Z","77","PASS_SCOPED","Artificial-intelligence assistance declaration is visibly present within Methods on page 39.","39","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/77_page39_ai_statement.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/77_page39_ai_statement.txt"
"78_page40_ai_statement","Methods AI-use declaration, continuation; Go To page 40; formatting marks hidden; no save.","2026-09-12T08:02:15.911Z","78","PASS_SCOPED","AI-use declaration continues on page 40, including author-responsibility wording.","40","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/78_page40_ai_statement.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/78_page40_ai_statement.txt"
"79_page1_before_restore","Title page before restoring initial view settings; Go To page 1; formatting marks hidden; no save.","2026-09-12T08:02:19.105Z","79","STATE_RECORD","Returned to title page before restoring initial view settings.","1","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/79_page1_before_restore.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/79_page1_before_restore.txt"
"80_final_restored_view","Native review ended at title page; zoom restored to 119%; formatting marks restored on; author document remains open; no save, export, print or field update.","2026-09-12T08:02:47.603Z","80","STATE_RECORD","Final state: title page; 119% zoom; formatting marks on; thumbnail sidebar open; print layout; AutoSave off. Author document and Word left open without saving.","1","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/80_final_restored_view.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/80_final_restored_view.txt"
