"page","section","row","cell","old_text","new_text","baseline_page","baseline_sha256","candidate_sha256","label","found_in_complete_table"
"table_s2_part_01.html","tbody",5,12,"07:31 (06:31, 09:00) 07:35 ± 02:15 N=15; d=81","07:31 (06:31, 09:00) 07:35 ± 02:15 N=15; d=81","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",5,13,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",5,14,"Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,1,"Longest period above 250 lx melEDI Longest sustained bright-light bout; captures continuity of daytime circadian stimulation.","Longest period above 250 lx melEDI Longest sustained bright-light bout; captures continuity of daytime circadian stimulation.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,2,"HH:MM","HH:MM","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,3,"00:38 (00:17, 01:12) 00:55 ± 01:00 N=141; d=816","00:38 (00:17, 01:12) 00:55 ± 01:00 N=141; d=816","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,4,"00:57 (00:28, 01:27) 01:12 ± 01:02 N=13; d=78","00:57 (00:28, 01:27) 01:12 ± 01:02 N=13; d=78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,5,"00:48 (00:23, 01:20) 01:09 ± 01:15 N=13; d=78","00:48 (00:23, 01:20) 01:09 ± 01:15 N=13; d=78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,6,"01:00 (00:21, 01:40) 01:20 ± 01:31 N=18; d=107","01:00 (00:21, 01:40) 01:20 ± 01:31 N=18; d=107","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,7,"00:35 (00:13, 01:06) 00:50 ± 00:54 N=26; d=150","00:35 (00:13, 01:06) 00:50 ± 00:54 N=26; d=150","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,8,"00:38 (00:17, 01:32) 01:01 ± 01:02 N=10; d=60","00:38 (00:17, 01:32) 01:01 ± 01:02 N=10; d=60","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,9,"00:38 (00:16, 01:04) 00:45 ± 00:36 N=23; d=129","00:38 (00:16, 01:04) 00:45 ± 00:36 N=23; d=129","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,10,"00:34 (00:14, 00:55) 00:43 ± 00:41 N=17; d=101","00:34 (00:14, 00:55) 00:43 ± 00:41 N=17; d=101","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,11,"00:28 (00:16, 00:43) 00:30 ± 00:20 N=6; d=32","00:28 (00:16, 00:43) 00:30 ± 00:20 N=6; d=32","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,12,"00:23 (00:15, 00:49) 00:38 ± 00:45 N=15; d=81","00:23 (00:15, 00:49) 00:38 ± 00:45 N=15; d=81","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,13,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",6,14,"Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",7,1,"Dynamics","Dynamics","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,1,"Interdaily stability Day-to-day regularity of the light–dark pattern; higher regularity supports circadian stability.","Interdaily stability Day-to-day regularity of the light–dark pattern; higher regularity supports circadian stability.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,2,"—","—","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,3,"0.308 (0.248, 0.38) 0.318 ± 0.095 N=141; d=816","0.308 (0.248, 0.38) 0.318 ± 0.095 N=141; d=816","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,4,"0.311 (0.272, 0.367) 0.315 ± 0.078 N=13; d=78","0.311 (0.272, 0.367) 0.315 ± 0.078 N=13; d=78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,5,"0.258 (0.239, 0.389) 0.288 ± 0.094 N=13; d=78","0.258 (0.239, 0.389) 0.288 ± 0.094 N=13; d=78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,6,"0.264 (0.219, 0.319) 0.274 ± 0.074 N=18; d=107","0.264 (0.219, 0.319) 0.274 ± 0.074 N=18; d=107","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,7,"0.329 (0.263, 0.424) 0.344 ± 0.107 N=26; d=150","0.329 (0.263, 0.424) 0.344 ± 0.107 N=26; d=150","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,8,"0.244 (0.218, 0.277) 0.252 ± 0.058 N=10; d=60","0.244 (0.218, 0.277) 0.252 ± 0.058 N=10; d=60","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,9,"0.352 (0.321, 0.455) 0.368 ± 0.092 N=23; d=129","0.352 (0.321, 0.455) 0.368 ± 0.092 N=23; d=129","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,10,"0.278 (0.254, 0.394) 0.323 ± 0.104 N=17; d=101","0.278 (0.254, 0.394) 0.323 ± 0.104 N=17; d=101","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,11,"0.342 (0.315, 0.473) 0.37 ± 0.118 N=6; d=32","0.342 (0.315, 0.473) 0.37 ± 0.118 N=6; d=32","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,12,"0.293 (0.255, 0.354) 0.299 ± 0.062 N=15; d=81","0.293 (0.255, 0.354) 0.299 ± 0.062 N=15; d=81","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,13,"Identity","Identity","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",8,14,"Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,1,"Intradaily variability Within-day fragmentation of light exposure; higher values indicate less consolidated light–dark input.","Intradaily variability Within-day fragmentation of light exposure; higher values indicate less consolidated light–dark input.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,2,"—","—","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,3,"1.253 (0.93, 1.502) 1.229 ± 0.389 N=141; d=816","1.253 (0.93, 1.502) 1.229 ± 0.389 N=141; d=816","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,4,"0.997 (0.818, 1.388) 1.088 ± 0.343 N=13; d=78","0.997 (0.818, 1.388) 1.088 ± 0.343 N=13; d=78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,5,"1.193 (0.96, 1.389) 1.238 ± 0.345 N=13; d=78","1.193 (0.96, 1.389) 1.238 ± 0.345 N=13; d=78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,6,"1.182 (0.928, 1.49) 1.177 ± 0.407 N=18; d=107","1.182 (0.928, 1.49) 1.177 ± 0.407 N=18; d=107","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,7,"1.154 (0.801, 1.442) 1.125 ± 0.354 N=26; d=150","1.154 (0.801, 1.442) 1.125 ± 0.354 N=26; d=150","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,8,"1.48 (0.869, 1.642) 1.332 ± 0.477 N=10; d=60","1.48 (0.869, 1.642) 1.332 ± 0.477 N=10; d=60","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,9,"1.251 (0.999, 1.497) 1.251 ± 0.413 N=23; d=129","1.251 (0.999, 1.497) 1.251 ± 0.413 N=23; d=129","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,10,"1.359 (0.95, 1.546) 1.307 ± 0.415 N=17; d=101","1.359 (0.95, 1.546) 1.307 ± 0.415 N=17; d=101","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,11,"1.399 (1.282, 1.483) 1.355 ± 0.256 N=6; d=32","1.399 (1.282, 1.483) 1.355 ± 0.256 N=6; d=32","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,12,"1.324 (1.029, 1.595) 1.344 ± 0.413 N=15; d=81","1.324 (1.029, 1.595) 1.344 ± 0.413 N=15; d=81","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,13,"Identity","Identity","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",9,14,"Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_02.html","thead",1,1,"Metric descriptive summary (near eye)","Metric descriptive summary (near eye)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_02.html","3a6a313261c02e81664f642df7eb52c8681712b02d6f8dd540e0b7d60ac143eb","fd3b69bf5b7f0d514b2769f96b18a3fdc0a3ec53e3f4c56c936b56a7742d5f4b","Table_S2",TRUE
