"cell","attempt4_source","frozen_render","original_fragment","rendered_exact","original_fragment_whitespace_equal"
139,"101.102(24.355, 218.457)136.312 ± 134.07N=23; d=129","101.102(24.355, 218.457)136.312 ± 134.07N=23; d=129","
101.102(24.355, 218.457)136.312 ± 134.07N=23; d=129
",TRUE,TRUE
140,"83.24(53.17, 151.786)120.172 ± 101.545N=17; d=101","83.24(53.17, 151.786)120.172 ± 101.545N=17; d=101","
83.24(53.17, 151.786)120.172 ± 101.545N=17; d=101
",TRUE,TRUE
141,"68.143(45.331, 132.458)96.735 ± 72.311N=6; d=32","68.143(45.331, 132.458)96.735 ± 72.311N=6; d=32","
68.143(45.331, 132.458)96.735 ± 72.311N=6; d=32
",TRUE,TRUE
142,"46.66(9.242, 103.175)82.489 ± 115.07N=15; d=81","46.66(9.242, 103.175)82.489 ± 115.07N=15; d=81","
46.66(9.242, 103.175)82.489 ± 115.07N=15; d=81
",TRUE,TRUE
143,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
144,"Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","
Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
145,"Darkest 10 h meanMean of the darkest 10 hours; lower values during the biological night favour melatonin preservation and sleep.","Darkest 10 h meanMean of the darkest 10 hours; lower values during the biological night favour melatonin preservation and sleep.","
Darkest 10 h meanMean of the darkest 10 hours; lower values during the biological night favour melatonin preservation and sleep.
",TRUE,TRUE
146,"lx","lx","lx",TRUE,TRUE
147,"0.103(0.02, 0.253)0.243 ± 0.513N=141; d=816","0.103(0.02, 0.253)0.243 ± 0.513N=141; d=816","
0.103(0.02, 0.253)0.243 ± 0.513N=141; d=816
",TRUE,TRUE
148,"0.08(0.016, 0.191)0.183 ± 0.299N=13; d=78","0.08(0.016, 0.191)0.183 ± 0.299N=13; d=78","
0.08(0.016, 0.191)0.183 ± 0.299N=13; d=78
",TRUE,TRUE
149,"0.1(0.035, 0.23)0.2 ± 0.332N=13; d=78","0.1(0.035, 0.23)0.2 ± 0.332N=13; d=78","
0.1(0.035, 0.23)0.2 ± 0.332N=13; d=78
",TRUE,TRUE
150,"0.14(0.036, 0.282)0.223 ± 0.299N=18; d=107","0.14(0.036, 0.282)0.223 ± 0.299N=18; d=107","
0.14(0.036, 0.282)0.223 ± 0.299N=18; d=107
",TRUE,TRUE
151,"0.149(0.074, 0.309)0.273 ± 0.465N=26; d=150","0.149(0.074, 0.309)0.273 ± 0.465N=26; d=150","
0.149(0.074, 0.309)0.273 ± 0.465N=26; d=150
",TRUE,TRUE
152,"0.325(0.119, 0.71)0.515 ± 0.653N=10; d=60","0.325(0.119, 0.71)0.515 ± 0.653N=10; d=60","
0.325(0.119, 0.71)0.515 ± 0.653N=10; d=60
",TRUE,TRUE
153,"0.022(0, 0.08)0.054 ± 0.075N=23; d=129","0.022(0, 0.08)0.054 ± 0.075N=23; d=129","
0.022(0, 0.08)0.054 ± 0.075N=23; d=129
",TRUE,TRUE
154,"0.152(0.052, 0.481)0.475 ± 0.882N=17; d=101","0.152(0.052, 0.481)0.475 ± 0.882N=17; d=101","
0.152(0.052, 0.481)0.475 ± 0.882N=17; d=101
",TRUE,TRUE
155,"0.133(0.055, 0.309)0.411 ± 1.044N=6; d=32","0.133(0.055, 0.309)0.411 ± 1.044N=6; d=32","
0.133(0.055, 0.309)0.411 ± 1.044N=6; d=32
",TRUE,TRUE
156,"0.01(0, 0.092)0.059 ± 0.104N=15; d=81","0.01(0, 0.092)0.059 ± 0.104N=15; d=81","
0.01(0, 0.092)0.059 ± 0.104N=15; d=81
",TRUE,TRUE
157,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
158,"Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","
Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
159,"Spectrum","Spectrum","Spectrum",TRUE,TRUE
160,"Melanopic daylight efficacy ratioMean of viable one-minute melEDI/illuminance ratios; indicates melanopic efficacy relative to visual light.","Melanopic daylight efficacy ratioMean of viable one-minute melEDI/illuminance ratios; indicates melanopic efficacy relative to visual light.","
Melanopic daylight efficacy ratioMean of viable one-minute melEDI/illuminance ratios; indicates melanopic efficacy relative to visual light.
",TRUE,TRUE
161,"—","—","—",TRUE,TRUE
162,"0.724(0.643, 0.795)0.724 ± 0.116N=137; d=687","0.724(0.643, 0.795)0.724 ± 0.116N=137; d=687","
0.724(0.643, 0.795)0.724 ± 0.116N=137; d=687
",TRUE,TRUE
163,"0.788(0.725, 0.872)0.796 ± 0.162N=13; d=74","0.788(0.725, 0.872)0.796 ± 0.162N=13; d=74","
0.788(0.725, 0.872)0.796 ± 0.162N=13; d=74
",TRUE,TRUE
164,"0.743(0.699, 0.796)0.743 ± 0.077N=13; d=65","0.743(0.699, 0.796)0.743 ± 0.077N=13; d=65","
0.743(0.699, 0.796)0.743 ± 0.077N=13; d=65
",TRUE,TRUE
165,"0.781(0.675, 0.853)0.768 ± 0.118N=18; d=97","0.781(0.675, 0.853)0.768 ± 0.118N=18; d=97","
0.781(0.675, 0.853)0.768 ± 0.118N=18; d=97
",TRUE,TRUE
166,"0.65(0.592, 0.728)0.667 ± 0.098N=26; d=144","0.65(0.592, 0.728)0.667 ± 0.098N=26; d=144","
0.65(0.592, 0.728)0.667 ± 0.098N=26; d=144
",TRUE,TRUE
167,"0.724(0.652, 0.773)0.72 ± 0.093N=10; d=55","0.724(0.652, 0.773)0.72 ± 0.093N=10; d=55","
0.724(0.652, 0.773)0.72 ± 0.093N=10; d=55
",TRUE,TRUE
168,"0.668(0.629, 0.721)0.673 ± 0.07N=22; d=83","0.668(0.629, 0.721)0.673 ± 0.07N=22; d=83","
0.668(0.629, 0.721)0.673 ± 0.07N=22; d=83
",TRUE,TRUE
169,"0.747(0.634, 0.834)0.735 ± 0.122N=17; d=91","0.747(0.634, 0.834)0.735 ± 0.122N=17; d=91","
0.747(0.634, 0.834)0.735 ± 0.122N=17; d=91
",TRUE,TRUE
170,"0.719(0.661, 0.761)0.706 ± 0.067N=6; d=30","0.719(0.661, 0.761)0.706 ± 0.067N=6; d=30","
0.719(0.661, 0.761)0.706 ± 0.067N=6; d=30
",TRUE,TRUE
171,"0.755(0.729, 0.82)0.758 ± 0.097N=12; d=48","0.755(0.729, 0.82)0.758 ± 0.097N=12; d=48","
0.755(0.729, 0.82)0.758 ± 0.097N=12; d=48
",TRUE,TRUE
172,"Identity","Identity","Identity",TRUE,TRUE
173,"Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.","Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.","
Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
174,"Timing","Timing","Timing",TRUE,TRUE
175,"Midpoint of the brightest 10 hoursCentre time of the brightest 10 hours; indexes the main daily circadian light cue.","Midpoint of the brightest 10 hoursCentre time of the brightest 10 hours; indexes the main daily circadian light cue.","
Midpoint of the brightest 10 hoursCentre time of the brightest 10 hours; indexes the main daily circadian light cue.
",TRUE,TRUE
176,"HH:MMclock time","HH:MMclock time","
HH:MMclock time
",TRUE,TRUE
177,"13:44(12:48, 15:00)13:56 ± 01:51N=141; d=816","13:44(12:48, 15:00)13:56 ± 01:51N=141; d=816","
13:44(12:48, 15:00)13:56 ± 01:51N=141; d=816
",TRUE,TRUE
178,"13:16(12:28, 14:10)13:20 ± 01:33N=13; d=78","13:16(12:28, 14:10)13:20 ± 01:33N=13; d=78","
13:16(12:28, 14:10)13:20 ± 01:33N=13; d=78
",TRUE,TRUE
179,"14:12(13:23, 15:18)14:22 ± 01:51N=13; d=78","14:12(13:23, 15:18)14:22 ± 01:51N=13; d=78","
14:12(13:23, 15:18)14:22 ± 01:51N=13; d=78
",TRUE,TRUE
180,"13:52(12:54, 15:04)14:00 ± 01:42N=18; d=107","13:52(12:54, 15:04)14:00 ± 01:42N=18; d=107","
13:52(12:54, 15:04)14:00 ± 01:42N=18; d=107
",TRUE,TRUE
181,"13:38(12:47, 14:44)13:52 ± 01:42N=26; d=150","13:38(12:47, 14:44)13:52 ± 01:42N=26; d=150","
13:38(12:47, 14:44)13:52 ± 01:42N=26; d=150
",TRUE,TRUE
182,"14:54(12:50, 16:03)14:31 ± 02:14N=10; d=60","14:54(12:50, 16:03)14:31 ± 02:14N=10; d=60","
14:54(12:50, 16:03)14:31 ± 02:14N=10; d=60
",TRUE,TRUE
183,"13:44(13:06, 15:20)14:10 ± 01:51N=23; d=129","13:44(13:06, 15:20)14:10 ± 01:51N=23; d=129","
13:44(13:06, 15:20)14:10 ± 01:51N=23; d=129
",TRUE,TRUE
184,"14:10(13:32, 15:21)14:25 ± 01:37N=17; d=101","14:10(13:32, 15:21)14:25 ± 01:37N=17; d=101","
14:10(13:32, 15:21)14:25 ± 01:37N=17; d=101
",TRUE,TRUE
185,"12:34(11:49, 14:02)12:55 ± 01:44N=6; d=32","12:34(11:49, 14:02)12:55 ± 01:44N=6; d=32","
12:34(11:49, 14:02)12:55 ± 01:44N=6; d=32
",TRUE,TRUE
186,"12:49(12:06, 13:39)13:03 ± 01:58N=15; d=81","12:49(12:06, 13:39)13:03 ± 01:58N=15; d=81","
12:49(12:06, 13:39)13:03 ± 01:58N=15; d=81
",TRUE,TRUE
187,"Circular clock","Circular clock","Circular clock",TRUE,TRUE
188,"Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","
Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
189,"Midpoint of the darkest 10 hoursCentre time of the darkest 10 hours; indexes the main daily darkness cue.","Midpoint of the darkest 10 hoursCentre time of the darkest 10 hours; indexes the main daily darkness cue.","
Midpoint of the darkest 10 hoursCentre time of the darkest 10 hours; indexes the main daily darkness cue.
",TRUE,TRUE
190,"HH:MMclock time","HH:MMclock time","
HH:MMclock time
",TRUE,TRUE
191,"02:54(02:01, 03:50)02:58 ± 01:41N=141; d=816","02:54(02:01, 03:50)02:58 ± 01:41N=141; d=816","
02:54(02:01, 03:50)02:58 ± 01:41N=141; d=816
",TRUE,TRUE
192,"02:02(01:25, 02:48)02:03 ± 01:07N=13; d=78","02:02(01:25, 02:48)02:03 ± 01:07N=13; d=78","
02:02(01:25, 02:48)02:03 ± 01:07N=13; d=78
",TRUE,TRUE
193,"02:55(02:01, 03:27)02:50 ± 02:05N=13; d=78","02:55(02:01, 03:27)02:50 ± 02:05N=13; d=78","
02:55(02:01, 03:27)02:50 ± 02:05N=13; d=78
",TRUE,TRUE
194,"02:32(01:45, 03:22)02:37 ± 01:19N=18; d=107","02:32(01:45, 03:22)02:37 ± 01:19N=18; d=107","
02:32(01:45, 03:22)02:37 ± 01:19N=18; d=107
",TRUE,TRUE
195,"03:08(02:11, 04:10)03:16 ± 01:34N=26; d=150","03:08(02:11, 04:10)03:16 ± 01:34N=26; d=150","
03:08(02:11, 04:10)03:16 ± 01:34N=26; d=150
",TRUE,TRUE
196,"02:37(01:54, 04:17)03:10 ± 02:00N=10; d=60","02:37(01:54, 04:17)03:10 ± 02:00N=10; d=60","
02:37(01:54, 04:17)03:10 ± 02:00N=10; d=60
",TRUE,TRUE
197,"03:39(02:43, 04:34)03:34 ± 01:49N=23; d=129","03:39(02:43, 04:34)03:34 ± 01:49N=23; d=129","
03:39(02:43, 04:34)03:34 ± 01:49N=23; d=129
",TRUE,TRUE
198,"03:31(02:33, 04:14)03:26 ± 01:25N=17; d=101","03:31(02:33, 04:14)03:26 ± 01:25N=17; d=101","
03:31(02:33, 04:14)03:26 ± 01:25N=17; d=101
",TRUE,TRUE
199,"01:45(01:05, 03:01)02:10 ± 01:27N=6; d=32","01:45(01:05, 03:01)02:10 ± 01:27N=6; d=32","
01:45(01:05, 03:01)02:10 ± 01:27N=6; d=32
",TRUE,TRUE
200,"02:33(02:04, 03:17)02:36 ± 01:36N=15; d=81","02:33(02:04, 03:17)02:36 ± 01:36N=15; d=81","
02:33(02:04, 03:17)02:36 ± 01:36N=15; d=81
",TRUE,TRUE
201,"Circular clock","Circular clock","Circular clock",TRUE,TRUE
202,"Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","
Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
203,"First light timing above 250 lx melEDIFirst waking bright-light exposure; morning timing can advance circadian phase and promote alertness.","First light timing above 250 lx melEDIFirst waking bright-light exposure; morning timing can advance circadian phase and promote alertness.","
First light timing above 250 lx melEDIFirst waking bright-light exposure; morning timing can advance circadian phase and promote alertness.
",TRUE,TRUE
204,"HH:MMclock time","HH:MMclock time","
HH:MMclock time
",TRUE,TRUE
205,"09:08(08:02, 10:40)09:26 ± 02:22N=140; d=727","09:08(08:02, 10:40)09:26 ± 02:22N=140; d=727","
09:08(08:02, 10:40)09:26 ± 02:22N=140; d=727
",TRUE,TRUE
206,"07:57(06:56, 08:33)08:03 ± 01:32N=13; d=74","07:57(06:56, 08:33)08:03 ± 01:32N=13; d=74","
07:57(06:56, 08:33)08:03 ± 01:32N=13; d=74
",TRUE,TRUE
207,"09:04(08:18, 09:52)09:17 ± 01:56N=13; d=68","09:04(08:18, 09:52)09:17 ± 01:56N=13; d=68","
09:04(08:18, 09:52)09:17 ± 01:56N=13; d=68
",TRUE,TRUE
208,"08:36(07:10, 10:13)08:45 ± 02:21N=18; d=93","08:36(07:10, 10:13)08:45 ± 02:21N=18; d=93","
08:36(07:10, 10:13)08:45 ± 02:21N=18; d=93
",TRUE,TRUE
209,"09:43(08:13, 10:53)09:45 ± 02:21N=25; d=133","09:43(08:13, 10:53)09:45 ± 02:21N=25; d=133","
09:43(08:13, 10:53)09:45 ± 02:21N=25; d=133
",TRUE,TRUE
210,"09:36(07:58, 10:53)09:39 ± 03:12N=10; d=56","09:36(07:58, 10:53)09:39 ± 03:12N=10; d=56","
09:36(07:58, 10:53)09:39 ± 03:12N=10; d=56
",TRUE,TRUE
211,"09:32(08:40, 11:21)10:05 ± 02:18N=23; d=118","09:32(08:40, 11:21)10:05 ± 02:18N=23; d=118","
09:32(08:40, 11:21)10:05 ± 02:18N=23; d=118
",TRUE,TRUE
212,"10:01(09:06, 11:52)10:26 ± 02:28N=17; d=95","10:01(09:06, 11:52)10:26 ± 02:28N=17; d=95","
10:01(09:06, 11:52)10:26 ± 02:28N=17; d=95
",TRUE,TRUE
213,"08:11(07:26, 09:57)08:36 ± 01:30N=6; d=29","08:11(07:26, 09:57)08:36 ± 01:30N=6; d=29","
08:11(07:26, 09:57)08:36 ± 01:30N=6; d=29
",TRUE,TRUE
214,"08:43(08:01, 10:10)09:19 ± 01:52N=15; d=61","08:43(08:01, 10:10)09:19 ± 01:52N=15; d=61","
08:43(08:01, 10:10)09:19 ± 01:52N=15; d=61
",TRUE,TRUE
215,"Circular clock","Circular clock","Circular clock",TRUE,TRUE
216,"First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","
First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
217,"Last light timing above 250 lx melEDILast bright-light exposure; later timing may delay circadian phase and sleep onset.","Last light timing above 250 lx melEDILast bright-light exposure; later timing may delay circadian phase and sleep onset.","
Last light timing above 250 lx melEDILast bright-light exposure; later timing may delay circadian phase and sleep onset.
",TRUE,TRUE
218,"HH:MMclock time","HH:MMclock time","
HH:MMclock time
",TRUE,TRUE
219,"18:08(16:27, 19:42)18:03 ± 02:36N=141; d=687","18:08(16:27, 19:42)18:03 ± 02:36N=141; d=687","
18:08(16:27, 19:42)18:03 ± 02:36N=141; d=687
",TRUE,TRUE
220,"18:41(17:38, 19:38)18:39 ± 01:38N=13; d=73","18:41(17:38, 19:38)18:39 ± 01:38N=13; d=73","
18:41(17:38, 19:38)18:39 ± 01:38N=13; d=73
",TRUE,TRUE
221,"18:30(17:37, 19:59)18:37 ± 02:08N=13; d=62","18:30(17:37, 19:59)18:37 ± 02:08N=13; d=62","
18:30(17:37, 19:59)18:37 ± 02:08N=13; d=62
",TRUE,TRUE
222,"19:34(18:04, 20:42)19:16 ± 02:28N=18; d=89","19:34(18:04, 20:42)19:16 ± 02:28N=18; d=89","
19:34(18:04, 20:42)19:16 ± 02:28N=18; d=89
",TRUE,TRUE
223,"17:37(15:35, 19:09)17:18 ± 02:44N=26; d=121","17:37(15:35, 19:09)17:18 ± 02:44N=26; d=121","
17:37(15:35, 19:09)17:18 ± 02:44N=26; d=121
",TRUE,TRUE
224,"19:50(18:37, 20:50)19:33 ± 02:11N=10; d=53","19:50(18:37, 20:50)19:33 ± 02:11N=10; d=53","
19:50(18:37, 20:50)19:33 ± 02:11N=10; d=53
",TRUE,TRUE
225,"17:48(16:46, 19:19)18:01 ± 02:21N=23; d=106","17:48(16:46, 19:19)18:01 ± 02:21N=23; d=106","
17:48(16:46, 19:19)18:01 ± 02:21N=23; d=106
",TRUE,TRUE
226,"18:45(17:02, 19:38)18:23 ± 02:15N=17; d=89","18:45(17:02, 19:38)18:23 ± 02:15N=17; d=89","
18:45(17:02, 19:38)18:23 ± 02:15N=17; d=89
",TRUE,TRUE
227,"15:45(13:20, 16:38)15:22 ± 02:38N=6; d=28","15:45(13:20, 16:38)15:22 ± 02:38N=6; d=28","
15:45(13:20, 16:38)15:22 ± 02:38N=6; d=28
",TRUE,TRUE
228,"15:54(14:34, 17:25)15:46 ± 02:13N=15; d=66","15:54(14:34, 17:25)15:46 ± 02:13N=15; d=66","
15:54(14:34, 17:25)15:46 ± 02:13N=15; d=66
",TRUE,TRUE
229,"Circular clock","Circular clock","Circular clock",TRUE,TRUE
230,"Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","
Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
231,"Mean timing of exposure above 250 lx melEDIAverage bright-light timing; summarizes the phase of daily circadian stimulation.","Mean timing of exposure above 250 lx melEDIAverage bright-light timing; summarizes the phase of daily circadian stimulation.","
Mean timing of exposure above 250 lx melEDIAverage bright-light timing; summarizes the phase of daily circadian stimulation.
",TRUE,TRUE
232,"HH:MMclock time","HH:MMclock time","
HH:MMclock time
",TRUE,TRUE
233,"13:29(12:29, 14:39)13:31 ± 01:52N=141; d=742","13:29(12:29, 14:39)13:31 ± 01:52N=141; d=742","
13:29(12:29, 14:39)13:31 ± 01:52N=141; d=742
",TRUE,TRUE
234,"13:20(12:29, 14:24)13:21 ± 01:25N=13; d=72","13:20(12:29, 14:24)13:21 ± 01:25N=13; d=72","
13:20(12:29, 14:24)13:21 ± 01:25N=13; d=72
",TRUE,TRUE
235,"13:52(13:13, 15:06)14:02 ± 01:41N=13; d=71","13:52(13:13, 15:06)14:02 ± 01:41N=13; d=71","
13:52(13:13, 15:06)14:02 ± 01:41N=13; d=71
",TRUE,TRUE
236,"13:44(12:28, 14:55)13:51 ± 01:56N=18; d=93","13:44(12:28, 14:55)13:51 ± 01:56N=18; d=93","
13:44(12:28, 14:55)13:51 ± 01:56N=18; d=93
",TRUE,TRUE
237,"13:17(12:17, 14:31)13:24 ± 01:45N=26; d=138","13:17(12:17, 14:31)13:24 ± 01:45N=26; d=138","
13:17(12:17, 14:31)13:24 ± 01:45N=26; d=138
",TRUE,TRUE
238,"14:04(12:58, 15:25)14:09 ± 02:22N=10; d=55","14:04(12:58, 15:25)14:09 ± 02:22N=10; d=55","
14:04(12:58, 15:25)14:09 ± 02:22N=10; d=55
",TRUE,TRUE
239,"13:43(12:55, 14:29)13:47 ± 01:33N=23; d=117","13:43(12:55, 14:29)13:47 ± 01:33N=23; d=117","
13:43(12:55, 14:29)13:47 ± 01:33N=23; d=117
",TRUE,TRUE
240,"13:58(12:54, 14:58)14:04 ± 01:39N=17; d=94","13:58(12:54, 14:58)14:04 ± 01:39N=17; d=94","
13:58(12:54, 14:58)14:04 ± 01:39N=17; d=94
",TRUE,TRUE
241,"11:30(10:28, 12:38)11:26 ± 01:36N=6; d=31","11:30(10:28, 12:38)11:26 ± 01:36N=6; d=31","
11:30(10:28, 12:38)11:26 ± 01:36N=6; d=31
",TRUE,TRUE
242,"12:17(11:04, 13:04)12:11 ± 01:36N=15; d=71","12:17(11:04, 13:04)12:11 ± 01:36N=15; d=71","
12:17(11:04, 13:04)12:11 ± 01:36N=15; d=71
",TRUE,TRUE
243,"Circular clock","Circular clock","Circular clock",TRUE,TRUE
244,"Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","
Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
