section,characteristic,site,reader_site,display,denominator_definition,placement,n_participants,n_participant_days,n_observations
Participant information,Sleep-corrected midsleep on free days,FUSPCEU,Madrid (ES),04:48 (03:10–06:52); n=22 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,22,,
Participant information,Sleep-corrected midsleep on free days,IZTECH,Izmir (TR),05:29 (03:35–06:49); n=17 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,17,,
Participant information,Sleep-corrected midsleep on free days,UCR,San José (CR),03:42 (02:17–05:31); n=39 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,39,,
Participant information,Sleep-corrected midsleep on free days,KNUST,Kumasi (GH),02:19 (01:22–03:26); n=15 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,15,,
Participant information,Morningness–Eveningness Questionnaire score,Overall,Overall,54 (35–69.8); n=186 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,186,,
Participant information,Morningness–Eveningness Questionnaire score,RISE,Borås (SE),58 (34–71.4); n=17 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Morningness–Eveningness Questionnaire score,THUAS,Delft (NL),49 (38.4–61.3); n=15 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Morningness–Eveningness Questionnaire score,BAUA,Dortmund (DE),51.5 (40.1–70.2); n=24 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,24,,
Participant information,Morningness–Eveningness Questionnaire score,MPI,Tübingen (DE),49 (33–68.2); n=26 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,26,,
Participant information,Morningness–Eveningness Questionnaire score,TUM,Munich (DE),44.5 (37.7–57.5); n=10 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,10,,
Participant information,Morningness–Eveningness Questionnaire score,FUSPCEU,Madrid (ES),52 (42–66.8); n=23 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,23,,
Participant information,Morningness–Eveningness Questionnaire score,IZTECH,Izmir (TR),52 (31.6–60.4); n=17 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Morningness–Eveningness Questionnaire score,UCR,San José (CR),58 (40.5–69.2); n=39 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,39,,
Participant information,Morningness–Eveningness Questionnaire score,KNUST,Kumasi (GH),62 (50.6–72.3); n=15 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Social jetlag,Overall,Overall,1 h (0 h–2.75 h); n=185 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,185,,
Participant information,Social jetlag,RISE,Borås (SE),0.625 h (-0.0167 h–3.08 h); n=17 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Social jetlag,THUAS,Delft (NL),0.75 h (0.0875 h–1.82 h); n=15 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Social jetlag,BAUA,Dortmund (DE),1.27 h (0.5 h–2.16 h); n=24 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,24,,
Participant information,Social jetlag,MPI,Tübingen (DE),0.896 h (0 h–1.85 h); n=26 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,26,,
Participant information,Social jetlag,TUM,Munich (DE),0.938 h (0.5 h–2.41 h); n=10 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,10,,
Participant information,Social jetlag,FUSPCEU,Madrid (ES),1.38 h (0.0683 h–3.31 h); n=22 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,22,,
Participant information,Social jetlag,IZTECH,Izmir (TR),1.08 h (0.333 h–2.04 h); n=17 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Social jetlag,UCR,San José (CR),1.08 h (0 h–2.6 h); n=39 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,39,,
Participant information,Social jetlag,KNUST,Kumasi (GH),0.25 h (0 h–1.3 h); n=15 participants,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Sleep duration,Overall,Overall,7.58 h (5.16–10.27); n=1275 diary records from 184 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,184,,1275
Participant information,Sleep duration,RISE,Borås (SE),7.42 h (5.65–9.74); n=117 diary records from 17 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,117
Participant information,Sleep duration,THUAS,Delft (NL),7.88 h (5.75–10.00); n=101 diary records from 15 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,101
Participant information,Sleep duration,BAUA,Dortmund (DE),7.92 h (5.67–10.28); n=149 diary records from 22 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,22,,149
Participant information,Sleep duration,MPI,Tübingen (DE),7.43 h (4.52–9.25); n=181 diary records from 26 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,26,,181
Participant information,Sleep duration,TUM,Munich (DE),7.80 h (5.00–10.77); n=70 diary records from 10 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,10,,70
Participant information,Sleep duration,FUSPCEU,Madrid (ES),7.82 h (5.87–11.67); n=149 diary records from 23 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,23,,149
Participant information,Sleep duration,IZTECH,Izmir (TR),7.83 h (4.73–11.07); n=137 diary records from 17 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,137
Participant information,Sleep duration,UCR,San José (CR),7.08 h (5.08–9.30); n=267 diary records from 39 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,39,,267
Participant information,Sleep duration,KNUST,Kumasi (GH),7.62 h (5.01–10.73); n=104 diary records from 15 participants,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,104
