site,work_free_day,clock_hour_bin,residual_mean,one_hour_observations,display_order,display_name,color_hex
UCR,Free day,11,21.75231742031321,8,8,San José (CR),#44AA99
UCR,Free day,12,1.5615055734294003,8,8,San José (CR),#44AA99
UCR,Free day,13,1.1951319000458724,6,8,San José (CR),#44AA99
UCR,Free day,14,4.866367451166071,8,8,San José (CR),#44AA99
UCR,Free day,15,-6.463198016814339,8,8,San José (CR),#44AA99
UCR,Free day,16,-6.30667392062159,8,8,San José (CR),#44AA99
UCR,Free day,18,-8.372254056578232,8,8,San José (CR),#44AA99
UCR,Free day,19,-7.557719118648284,7,8,San José (CR),#44AA99
UCR,Free day,20,-8.96210839584775,8,8,San José (CR),#44AA99
UCR,Free day,21,-8.92675653133044,8,8,San José (CR),#44AA99
UCR,Free day,22,-9.45794404456283,8,8,San José (CR),#44AA99
UCR,Free day,23,-9.685198023659922,8,8,San José (CR),#44AA99
UCR,Free day,17,-7.539985774485831,7,8,San José (CR),#44AA99
KNUST,Work day,0,-9.000117640691427,40,9,Kumasi (GH),#AA4499
KNUST,Work day,1,-9.00170874798075,40,9,Kumasi (GH),#AA4499
KNUST,Work day,2,-9.008374469055925,40,9,Kumasi (GH),#AA4499
KNUST,Work day,3,-9.008301622746027,40,9,Kumasi (GH),#AA4499
KNUST,Work day,4,-9.008261023893684,40,9,Kumasi (GH),#AA4499
KNUST,Work day,5,-8.998113498149085,40,9,Kumasi (GH),#AA4499
KNUST,Work day,6,-8.796077980809933,33,9,Kumasi (GH),#AA4499
KNUST,Work day,7,-3.731434380108505,37,9,Kumasi (GH),#AA4499
KNUST,Work day,8,60.46714534143882,39,9,Kumasi (GH),#AA4499
KNUST,Work day,9,20.754135474946292,40,9,Kumasi (GH),#AA4499
KNUST,Work day,10,13.699426947125085,38,9,Kumasi (GH),#AA4499
KNUST,Work day,11,13.41561296527706,39,9,Kumasi (GH),#AA4499
KNUST,Work day,12,27.840816849235342,39,9,Kumasi (GH),#AA4499
KNUST,Work day,13,37.56695520894951,39,9,Kumasi (GH),#AA4499
KNUST,Work day,14,33.29491970005692,39,9,Kumasi (GH),#AA4499
KNUST,Work day,15,28.457287234051424,37,9,Kumasi (GH),#AA4499
KNUST,Work day,16,4.289676829782145,36,9,Kumasi (GH),#AA4499
KNUST,Work day,17,-1.0765689944048162,38,9,Kumasi (GH),#AA4499
KNUST,Work day,18,-5.853168625498067,37,9,Kumasi (GH),#AA4499
KNUST,Work day,19,-5.967619472268652,34,9,Kumasi (GH),#AA4499
KNUST,Work day,20,-6.9524229892646465,35,9,Kumasi (GH),#AA4499
KNUST,Work day,21,-7.272679073410068,38,9,Kumasi (GH),#AA4499
KNUST,Work day,22,-8.160302734521379,38,9,Kumasi (GH),#AA4499
KNUST,Work day,23,-8.773955434710931,40,9,Kumasi (GH),#AA4499
KNUST,Free day,0,-10.26020508342136,40,9,Kumasi (GH),#AA4499
KNUST,Free day,1,-10.263782771465273,40,9,Kumasi (GH),#AA4499
KNUST,Free day,2,-10.262784103922874,40,9,Kumasi (GH),#AA4499
KNUST,Free day,3,-10.26408655777785,40,9,Kumasi (GH),#AA4499
KNUST,Free day,4,-10.264057141139762,40,9,Kumasi (GH),#AA4499
KNUST,Free day,5,-10.26164866791398,40,9,Kumasi (GH),#AA4499
KNUST,Free day,6,-10.20051367137235,39,9,Kumasi (GH),#AA4499
KNUST,Free day,7,-10.084524699156178,34,9,Kumasi (GH),#AA4499
KNUST,Free day,8,-0.6155127629013333,38,9,Kumasi (GH),#AA4499
KNUST,Free day,9,3.409459122056184,40,9,Kumasi (GH),#AA4499
KNUST,Free day,10,-1.4367529414087443,38,9,Kumasi (GH),#AA4499
KNUST,Free day,11,25.572775448864142,37,9,Kumasi (GH),#AA4499
KNUST,Free day,12,4.858994669769988,39,9,Kumasi (GH),#AA4499
KNUST,Free day,15,3.741556160578381,37,9,Kumasi (GH),#AA4499
KNUST,Free day,16,-6.583495547015251,40,9,Kumasi (GH),#AA4499
KNUST,Free day,17,-8.982976066109732,39,9,Kumasi (GH),#AA4499
KNUST,Free day,18,-9.926526749153023,39,9,Kumasi (GH),#AA4499
KNUST,Free day,19,-9.872622382769794,37,9,Kumasi (GH),#AA4499
KNUST,Free day,20,-10.064476323012912,33,9,Kumasi (GH),#AA4499
KNUST,Free day,21,-10.127784940784327,38,9,Kumasi (GH),#AA4499
KNUST,Free day,22,-10.146341812759887,39,9,Kumasi (GH),#AA4499
KNUST,Free day,23,-10.294067705459893,39,9,Kumasi (GH),#AA4499
KNUST,Free day,13,5.7552782001619915,39,9,Kumasi (GH),#AA4499
KNUST,Free day,14,1.1759345327820419,38,9,Kumasi (GH),#AA4499
