"page","visually_reviewed","status","observation","image","image_sha256","main_docx_sha256","review_basis"
78,TRUE,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged.","qa/main_round2/page-78.png","b216302c6c04e8a7ebf595aa1c9794012b08c99c7a880092f811ae0e64888a98","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
79,TRUE,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged.","qa/main_round2/page-79.png","c06796f58c6fac962703df7b6e7830cb92c6ae457a7553681bd04df007874e59","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
80,TRUE,"PASS","Table S8 and caption now fit together on one A3 page.","qa/main_round2/page-80.png","d1a809efaef7c0ef7a1b9724c4889abb137957b64556b927b4660080014dbbe0","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
81,TRUE,"PASS","Enlarged first Figure S8 appearance contains all panels A-C and notes within the exact accepted crop.","qa/main_round2/page-81.png","18ad7ee16f5ef6a4a13b8c8eafdbc0240efab95a2fb6965c520149535bb464e6","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
82,TRUE,"PASS","Enlarged second Figure S8 appearance contains every panel-D table row and notes plus the shared caption; exact accepted crop and intrinsic whitespace are preserved.","qa/main_round2/page-82.png","d1ddbb321ec9317654eab991752dd0743f1d6bf252c43e6ab2287cf6d1388df0","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
83,TRUE,"RESIDUAL_LAYOUT_FINDING","The Hourly routine analyses Heading2 is stranded alone because the following S9 Heading3 also has a direct pageBreakBefore. Coordinator confirmed the same XML cause. No third assembly or unapproved patch was performed.","qa/main_round2/page-83.png","429c6f6bf426379c06719894185f162bee9fe2d745dd42e76ec4cf74735f6377","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
84,TRUE,"PASS","Figure S9 heading, image and caption are now together and complete, although the preceding theme heading remains on page 83.","qa/main_round2/page-84.png","e8627a69a88084c909f352f21440a1c93d43b8c04c8dc46b4140ddf16bb48263","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
85,TRUE,"PASS","Figure S10 panels, labels, source notes and caption are complete; the prior native/browser adjudication remains controlling.","qa/main_round2/page-85.png","1631f8af0d8955a60dd67fe0fcd6bbb3547e3df8f66e97e7cf2d3bcf0cd8b108","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
86,TRUE,"CONVERTER_ONLY_ADJUDICATED","The automated PDF has a panel-B subtitle-edge appearance. Actual served HTML shows the entire subtitle, all panels, bottom notes and caption. Exact unchanged SVG retained; see html_s11_top.bin and html_s11_bottom.bin.","qa/main_round2/page-86.png","7e30f6c7e381490b5c720d35652f0bc7ccd4c050046b110bc06bcaaee3618cf1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
87,TRUE,"PASS_PRIOR_ADJUDICATION_RETAINED","Figure S12 content is complete; the accepted native/browser adjudication remains closed and no SVG correction was made.","qa/main_round2/page-87.png","ecba712a0ac0de90a4461f7291b8e027fd5ea2d331098a9a20bf469844ea4be5","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
88,TRUE,"PASS","Table S9 is complete and readable.","qa/main_round2/page-88.png","55829a3f3770a554b262d8f32505bdb542ab355f04433d4a21a3981c22730816","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
89,TRUE,"PASS","Both Table S10 parts contain all seven rows, final notes and caption; sans-serif source appearance is retained without clipping.","qa/main_round2/page-89.png","f43ad9ae78eac494d57d52b657e76f9c278dc5bcbdad1539a9865a17a88583b8","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
90,TRUE,"PASS","Both Table S10 parts contain all seven rows, final notes and caption; sans-serif source appearance is retained without clipping.","qa/main_round2/page-90.png","72f5655c0ec10b81937653590d6812b356f07cf4bd9acd848ce8c2a732786bb6","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
91,TRUE,"PASS","Figure S13 panels and caption are complete.","qa/main_round2/page-91.png","69215bb564fa45c9ec15fd369c6bb467f468d7576a6e3e918b6c30bf19649309","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
92,TRUE,"PASS","Both Table S11 parts, notes and caption are complete.","qa/main_round2/page-92.png","2b09da28131f5719037cb3b9c50923e7d0d23e63bee45651474023b8ba14c994","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
93,TRUE,"PASS","Both Table S11 parts, notes and caption are complete.","qa/main_round2/page-93.png","feae237ef458dc073870aaae362eb010db423b7f6172e930083be4784ac2d18c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
94,TRUE,"PASS","Figure S14 panels and caption are complete.","qa/main_round2/page-94.png","caafb1bf6cf79c1073fa58aa05f9321830e330fc303fbabdea1947f15de455d9","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
95,TRUE,"PASS","Table S12 rows, notes and caption are complete.","qa/main_round2/page-95.png","cf4b5309a871cef682393f939747514a1bbd5b2464c587b7c6bb784c698a1b54","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
96,TRUE,"PASS","Figure S15A remains a separate, complete figure appearance.","qa/main_round2/page-96.png","14a58f7db41dbaad15ee34d51572dc74a476339cd264de15de57d52c88c02d55","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
97,TRUE,"PASS","Accepted replacement Figure S15B has complete unclipped strip labels, all left and right panels, legend and caption. Actual served HTML independently confirms it.","qa/main_round2/page-97.png","c60cbd9c923e0c653e4ef5e3c87fac3874e68f47cab80785106d15621347e75e","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
98,TRUE,"PASS","Table S13 rows, notes and caption are complete.","qa/main_round2/page-98.png","daf28edbe829f2d04562872e1c0d56feaddb2d66058ac94d64ab5d595b2b9d82","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
99,TRUE,"PASS","Enlarged Figure S16 has all three panels, labels, notes and caption on A3 portrait.","qa/main_round2/page-99.png","caff5d0eead43cb8e289e26c6fd7308d7778b67dc9b09a4ff3e32f059280355f","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
100,TRUE,"PASS","Table S14 rows, notes and caption are complete.","qa/main_round2/page-100.png","53ab10fa1442307b57f886019c5301c28d9ba43fbcbd7c7e59faa6b278d8e0b1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
101,TRUE,"PASS_PRIOR_ADJUDICATION_RETAINED","Figure S17 shows the already adjudicated converter-only serif/right-edge appearance. Native/browser acceptance remains closed; no source or placement repair was performed.","qa/main_round2/page-101.png","10aec90c9bddb569caf9314cb5f81caa4e3eb17fa8dc5ad8928c43e73abc116b","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
102,TRUE,"PASS","Table S15 rows, notes and caption are complete.","qa/main_round2/page-102.png","0cadc1042cc0039f960da2d5db88fe86dd33bc58a81e39c5ed93d161cedf09c2","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
103,TRUE,"PASS","Final measurement-position and reproducibility text is complete and readable.","qa/main_round2/page-103.png","ec0d0d483b6ed6d404bfa33f024e29106ab58b200867392c32ae3ea68b5025f6","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
