"document","hypothesis","type","label","source_line","caption","alt_text","source_qmd","render_path","artifact_path","source_data_hint","current_dimensions","current_style","proposed_role","polish_status","identifier_conforms"
"H01","H01","table","tbl-h01-participant-formulas",2067,"Exact participant-level Wilkinson formulas used by the H01 implementation.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-participant-formulas",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-participant-day-formulas",2086,"Exact participant-day Wilkinson formulas used by the H01 implementation.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-participant-day-formulas",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-preregistered-scope-formulas",2105,"Exact Wilkinson formulas used in the preregistered-scope sensitivity.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-preregistered-scope-formulas",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-formula-manifest",2132,"Formula, engine, and estimation method recorded for every fitted and comparison model.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-formula-manifest",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-model-deviations",810,"H02 estimand and model changes relative to the registered analysis.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-model-deviations",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-data-deviations",829,"H02 data and implementation deviations or clarifications.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-data-deviations",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-near-sample",962,"Exact fitted near-eye sample, overall and by site.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-sample",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","figure","fig-h02-near-patterns",1000,"Daily near-eye melEDI patterns: site-average curve (A), site curves (B), participant curves (C), and site-to-global-time-effect factors (D). Ribbons are pointwise 95% CIs.","Four-panel near-eye daily-pattern figure. Panel A shows the site-average global time effect for 816 participant-days with a pointwise 95% confidence ribbon. Panel B shows nine site curves, pointwise ribbons, country-coded site labels, and a participant-day count in each facet. Panel C shows participant curves. Panel D shows site-to-global-time-effect factors with pointwise ribbons; red segments mark individual clock times whose intervals exclude one.","notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#fig-h02-near-patterns","artifacts/10_figures/H02/figure4_exact_layout_replication.png",,"figure4_exact_layout_replication.png: 3300 x 4200 px; 300.000 dpi","external raster/vector figure embedded with knitr","proposed main H02 figure","highly polished; visually reviewed; small harmonization only",TRUE
"H02","H02","table","tbl-h02-near-variation",1018,"Near-eye fitted-curve variation and participant-to-site ratios.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-variation",,,"semantic HTML table; responsive width","semantic gt HTML table","proposed main H02 table","publication-formatted; retain semantic table styling",TRUE
"H02","H02","table","tbl-h02-near-dominance",1047,"Near-eye conditional Shapley allocation of in-sample model fit.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-dominance",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-near-relevance",1068,"Near-eye participant-versus-site comparisons from the Shapley allocation.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-relevance",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-near-windows",1095,"Near-eye clock windows whose pointwise conditional 95% interval excludes the global time effect.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-windows",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","figure","fig-h02-near-diagnostics",1112,"Near-eye model checks (diagnostics).","Five-panel model-check figure for the near-eye nonlinear GAM. Panels A to D show a normal QQ plot, residuals versus linear predictor, a residual histogram, and observed versus fitted values using Pearson residuals. Panel E shows residual autocorrelation before and after the boundary-aware AR(1) correction.","notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#fig-h02-near-diagnostics","artifacts/10_figures/H02/model_diagnostics_near_eye.png",,"model_diagnostics_near_eye.png: 3150 x 2850 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H02","H02","table","tbl-h02-near-diagnostics",1128,"Near-eye fit and model-check summary.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-diagnostics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H02","H02","table","tbl-h02-chest-sample",1172,"Exact fitted chest sample, overall and by site.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-chest-sample",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-chest-variation",1197,"Chest fitted-curve variation and participant-to-site ratios.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-chest-variation",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-chest-dominance",1225,"Chest conditional Shapley allocation of in-sample model fit.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-chest-dominance",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","table","tbl-h02-chest-relevance",1246,"Chest participant-versus-site comparisons from the Shapley allocation.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-chest-relevance",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","figure","fig-h02-chest-patterns",1271,"Daily chest melEDI patterns: site-average curve (A), site curves (B), participant curves (C), and site-to-global-time-effect factors (D). Ribbons are pointwise 95% CIs.","Four-panel chest daily-pattern figure. Panel A shows the site-average global time effect for 902 participant-days with a pointwise 95% confidence ribbon. Panel B shows eight site curves, pointwise ribbons, country-coded site labels, and a participant-day count in each facet. Panel C shows participant curves. Panel D shows site-to-global-time-effect factors with pointwise ribbons; red segments mark individual clock times whose intervals exclude one.","notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#fig-h02-chest-patterns","artifacts/10_figures/H02/figure4_exact_layout_replication_chest.png",,"figure4_exact_layout_replication_chest.png: 3300 x 4200 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: complementary chest result","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H02","H02","table","tbl-h02-chest-windows",1287,"Chest clock windows whose pointwise conditional 95% interval excludes the global time effect.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-chest-windows",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H02","H02","figure","fig-h02-chest-diagnostics",1304,"Chest model checks.","Five-panel model-check figure for the chest nonlinear GAM. Panels A to D show a normal QQ plot, residuals versus linear predictor, a residual histogram, and observed versus fitted values using Pearson residuals. Panel E shows residual autocorrelation before and after the boundary-aware AR(1) correction.","notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#fig-h02-chest-diagnostics","artifacts/10_figures/H02/model_diagnostics_chest.png",,"model_diagnostics_chest.png: 3150 x 2850 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H02","H02","table","tbl-h02-chest-diagnostics",1320,"Chest fit and model-check summary.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-chest-diagnostics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H02","H02","figure","fig-h02-paired-placement-curves",1359,"Near-eye and chest site curves for the same 112 participants, 643 participant-days, and 29,786 30-minute observations at both sensor positions. Ribbons are component pointwise 95% CIs.","Eight country-coded site facets compare separately fitted near-eye and chest daily melEDI curves for the same 112 participants, 643 participant-days, and 29,786 half-hour observations at both sensor positions. Near-eye curves are solid blue and chest curves are dashed orange; translucent ribbons show component pointwise 95% confidence intervals.","notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#fig-h02-paired-placement-curves",,,"11 x 7 inch render canvas","figure generated in report chunk","supplement: sensitivity or comparison","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H02","H02","table","tbl-h02-sensitivity",1465,"Sensitivity of participant-to-site fitted-curve dispersion ratios.",,"notebooks/hypotheses/H02.qmd","_build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-sensitivity",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-overall-samples",435,"Exact fitted samples for the primary and complementary models.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-overall-samples",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-category-support",453,"Exact fitted support for every light-source category.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-category-support",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","figure","fig-h03-primary-estimates",526,"Site-average one-hour melEDI and ratios to indoor electric light from the light-source-category-by-site interaction model; bars are participant-cluster-robust 95% CIs.","Two-panel plot of site-average estimates from the light-source-category-by-site interaction model for seven light-source categories. Outdoor daylight is highest and sleep darkness lowest. Near-eye outdoor electric is about one tenth of indoor electric. The complementary chest external-light estimate is absent because a site-average estimate cannot be calculated across all eight chest sites.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-primary-estimates","artifacts/10_figures/H03/H03_reader_heterogeneity_category_estimates.png",,"H03_reader_heterogeneity_category_estimates.png: 3840 x 3060 px; 300.000 dpi","external raster/vector figure embedded with knitr","proposed main H03 figure","highly polished; visually reviewed; small harmonization only",TRUE
"H03","H03","table","tbl-h03-primary-results",538,"Site-average category means and ratios to indoor electric light from the light-source-category-by-site interaction model.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-primary-results",,,"semantic HTML table; responsive width","semantic gt HTML table","proposed main H03 table","publication-formatted; retain semantic table styling",TRUE
"H03","H03","table","tbl-h03-omnibus",610,"Category-association and category-by-site interaction omnibus tests.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-omnibus",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-near-site-factorization",663,"Near-eye category effects and site-specific deviations in one factorized display.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-near-site-factorization",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","figure","fig-h03-near-site-context",850,"Near-eye site-specific expected melEDI. Filled points pass the FDR adjustment; crosses denote unsupported contrasts.","Seven-facet interval plot of near-eye melEDI by country-coded study site and light source on one common axis spanning zero through at least one thousand lux. Dashed lines show site-average category means. Site-coloured filled points identify FDR-labelled site deviations, site-coloured open points show other supported estimates, and crosses show unsupported contrasts.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-near-site-context","artifacts/10_figures/H03/H03_near_eye_site_context_estimates.png",,"H03_near_eye_site_context_estimates.png: 4500 x 3000 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: methods or sample context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H03","H03","table","tbl-h03-fixed-r2",872,"Descriptive R² and hierarchy-respecting allocation for the category-by-site interaction model.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-fixed-r2",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-participant-random-intercept",952,"Exploratory participant random-intercept variance assessment for the near-eye outcome.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-participant-random-intercept",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-primary-diagnostics",1086,"Numerical, residual, temporal, and zero-mass model checks.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-primary-diagnostics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H03","H03","figure","fig-h03-primary-diagnostics",1135,"Primary-model residual, temporal-dependence, and zero-mass checks. The melEDI transformation is display-only.","Three-panel model-check plot. Individual residuals show mean-dependent spread, residual correlations remain positive across hourly lags, and observed zero fractions are much lower than the working Tweedie fractions.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-primary-diagnostics","artifacts/10_figures/H03/H03_primary_residual_diagnostics.png",,"H03_primary_residual_diagnostics.png: 3600 x 4500 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H03","H03","table","tbl-h03-sensitivities",1165,"Samples, omnibus tests, and category stability across predefined sensitivities.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-sensitivities",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","figure","fig-h03-paired-placement",1267,"Same-participant, same-hour near-eye and chest category ratios. The identity line does not define equivalence.","Log-log scatter plot of near-eye against chest category ratios to indoor electric light using the same participants and participant-hours at both sensor positions. Daylight categories lie above one at both positions, while display and sleep categories lie below one.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-paired-placement","artifacts/10_figures/H03/H03_paired_placement_comparison.png",,"H03_paired_placement_comparison.png: 2400 x 2400 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: sensitivity or comparison","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H03","H03","figure","fig-h03-temporal-near-eye",1309,"Exploratory near-eye time-of-day means, ratios to the global smooth, and available participant-hours.","Three-row, seven-category near-eye figure. The first row shows time-specific melEDI means and a global dashed curve, the second category-to-global ratios, and the third participant-hour counts. Filled circles mark supported observed hours, open circles sparse observed hours, and grey gaps zero observations.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-temporal-near-eye","artifacts/10_figures/H03/H03_reader_temporal_near_eye.png",,"H03_reader_temporal_near_eye.png: 4725 x 3120 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: detailed result or context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H03","H03","figure","fig-h03-temporal-chest",1326,"Exploratory chest time-of-day means, ratios to the global smooth, and available participant-hours.","Three-row, seven-category chest figure showing time-specific melEDI means, category-to-global ratios, and participant-hour counts. Filled and open circles distinguish adequate from sparse observed support; grey gaps have no observations or fitted curve.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-temporal-chest","artifacts/10_figures/H03/H03_reader_temporal_chest.png",,"H03_reader_temporal_chest.png: 4725 x 3120 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: complementary chest result","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H03","H03","table","tbl-h03-temporal-fit",1345,"Exploratory temporal-model fit summaries.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-temporal-fit",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-temporal-allocation",1390,"Point allocation of fitted temporal linear-predictor variance.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-temporal-allocation",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","table","tbl-h03-temporal-diagnostics",1434,"Convergence, basis-capacity, residual, and zero-mass checks for the temporal models.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-temporal-diagnostics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H03","H03","figure","fig-h03-temporal-diagnostics",1507,"Exploratory temporal-model residual, autocorrelation, and zero-mass checks.","Three-part model-check figure. Residual spread changes with fitted melEDI, lag-one residual correlation remains about 0.14 at both placements, and working Tweedie zero fractions exceed observed fractions across fitted-value deciles.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-temporal-diagnostics","artifacts/10_figures/H03/H03_reader_temporal_diagnostics.png",,"H03_reader_temporal_diagnostics.png: 4020 x 3660 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H03","H03","table","tbl-h03-latitude-slopes",1543,"Exploratory category-specific linear absolute-latitude associations.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-latitude-slopes",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H03","H03","figure","fig-h03-latitude-slopes",1613,"Exploratory factor change in expected melEDI per 10° increase in absolute latitude; points filled in their light-source colour pass the seven-slope within-placement FDR label.","Two-panel forest plot of category-specific ratios per ten degrees farther from the equator. Point outlines and intervals use the corresponding light-source colour. Four near-eye slopes—indoor electric, indoor daylight, outdoor daylight, and sleep darkness—are filled in that colour because their FDR-adjusted p-values are below 0.050. Only indoor electric is filled at chest. Outdoor electric, display, and external-light intervals are wider.","notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#fig-h03-latitude-slopes","artifacts/10_figures/H03/H03_reader_latitude_category_slopes.png",,"H03_reader_latitude_category_slopes.png: 3840 x 1920 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: detailed result or context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H03","H03","table","tbl-h03-formulas",1687,"Exact formulas supplied to the primary, category-by-site interaction, and exploratory models.",,"notebooks/hypotheses/H03.qmd","_build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-formulas",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-overall-samples",498,"Exact fitted samples for the primary and complementary models.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-overall-samples",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-sample-flow",535,"Outcome availability and explicit accounting of hours outside the category models.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-sample-flow",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-category-support",559,"Observed support and weighted totals for every displayed activity category.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-category-support",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","figure","fig-h04-primary-estimates",676,"Site-average one-hour melEDI estimates from the activity-by-site interaction model and named-category ratios versus At home; bars are participant-cluster-robust 95% CIs. Other/unspecified activity is an additive-model display-only estimate shown with an open point.","Two-panel point-and-interval plot ordered from the At home reference through Office/home working, Outdoors, Vehicle/public transport, and Sleeping, with Other/unspecified activity last. The upper panel shows site-average melEDI estimates from the activity-by-site interaction model at the primary near-eye and complementary chest sensor positions: Sleeping is lowest and Outdoors highest. Other/unspecified activity is marked by an open point and comes from the additive model for display only. The lower panel shows interaction-model ratios for the four named categories versus At home on a logarithmic scale; Sleeping is below one and the other three categories are above one.","notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#fig-h04-primary-estimates","artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.png",,"H04_reader_heterogeneity_category_estimates.png: 3840 x 3060 px; 300.000 dpi","external raster/vector figure embedded with knitr","proposed main H04 figure","highly polished; visually reviewed; small harmonization only",TRUE
"H04","H04","table","tbl-h04-primary-results",687,"Site-average activity-category means, ratios, and differences with participant-cluster-robust 95% CIs.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-primary-results",,,"semantic HTML table; responsive width","semantic gt HTML table","proposed main H04 table","publication-formatted; retain semantic table styling",TRUE
"H04","H04","table","tbl-h04-named-contrasts",777,"Additive-model named-category comparisons with At home; FDR adjustment forms one four-member family within each sensor position.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-named-contrasts",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-omnibus",832,"Primary five-named-category and secondary six-category robust omnibus tests.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-omnibus",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-heterogeneity",890,"Support-qualified activity-by-site interaction test and complete site-deviation family accounting.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-heterogeneity",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-near-site-factorization",952,"Near-eye site-average category estimates and site-specific deviation ratios from the activity-by-site interaction model.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-near-site-factorization",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","figure","fig-h04-site-context",1115,"Support-qualified site-specific activity-associated melEDI. Dashed lines are the site-average geometric means for each sensor position and activity; filled points pass the complete sensor-position-specific FDR adjustment, open points are other supported estimates, and crosses denote unsupported contrasts.","Faceted point-and-interval plot of expected melEDI by country-coded study site, sensor position, and five named activity categories. A dashed vertical line in every facet gives the corresponding site-average geometric mean from the activity-by-site interaction model. Site colours are fixed across panels. Filled points identify FDR-adjusted site deviations, open points show other supported estimates, and a cross marks the support-non-estimable near-eye San José (CR) Outdoors cell. Other/unspecified activity is absent.","notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#fig-h04-site-context","artifacts/10_figures/H04/H04_site_activity_estimates.png",,"H04_site_activity_estimates.png: 4800 x 3150 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: sensitivity or comparison","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H04","H04","table","tbl-h04-fixed-r2",1140,"Descriptive R² and hierarchy-respecting allocation for the activity-by-site interaction model.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-fixed-r2",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-participant-random-intercept",1235,"Exploratory fractionally weighted participant random-intercept R² decomposition.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-participant-random-intercept",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H04","H04","table","tbl-h04-primary-diagnostics",1391,"Numerical, influence, zero-mass, variance-pattern, and serial-dependence model checks.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-primary-diagnostics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H04","H04","figure","fig-h04-primary-diagnostics",1460,"Primary-model residual, temporal-dependence, and zero-mass checks.","Three-panel model-check figure for the primary additive models. Individual and binned Pearson residuals show fitted-value-dependent spread at both sensor positions; residual correlations are positive at the first several hourly lags; and working Tweedie zero fractions substantially exceed observed zero fractions across fitted-mean deciles. Concurrent category memberships are aggregated back to one weighted original participant-hour.","notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#fig-h04-primary-diagnostics","artifacts/10_figures/H04/H04_primary_diagnostics.png",,"H04_primary_diagnostics.png: 4020 x 3660 px; 300.000 dpi","external raster/vector figure embedded with knitr","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H04","H04","table","tbl-h04-sensitivities",1494,"Exact fitted samples, five-category omnibus tests, and named-contrast stability across recorded sensitivities.",,"notebooks/hypotheses/H04.qmd","_build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-sensitivities",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
