"document","source_qmd","source_sha256","source_line","chunk_end_line","label","caption","label_option_count","caption_option_count","label_conforms","caption_nonempty","source_native_gt_static","native_gt_evidence","prohibited_output_calls","duplicate_caption_call","backend_specific_markup_present","local_gt_tbl_assertion","manuscript_role","source_contract_complete"
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",822,875,"tbl-h04-heterogeneity","Support-qualified activity-by-site interaction test and complete site-deviation family accounting.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",884,1045,"tbl-h04-near-site-factorization","Near-eye site-average category estimates and site-specific deviation ratios from the activity-by-site interaction model.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,TRUE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1072,1134,"tbl-h04-fixed-r2","Descriptive R² and hierarchy-respecting allocation for the activity-by-site interaction model.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1148,1204,"tbl-h04-primary-diagnostics","Numerical, influence, zero-mass, variance-pattern, and serial-dependence model checks.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1249,1324,"tbl-h04-sensitivities","Exact fitted samples, five-category omnibus tests, and named-contrast stability across predefined sensitivities.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1379,1434,"tbl-h04-temporal-fit","Exploratory temporal-model samples, fit, and added-context summaries.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1485,1516,"tbl-h04-temporal-allocation","Point allocation of fitted temporal linear-predictor variance.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1527,1570,"tbl-h04-temporal-diagnostics","Convergence, basis capacity, residual dependence, support, and midnight checks for the temporal models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",1648,1677,"tbl-h04-formulas","Exact Wilkinson formulas recorded for the population-mean, activity-by-site interaction, and exploratory temporal models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",846,864,"tbl-h05-factors","The four analysed LEBA factors and their score interpretation.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",924,974,"tbl-h05-formulas","Exact evaluated formulas supplied to the H05 full, reduced, and random-site sensitivity models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",984,1024,"tbl-h05-response-specifications","Metric-specific analysis level, response model, transform, and reported effect scale.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1039,1044,"tbl-h05-near-samples","Exact fitted near-eye sample for each light-exposure metric.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1070,1075,"tbl-h05-near-results-a","Primary near-eye associations across all 68 factor–metric cells.",1,1,TRUE,TRUE,TRUE,"gt helper: result_matrix","",FALSE,FALSE,FALSE,"main table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1077,1082,"tbl-h05-near-results-b","Primary near-eye associations (continued).",1,1,TRUE,TRUE,TRUE,"gt helper: result_matrix","",FALSE,FALSE,FALSE,"main table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1123,1128,"tbl-h05-near-adequacy-counts","Near-eye model-adequacy counts.",1,1,TRUE,TRUE,TRUE,"gt helper: adequacy_count_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1130,1135,"tbl-h05-near-limitations","Specified limitations identified by the near-eye model checks.",1,1,TRUE,TRUE,TRUE,"gt helper: limitation_count_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1197,1202,"tbl-h05-near-sleep-diagnostics","Model-check evidence for classifying the near-eye sleep-environment models as unfit for inference.",1,1,TRUE,TRUE,TRUE,"gt helper: sleep_diagnostic_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1223,1228,"tbl-h05-chest-samples","Exact fitted chest sample for each light-exposure metric.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1245,1250,"tbl-h05-chest-results-a","Chest associations for stability, light level, duration, and continuous-period metrics.",1,1,TRUE,TRUE,TRUE,"gt helper: result_matrix","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1252,1257,"tbl-h05-chest-results-b","Chest associations for timing, exposure-history, and spectrum metrics.",1,1,TRUE,TRUE,TRUE,"gt helper: result_matrix","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1285,1290,"tbl-h05-chest-adequacy-counts","Chest model-adequacy counts.",1,1,TRUE,TRUE,TRUE,"gt helper: adequacy_count_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1292,1297,"tbl-h05-chest-limitations","Specified limitations identified by the chest model checks.",1,1,TRUE,TRUE,TRUE,"gt helper: limitation_count_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1306,1311,"tbl-h05-chest-sleep-diagnostics","Model-check evidence for classifying the chest sleep-environment models as unfit for inference.",1,1,TRUE,TRUE,TRUE,"gt helper: sleep_diagnostic_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1334,1339,"tbl-h05-mder-primary-scenarios","MDER estimates, 95% confidence intervals, and exact fitted samples in the primary dataset.",1,1,TRUE,TRUE,TRUE,"gt helper: mder_scenario_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1341,1346,"tbl-h05-mder-gap-scenarios","MDER estimates, 95% confidence intervals, and exact fitted samples in the gap-timing-unaware dataset.",1,1,TRUE,TRUE,TRUE,"gt helper: mder_scenario_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1368,1405,"tbl-h05-mder-upper-tail","Accepted MDER upper-tail screen in the all-available analyses.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1407,1429,"tbl-h05-mder-influence","Accepted MDER upper-tail day and participant influence refits.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1493,1498,"tbl-h05-paired-f2","Exact paired/common near-eye and chest component estimates for F2.",1,1,TRUE,TRUE,TRUE,"gt helper: paired_component_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1502,1507,"tbl-h05-paired-f3","Exact paired/common near-eye and chest component estimates for F3.",1,1,TRUE,TRUE,TRUE,"gt helper: paired_component_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1511,1516,"tbl-h05-paired-f4","Exact paired/common near-eye and chest component estimates for F4.",1,1,TRUE,TRUE,TRUE,"gt helper: paired_component_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1520,1525,"tbl-h05-paired-f5","Exact paired/common near-eye and chest component estimates for F5.",1,1,TRUE,TRUE,TRUE,"gt helper: paired_component_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1534,1545,"tbl-h05-leading-sensitivities","The two leading F2 estimates across placement, sample, and preparation sensitivities.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1554,1568,"tbl-h05-descriptive-spearman","Descriptive participant-level F2 rank correlations for the two leading metrics.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1580,1588,"tbl-h05-random-site-summary","Random-site sensitivity fit status across near-eye and chest associations.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1598,1606,"tbl-h05-leave-site-summary","Primary leave-one-site-out stability classifications.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1633,1656,"tbl-h05-exact-period","Exactly identified longest-period sensitivity.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1705,1744,"tbl-h05-model-deviations","H05 model and inferential changes or operational clarifications.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H05","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",1746,1794,"tbl-h05-data-deviations","H05 metric, clock, placement, and descriptive-output clarifications.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",482,516,"tbl-h06-exact-samples","Exact fitted samples for the six core H06 analyses.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",598,609,"tbl-h06-fdr-adjustment","Declared sets of tests and FDR adjustment.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",633,652,"tbl-h06-primary-effects","Primary near-eye associations.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"main table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",664,682,"tbl-h06-primary-site-interactions","Predictor-by-site interaction tests for the primary near-eye analysis.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",711,1020,"tbl-h06-site-specific-associations","Site-specific near-eye associations with separate nine-site FDR adjustments.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt helper: compact_gt","",FALSE,TRUE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",1038,1075,"tbl-h06-gap-sensitivity-comparisons","Primary and gap-sensitivity estimates on all available and exact common hours.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",1114,1154,"tbl-h06-key-sensitivities","Selected declared sensitivities for the three primary predictors.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",1163,1189,"tbl-h06-influence-checks","Targeted participant and site deletion checks.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",1197,1246,"tbl-h06-model-checks","Model checks for the six common-effect mean models.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",1279,1308,"tbl-h06-exploratory-diary-associations","Exploratory one-at-a-time diary associations.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459",1452,1468,"tbl-h06-figure-readability-checks","Physical-size checks for all reader-facing H06 figures.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",695,729,"tbl-h07-response-specifications","Response specification for each planned personal light-exposure metric.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",816,821,"tbl-h07-near-samples","Exact fitted near-eye sample for each personal light-exposure metric.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",855,860,"tbl-h07-near-results","Primary near-eye qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.",1,1,TRUE,TRUE,TRUE,"gt helper: result_table","",FALSE,FALSE,FALSE,"main table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",882,887,"tbl-h07-chest-samples","Exact fitted chest sample for each personal light-exposure metric.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",904,909,"tbl-h07-chest-results","Complementary chest qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.",1,1,TRUE,TRUE,TRUE,"gt helper: result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",930,977,"tbl-h07-diagnostic-summary","Summary of convergence, smooth-basis, temporal, overlap among nonlinear terms (concurvity), and residual model checks.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,TRUE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",1027,1058,"tbl-h07-sensitivity-samples","Fitted sample sizes for the main data and metric-definition sensitivities. Ranges indicate metric-specific counts.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",1060,1086,"tbl-h07-sensitivity-classifications","Agreement of sensitivity qualifying-transition classifications with the reported pooled photoperiod analysis.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",1096,1117,"tbl-h07-model-form-sensitivities","Qualifying-transition stability under broader photoperiod smooths and fixed site effects.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",1138,1143,"tbl-h07-near-loso","Leave-one-site-out influence on primary near-eye qualifying-transition classifications.",1,1,TRUE,TRUE,TRUE,"gt helper: loso_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",1145,1150,"tbl-h07-chest-loso","Leave-one-site-out influence on complementary chest qualifying-transition classifications.",1,1,TRUE,TRUE,TRUE,"gt helper: loso_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",349,376,"tbl-h08-metrics","H08 light-exposure metrics, response specifications, and reported effect scales.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",393,485,"tbl-h08-formulas","Exact evaluated Wilkinson formulas used in H08.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt object: formula_table","",FALSE,FALSE,TRUE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",494,517,"tbl-h08-families","Complete H08 multiplicity families.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",526,547,"tbl-h08-primary-samples","Exact primary-dataset fitted samples by metric and placement.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",582,587,"tbl-h08-near-eye-results","Primary near-eye site-average VLSQ-8 associations, reported scales, 95% CIs, p-values, and exact fitted samples.",1,1,TRUE,TRUE,TRUE,"gt helper: result_table","",FALSE,FALSE,FALSE,"main table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",599,632,"tbl-h08-near-eye-predictions","Primary near-eye predictions at half an SD below and above the VLSQ-8 mean.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",658,663,"tbl-h08-chest-results","Complementary chest VLSQ-8 associations, 95% confidence intervals, p-values, and exact fitted samples.",1,1,TRUE,TRUE,TRUE,"gt helper: result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",677,709,"tbl-h08-interactions","VLSQ-8-by-site interaction tests.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",741,773,"tbl-h08-paired-placement","Exactly paired near-eye and chest component estimates.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",786,821,"tbl-h08-response-gate","Response-model dispositions across the four primary-dataset inferential targets.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",832,868,"tbl-h08-flagged-diagnostics","Primary-dataset model checks requiring explicit qualification.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",895,922,"tbl-h08-site-influence","Leave-one-site-out stability of the primary-dataset average associations.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",939,1025,"tbl-h08-gap-common-sample","Primary and gap-timing-unaware associations on exact common participant-day samples.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",1056,1140,"tbl-h08-photoperiod-participant-summary","Primary, photoperiod-adjusted, and participant-summary estimates.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",1163,1198,"tbl-h08-metric-definition-sensitivities","Exactly identified longest-period and observed-dose sensitivities.",1,1,TRUE,TRUE,TRUE,"gt helper: h08_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",336,350,"tbl-h09-metrics","Registered H09 timing outcomes.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",370,413,"tbl-h09-formulas","Exact Wilkinson formulas used for the principal H09 comparisons.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",447,471,"tbl-h09-primary-samples","Exact primary-dataset fitted samples by registered outcome, instrument, and placement.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",498,503,"tbl-h09-near-eye-results","Primary near-eye chronotype associations, 95% CIs, p-values, and exact fitted samples.",1,1,TRUE,TRUE,TRUE,"gt helper: result_table","",FALSE,FALSE,FALSE,"main table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",519,524,"tbl-h09-chest-results","Complementary chest chronotype associations, 95% CIs, p-values, and exact fitted samples.",1,1,TRUE,TRUE,TRUE,"gt helper: result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",552,586,"tbl-h09-paired-placement","Exactly matched near-eye and chest component estimates.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
