"parent_index","site","Id","raw_state","period_source_start","period_source_end","expected_minutes","projected_minutes","valid_minutes","brown_yes","expected_recount","projected_recount","valid_recount","yes_recount","pass"
289,"IZTECH","IZTECH_S015","sleep",115,115,694,694,694,419,694,694,694,419,TRUE
290,"IZTECH","IZTECH_S015","sleep",116,116,642,642,642,455,642,642,642,455,TRUE
291,"IZTECH","IZTECH_S015","sleep",117,117,750,750,750,750,750,750,750,750,TRUE
292,"IZTECH","IZTECH_S015","sleep",118,118,615,615,615,469,615,615,615,469,TRUE
293,"IZTECH","IZTECH_S015","sleep",119,119,645,645,645,644,645,645,645,644,TRUE
294,"IZTECH","IZTECH_S015","sleep",120,120,780,780,780,467,780,780,780,467,TRUE
295,"IZTECH","IZTECH_S016","sleep",123,123,581,581,484,399,581,581,484,399,TRUE
296,"IZTECH","IZTECH_S016","sleep",124,124,479,479,479,373,479,479,479,373,TRUE
297,"IZTECH","IZTECH_S016","sleep",125,125,418,418,418,320,418,418,418,320,TRUE
298,"IZTECH","IZTECH_S016","sleep",126,126,265,265,265,265,265,265,265,265,TRUE
299,"IZTECH","IZTECH_S016","sleep",127,127,421,421,421,339,421,421,421,339,TRUE
300,"IZTECH","IZTECH_S016","sleep",128,128,545,545,545,287,545,545,545,287,TRUE
301,"IZTECH","IZTECH_S017","sleep",131,131,400,400,400,211,400,400,400,211,TRUE
302,"IZTECH","IZTECH_S017","sleep",132,132,492,492,492,322,492,492,492,322,TRUE
303,"IZTECH","IZTECH_S017","sleep",133,133,467,467,467,300,467,467,467,300,TRUE
304,"IZTECH","IZTECH_S017","sleep",134,134,390,390,390,307,390,390,390,307,TRUE
305,"IZTECH","IZTECH_S017","sleep",135,135,522,522,522,306,522,522,522,306,TRUE
306,"IZTECH","IZTECH_S017","sleep",136,136,600,600,600,501,600,600,600,501,TRUE
307,"KNUST","KNUST_S001","sleep",1,1,592,592,362,362,592,592,362,362,TRUE
308,"KNUST","KNUST_S001","sleep",2,2,720,720,720,676,720,720,720,676,TRUE
309,"KNUST","KNUST_S001","sleep",3,3,735,735,735,735,735,735,735,735,TRUE
310,"KNUST","KNUST_S001","sleep",4,4,630,630,630,630,630,630,630,630,TRUE
311,"KNUST","KNUST_S001","sleep",5,5,520,520,520,519,520,520,520,519,TRUE
312,"KNUST","KNUST_S001","sleep",6,6,609,609,609,609,609,609,609,609,TRUE
313,"KNUST","KNUST_S002","sleep",8,8,499,499,439,437,499,499,439,437,TRUE
314,"KNUST","KNUST_S002","sleep",9,9,661,661,661,661,661,661,661,661,TRUE
315,"KNUST","KNUST_S002","sleep",10,10,535,535,535,535,535,535,535,535,TRUE
316,"KNUST","KNUST_S002","sleep",11,11,475,475,475,475,475,475,475,475,TRUE
317,"KNUST","KNUST_S002","sleep",12,12,590,590,590,588,590,590,590,588,TRUE
318,"KNUST","KNUST_S002","sleep",13,13,560,560,560,560,560,560,560,560,TRUE
319,"KNUST","KNUST_S003","sleep",15,15,480,480,360,360,480,480,360,360,TRUE
320,"KNUST","KNUST_S003","sleep",16,16,540,540,540,540,540,540,540,540,TRUE
321,"KNUST","KNUST_S003","sleep",17,17,590,590,590,590,590,590,590,590,TRUE
322,"KNUST","KNUST_S003","sleep",18,18,535,535,535,535,535,535,535,535,TRUE
323,"KNUST","KNUST_S003","sleep",19,19,510,510,510,510,510,510,510,510,TRUE
324,"KNUST","KNUST_S003","sleep",20,20,560,560,560,560,560,560,560,560,TRUE
325,"KNUST","KNUST_S004","sleep",23,23,417,417,362,362,417,417,362,362,TRUE
326,"KNUST","KNUST_S004","sleep",24,24,460,460,40,40,460,460,40,40,TRUE
327,"KNUST","KNUST_S004","sleep",25,25,480,480,420,420,480,480,420,420,TRUE
328,"KNUST","KNUST_S004","sleep",26,26,476,476,476,474,476,476,476,474,TRUE
329,"KNUST","KNUST_S005","sleep",31,31,675,675,445,445,675,675,445,445,TRUE
330,"KNUST","KNUST_S005","sleep",32,32,660,660,660,660,660,660,660,660,TRUE
331,"KNUST","KNUST_S005","sleep",33,33,650,650,650,650,650,650,650,650,TRUE
332,"KNUST","KNUST_S005","sleep",34,34,530,530,170,170,530,530,170,170,TRUE
333,"KNUST","KNUST_S006","sleep",36,36,350,350,340,340,350,350,340,340,TRUE
334,"KNUST","KNUST_S006","sleep",37,37,450,450,450,450,450,450,450,450,TRUE
335,"KNUST","KNUST_S006","sleep",38,38,400,400,400,400,400,400,400,400,TRUE
336,"KNUST","KNUST_S006","sleep",39,39,360,360,360,357,360,360,360,357,TRUE
337,"KNUST","KNUST_S006","sleep",40,40,404,404,404,404,404,404,404,404,TRUE
338,"KNUST","KNUST_S006","sleep",41,41,400,400,400,400,400,400,400,400,TRUE
339,"KNUST","KNUST_S007","sleep",43,43,530,530,410,410,530,530,410,410,TRUE
340,"KNUST","KNUST_S007","sleep",44,44,658,658,658,658,658,658,658,658,TRUE
341,"KNUST","KNUST_S007","sleep",45,45,631,631,631,603,631,631,631,603,TRUE
342,"KNUST","KNUST_S007","sleep",46,46,631,631,631,631,631,631,631,631,TRUE
343,"KNUST","KNUST_S008","sleep",50,50,476,476,328,328,476,476,328,328,TRUE
344,"KNUST","KNUST_S008","sleep",51,51,452,452,452,0,452,452,452,0,TRUE
345,"KNUST","KNUST_S008","sleep",52,52,510,510,510,510,510,510,510,510,TRUE
346,"KNUST","KNUST_S008","sleep",53,53,518,518,518,5,518,518,518,5,TRUE
347,"KNUST","KNUST_S008","sleep",54,54,450,450,450,0,450,450,450,0,TRUE
348,"KNUST","KNUST_S009","sleep",56,56,419,419,419,419,419,419,419,419,TRUE
349,"KNUST","KNUST_S009","sleep",57,57,315,315,315,315,315,315,315,315,TRUE
350,"KNUST","KNUST_S009","sleep",58,58,380,380,380,380,380,380,380,380,TRUE
351,"KNUST","KNUST_S009","sleep",59,59,596,596,596,596,596,596,596,596,TRUE
352,"KNUST","KNUST_S009","sleep",60,60,573,573,573,573,573,573,573,573,TRUE
353,"KNUST","KNUST_S009","sleep",61,61,379,379,379,379,379,379,379,379,TRUE
354,"KNUST","KNUST_S010","sleep",63,63,615,615,391,351,615,615,391,351,TRUE
355,"KNUST","KNUST_S010","sleep",64,64,404,404,404,404,404,404,404,404,TRUE
356,"KNUST","KNUST_S010","sleep",65,65,463,463,463,463,463,463,463,463,TRUE
357,"KNUST","KNUST_S010","sleep",66,66,380,380,380,380,380,380,380,380,TRUE
358,"KNUST","KNUST_S010","sleep",67,67,420,420,420,420,420,420,420,420,TRUE
359,"KNUST","KNUST_S010","sleep",68,68,416,416,416,416,416,416,416,416,TRUE
360,"KNUST","KNUST_S011","sleep",70,70,520,520,380,380,520,520,380,380,TRUE
361,"KNUST","KNUST_S011","sleep",71,71,550,550,550,545,550,550,550,545,TRUE
362,"KNUST","KNUST_S011","sleep",72,72,420,420,420,419,420,420,420,419,TRUE
363,"KNUST","KNUST_S011","sleep",73,73,390,390,390,390,390,390,390,390,TRUE
364,"KNUST","KNUST_S011","sleep",74,74,475,475,475,475,475,475,475,475,TRUE
365,"KNUST","KNUST_S011","sleep",75,75,478,478,478,478,478,478,478,478,TRUE
366,"KNUST","KNUST_S012","sleep",77,77,475,475,395,384,475,475,395,384,TRUE
367,"KNUST","KNUST_S012","sleep",78,78,479,479,479,479,479,479,479,479,TRUE
368,"KNUST","KNUST_S012","sleep",79,79,471,471,471,471,471,471,471,471,TRUE
369,"KNUST","KNUST_S012","sleep",80,80,399,399,399,398,399,399,399,398,TRUE
370,"KNUST","KNUST_S012","sleep",81,81,507,507,507,507,507,507,507,507,TRUE
371,"KNUST","KNUST_S012","sleep",82,82,455,455,455,455,455,455,455,455,TRUE
372,"KNUST","KNUST_S013","sleep",84,84,250,250,210,210,250,250,210,210,TRUE
373,"KNUST","KNUST_S013","sleep",85,85,270,270,270,270,270,270,270,270,TRUE
374,"KNUST","KNUST_S013","sleep",86,86,314,314,314,314,314,314,314,314,TRUE
375,"KNUST","KNUST_S013","sleep",87,87,380,380,380,380,380,380,380,380,TRUE
376,"KNUST","KNUST_S013","sleep",88,88,504,504,504,488,504,504,504,488,TRUE
377,"KNUST","KNUST_S013","sleep",89,89,378,378,378,378,378,378,378,378,TRUE
378,"KNUST","KNUST_S014","sleep",91,91,507,507,383,383,507,507,383,383,TRUE
379,"KNUST","KNUST_S014","sleep",92,92,359,359,359,359,359,359,359,359,TRUE
380,"KNUST","KNUST_S014","sleep",93,93,387,387,387,387,387,387,387,387,TRUE
381,"KNUST","KNUST_S014","sleep",94,94,530,530,530,530,530,530,530,530,TRUE
382,"KNUST","KNUST_S014","sleep",95,95,430,430,430,430,430,430,430,430,TRUE
383,"KNUST","KNUST_S014","sleep",96,96,530,530,530,530,530,530,530,530,TRUE
384,"KNUST","KNUST_S015","sleep",98,98,289,289,283,158,289,289,283,158,TRUE
385,"KNUST","KNUST_S015","sleep",99,99,330,330,330,330,330,330,330,330,TRUE
386,"KNUST","KNUST_S015","sleep",100,100,394,394,394,394,394,394,394,394,TRUE
387,"KNUST","KNUST_S015","sleep",101,101,440,440,440,440,440,440,440,440,TRUE
388,"KNUST","KNUST_S015","sleep",102,102,538,538,538,538,538,538,538,538,TRUE
389,"KNUST","KNUST_S015","sleep",103,103,490,490,490,490,490,490,490,490,TRUE
390,"MPI","MPI_S201","sleep",1,1,475,475,415,367,475,475,415,367,TRUE
391,"MPI","MPI_S201","sleep",2,2,440,440,440,396,440,440,440,396,TRUE
392,"MPI","MPI_S201","sleep",3,3,499,499,115,115,499,499,115,115,TRUE
393,"MPI","MPI_S201","sleep",4,4,408,408,408,323,408,408,408,323,TRUE
394,"MPI","MPI_S201","sleep",6,6,500,500,500,308,500,500,500,308,TRUE
395,"MPI","MPI_S202","sleep",8,8,533,533,443,393,533,533,443,393,TRUE
396,"MPI","MPI_S202","sleep",9,9,487,487,487,461,487,487,487,461,TRUE
397,"MPI","MPI_S202","sleep",10,10,330,330,330,330,330,330,330,330,TRUE
398,"MPI","MPI_S202","sleep",11,11,395,395,395,395,395,395,395,395,TRUE
399,"MPI","MPI_S202","sleep",12,12,450,450,450,429,450,450,450,429,TRUE
400,"MPI","MPI_S202","sleep",13,13,460,460,460,430,460,460,460,430,TRUE
401,"MPI","MPI_S204","sleep",15,15,471,471,470,352,471,471,470,352,TRUE
402,"MPI","MPI_S204","sleep",16,16,461,461,461,366,461,461,461,366,TRUE
403,"MPI","MPI_S204","sleep",17,17,410,410,410,311,410,410,410,311,TRUE
404,"MPI","MPI_S204","sleep",18,18,496,496,56,56,496,496,56,56,TRUE
405,"MPI","MPI_S204","sleep",19,19,380,380,380,235,380,380,380,235,TRUE
406,"MPI","MPI_S204","sleep",20,20,572,572,572,351,572,572,572,351,TRUE
407,"MPI","MPI_S205","sleep",22,22,617,617,577,419,617,617,577,419,TRUE
408,"MPI","MPI_S205","sleep",23,23,581,581,581,444,581,581,581,444,TRUE
409,"MPI","MPI_S205","sleep",24,24,632,632,632,630,632,632,632,630,TRUE
410,"MPI","MPI_S205","sleep",25,25,615,615,615,532,615,615,615,532,TRUE
411,"MPI","MPI_S205","sleep",26,26,600,600,600,449,600,600,600,449,TRUE
412,"MPI","MPI_S205","sleep",27,27,592,592,592,476,592,592,592,476,TRUE
413,"MPI","MPI_S206","sleep",29,29,497,497,497,496,497,497,497,496,TRUE
414,"MPI","MPI_S206","sleep",30,30,645,645,645,644,645,645,645,644,TRUE
415,"MPI","MPI_S206","sleep",31,31,509,509,509,504,509,509,509,504,TRUE
416,"MPI","MPI_S206","sleep",32,32,461,461,461,461,461,461,461,461,TRUE
417,"MPI","MPI_S206","sleep",33,33,613,613,613,581,613,613,613,581,TRUE
418,"MPI","MPI_S206","sleep",34,34,452,452,452,452,452,452,452,452,TRUE
419,"MPI","MPI_S208","sleep",36,36,370,370,370,278,370,370,370,278,TRUE
420,"MPI","MPI_S208","sleep",37,37,340,340,340,297,340,340,340,297,TRUE
421,"MPI","MPI_S208","sleep",38,38,540,540,540,351,540,540,540,351,TRUE
422,"MPI","MPI_S208","sleep",41,41,609,609,609,346,609,609,609,346,TRUE
423,"MPI","MPI_S209","sleep",43,43,421,421,421,306,421,421,421,306,TRUE
424,"MPI","MPI_S209","sleep",44,44,480,480,480,382,480,480,480,382,TRUE
425,"MPI","MPI_S209","sleep",45,45,595,595,595,326,595,595,595,326,TRUE
426,"MPI","MPI_S209","sleep",46,46,480,480,480,332,480,480,480,332,TRUE
427,"MPI","MPI_S209","sleep",47,47,457,457,457,346,457,457,457,346,TRUE
428,"MPI","MPI_S209","sleep",48,48,447,447,447,365,447,447,447,365,TRUE
429,"MPI","MPI_S210","sleep",50,50,370,370,370,336,370,370,370,336,TRUE
430,"MPI","MPI_S210","sleep",51,51,260,260,260,257,260,260,260,257,TRUE
431,"MPI","MPI_S210","sleep",52,52,440,440,440,440,440,440,440,440,TRUE
432,"MPI","MPI_S210","sleep",53,53,416,416,416,366,416,416,416,366,TRUE
433,"MPI","MPI_S210","sleep",54,54,490,490,490,458,490,490,490,458,TRUE
434,"MPI","MPI_S210","sleep",55,55,450,450,450,427,450,450,450,427,TRUE
435,"MPI","MPI_S212","sleep",57,57,463,463,373,373,463,463,373,373,TRUE
436,"MPI","MPI_S212","sleep",58,58,475,475,475,475,475,475,475,475,TRUE
437,"MPI","MPI_S212","sleep",59,59,485,485,485,485,485,485,485,485,TRUE
438,"MPI","MPI_S212","sleep",60,60,488,488,488,488,488,488,488,488,TRUE
439,"MPI","MPI_S212","sleep",61,61,450,450,450,450,450,450,450,450,TRUE
440,"MPI","MPI_S212","sleep",62,62,480,480,480,480,480,480,480,480,TRUE
441,"MPI","MPI_S213","sleep",64,64,484,484,422,422,484,484,422,422,TRUE
442,"MPI","MPI_S213","sleep",65,65,459,459,459,444,459,459,459,444,TRUE
443,"MPI","MPI_S213","sleep",66,66,513,513,513,488,513,513,513,488,TRUE
444,"MPI","MPI_S213","sleep",67,67,558,558,558,498,558,558,558,498,TRUE
445,"MPI","MPI_S213","sleep",68,68,464,464,464,377,464,464,464,377,TRUE
446,"MPI","MPI_S214","sleep",71,71,550,550,465,421,550,550,465,421,TRUE
447,"MPI","MPI_S214","sleep",72,72,534,534,534,434,534,534,534,434,TRUE
448,"MPI","MPI_S214","sleep",73,73,455,455,455,430,455,455,455,430,TRUE
449,"MPI","MPI_S214","sleep",74,74,440,440,440,315,440,440,440,315,TRUE
450,"MPI","MPI_S214","sleep",75,75,495,495,495,490,495,495,495,490,TRUE
451,"MPI","MPI_S214","sleep",76,76,565,565,565,453,565,565,565,453,TRUE
452,"MPI","MPI_S215","sleep",78,78,460,460,460,418,460,460,460,418,TRUE
453,"MPI","MPI_S215","sleep",79,79,518,518,518,486,518,518,518,486,TRUE
454,"MPI","MPI_S215","sleep",80,80,490,490,490,490,490,490,490,490,TRUE
455,"MPI","MPI_S215","sleep",81,81,496,496,496,440,496,496,496,440,TRUE
456,"MPI","MPI_S215","sleep",82,82,565,565,565,488,565,565,565,488,TRUE
457,"MPI","MPI_S215","sleep",83,83,438,438,438,375,438,438,438,375,TRUE
458,"MPI","MPI_S216","sleep",85,85,489,489,489,257,489,489,489,257,TRUE
459,"MPI","MPI_S216","sleep",86,86,630,630,630,252,630,630,630,252,TRUE
460,"MPI","MPI_S216","sleep",87,87,525,525,525,317,525,525,525,317,TRUE
461,"MPI","MPI_S216","sleep",88,88,513,513,513,310,513,513,513,310,TRUE
462,"MPI","MPI_S216","sleep",89,89,661,661,661,344,661,661,661,344,TRUE
463,"MPI","MPI_S216","sleep",90,90,440,440,440,233,440,440,440,233,TRUE
464,"MPI","MPI_S218","sleep",92,92,435,435,435,402,435,435,435,402,TRUE
465,"MPI","MPI_S218","sleep",93,93,595,595,595,419,595,595,595,419,TRUE
466,"MPI","MPI_S218","sleep",94,94,495,495,495,416,495,495,495,416,TRUE
467,"MPI","MPI_S218","sleep",95,95,480,480,480,395,480,480,480,395,TRUE
468,"MPI","MPI_S218","sleep",96,96,525,525,525,381,525,525,525,381,TRUE
469,"MPI","MPI_S218","sleep",97,97,450,450,450,0,450,450,450,0,TRUE
470,"MPI","MPI_S219","sleep",99,99,372,372,372,370,372,372,372,370,TRUE
471,"MPI","MPI_S219","sleep",100,100,520,520,520,458,520,520,520,458,TRUE
472,"MPI","MPI_S219","sleep",101,101,505,505,505,505,505,505,505,505,TRUE
473,"MPI","MPI_S219","sleep",102,102,530,530,530,528,530,530,530,528,TRUE
474,"MPI","MPI_S219","sleep",103,103,465,465,465,430,465,465,465,430,TRUE
475,"MPI","MPI_S219","sleep",104,104,510,510,510,463,510,510,510,463,TRUE
476,"MPI","MPI_S221","sleep",106,106,495,495,480,480,495,495,480,480,TRUE
477,"MPI","MPI_S221","sleep",107,107,525,525,525,452,525,525,525,452,TRUE
478,"MPI","MPI_S221","sleep",108,108,465,465,465,417,465,465,465,417,TRUE
479,"MPI","MPI_S221","sleep",109,109,595,595,595,587,595,595,595,587,TRUE
480,"MPI","MPI_S221","sleep",110,110,360,360,360,358,360,360,360,358,TRUE
481,"MPI","MPI_S221","sleep",111,111,615,615,555,554,615,615,555,554,TRUE
482,"MPI","MPI_S222","sleep",113,113,270,270,270,270,270,270,270,270,TRUE
483,"MPI","MPI_S222","sleep",114,114,277,277,277,276,277,277,277,276,TRUE
484,"MPI","MPI_S222","sleep",115,115,425,425,425,410,425,425,425,410,TRUE
485,"MPI","MPI_S222","sleep",116,116,300,300,300,300,300,300,300,300,TRUE
486,"MPI","MPI_S222","sleep",117,117,332,332,332,312,332,332,332,312,TRUE
487,"MPI","MPI_S222","sleep",118,118,237,237,237,237,237,237,237,237,TRUE
488,"MPI","MPI_S223","sleep",120,120,610,610,560,501,610,610,560,501,TRUE
489,"MPI","MPI_S223","sleep",121,121,420,420,420,252,420,420,420,252,TRUE
490,"MPI","MPI_S223","sleep",122,122,300,300,300,300,300,300,300,300,TRUE
491,"MPI","MPI_S223","sleep",123,123,405,405,405,383,405,405,405,383,TRUE
492,"MPI","MPI_S223","sleep",124,124,465,465,465,371,465,465,465,371,TRUE
493,"MPI","MPI_S223","sleep",125,125,480,480,480,395,480,480,480,395,TRUE
494,"MPI","MPI_S224","sleep",127,127,330,330,330,330,330,330,330,330,TRUE
495,"MPI","MPI_S224","sleep",128,128,420,420,420,420,420,420,420,420,TRUE
496,"MPI","MPI_S224","sleep",129,129,410,410,410,410,410,410,410,410,TRUE
497,"MPI","MPI_S224","sleep",130,130,465,465,465,463,465,465,465,463,TRUE
498,"MPI","MPI_S224","sleep",131,131,345,345,345,345,345,345,345,345,TRUE
499,"MPI","MPI_S224","sleep",132,132,530,530,530,530,530,530,530,530,TRUE
500,"MPI","MPI_S225","sleep",134,134,413,413,314,314,413,413,314,314,TRUE
501,"MPI","MPI_S225","sleep",135,135,519,519,519,515,519,519,519,515,TRUE
502,"MPI","MPI_S225","sleep",136,136,383,383,383,377,383,383,383,377,TRUE
503,"MPI","MPI_S225","sleep",137,137,401,401,401,401,401,401,401,401,TRUE
504,"MPI","MPI_S225","sleep",138,138,397,397,397,393,397,397,397,393,TRUE
505,"MPI","MPI_S225","sleep",139,139,475,475,475,475,475,475,475,475,TRUE
506,"MPI","MPI_S226","sleep",141,141,370,370,370,370,370,370,370,370,TRUE
507,"MPI","MPI_S226","sleep",142,142,423,423,423,331,423,423,423,331,TRUE
508,"MPI","MPI_S226","sleep",143,143,201,201,201,200,201,201,201,200,TRUE
509,"MPI","MPI_S226","sleep",144,144,452,452,452,452,452,452,452,452,TRUE
510,"MPI","MPI_S226","sleep",145,145,330,330,330,209,330,330,330,209,TRUE
511,"MPI","MPI_S226","sleep",146,146,245,245,245,208,245,245,245,208,TRUE
512,"MPI","MPI_S227","sleep",148,148,435,435,435,370,435,435,435,370,TRUE
513,"MPI","MPI_S227","sleep",149,149,540,540,540,299,540,540,540,299,TRUE
514,"MPI","MPI_S227","sleep",150,150,361,361,361,361,361,361,361,361,TRUE
515,"MPI","MPI_S227","sleep",151,151,526,526,526,346,526,526,526,346,TRUE
516,"MPI","MPI_S227","sleep",152,152,480,480,480,353,480,480,480,353,TRUE
517,"MPI","MPI_S227","sleep",153,153,513,513,513,383,513,513,513,383,TRUE
518,"MPI","MPI_S228","sleep",155,155,435,435,425,408,435,435,425,408,TRUE
519,"MPI","MPI_S228","sleep",156,156,431,431,431,413,431,431,431,413,TRUE
520,"MPI","MPI_S228","sleep",157,157,505,505,505,504,505,505,505,504,TRUE
521,"MPI","MPI_S228","sleep",158,158,434,434,434,431,434,434,434,431,TRUE
522,"MPI","MPI_S228","sleep",160,160,538,538,538,407,538,538,538,407,TRUE
523,"MPI","MPI_S228","sleep",159,159,459,459,459,455,459,459,459,455,TRUE
524,"MPI","MPI_S229","sleep",162,162,470,470,380,380,470,470,380,380,TRUE
525,"MPI","MPI_S229","sleep",163,163,470,470,470,467,470,470,470,467,TRUE
526,"MPI","MPI_S229","sleep",164,164,480,480,480,478,480,480,480,478,TRUE
527,"MPI","MPI_S229","sleep",165,165,447,447,447,446,447,447,447,446,TRUE
528,"MPI","MPI_S229","sleep",166,166,455,455,455,455,455,455,455,455,TRUE
529,"MPI","MPI_S229","sleep",167,167,485,485,485,479,485,485,485,479,TRUE
530,"MPI","MPI_S230","sleep",169,169,560,560,540,540,560,560,540,540,TRUE
531,"MPI","MPI_S230","sleep",170,170,471,471,20,20,471,471,20,20,TRUE
532,"MPI","MPI_S230","sleep",171,171,565,565,565,550,565,565,565,550,TRUE
533,"MPI","MPI_S230","sleep",172,172,460,460,460,460,460,460,460,460,TRUE
534,"MPI","MPI_S230","sleep",173,173,421,421,421,421,421,421,421,421,TRUE
535,"MPI","MPI_S230","sleep",174,174,405,405,405,365,405,405,405,365,TRUE
536,"MPI","MPI_S231","sleep",176,176,435,435,435,435,435,435,435,435,TRUE
537,"MPI","MPI_S231","sleep",177,177,534,534,534,526,534,534,534,526,TRUE
538,"MPI","MPI_S231","sleep",178,178,338,338,338,338,338,338,338,338,TRUE
539,"MPI","MPI_S231","sleep",179,179,445,445,445,445,445,445,445,445,TRUE
540,"MPI","MPI_S231","sleep",180,180,436,436,436,436,436,436,436,436,TRUE
541,"MPI","MPI_S231","sleep",181,181,474,474,474,469,474,474,474,469,TRUE
542,"RISE","RISE_S001","sleep",1,1,392,392,345,345,392,392,345,345,TRUE
543,"RISE","RISE_S001","sleep",2,2,420,420,420,420,420,420,420,420,TRUE
544,"RISE","RISE_S001","sleep",3,3,425,425,425,425,425,425,425,425,TRUE
545,"RISE","RISE_S001","sleep",4,4,406,406,406,406,406,406,406,406,TRUE
546,"RISE","RISE_S001","sleep",5,5,417,417,417,417,417,417,417,417,TRUE
547,"RISE","RISE_S001","sleep",6,6,400,400,400,394,400,400,400,394,TRUE
548,"RISE","RISE_S002","sleep",8,8,328,328,328,328,328,328,328,328,TRUE
549,"RISE","RISE_S002","sleep",9,9,379,379,379,379,379,379,379,379,TRUE
550,"RISE","RISE_S002","sleep",10,10,306,306,306,306,306,306,306,306,TRUE
551,"RISE","RISE_S002","sleep",11,11,345,345,345,330,345,345,345,330,TRUE
552,"RISE","RISE_S002","sleep",12,12,445,445,445,281,445,445,445,281,TRUE
553,"RISE","RISE_S002","sleep",13,13,351,351,351,170,351,351,351,170,TRUE
554,"RISE","RISE_S003","sleep",15,15,385,385,370,370,385,385,370,370,TRUE
555,"RISE","RISE_S003","sleep",16,16,490,490,490,490,490,490,490,490,TRUE
556,"RISE","RISE_S003","sleep",17,17,401,401,401,399,401,401,401,399,TRUE
557,"RISE","RISE_S003","sleep",18,18,510,510,510,510,510,510,510,510,TRUE
558,"RISE","RISE_S003","sleep",19,19,570,570,570,570,570,570,570,570,TRUE
559,"RISE","RISE_S003","sleep",20,20,545,545,545,460,545,545,545,460,TRUE
560,"RISE","RISE_S004","sleep",22,22,420,420,360,354,420,420,360,354,TRUE
561,"RISE","RISE_S004","sleep",23,23,453,453,453,442,453,453,453,442,TRUE
562,"RISE","RISE_S004","sleep",24,24,405,405,405,405,405,405,405,405,TRUE
563,"RISE","RISE_S004","sleep",25,25,410,410,410,406,410,410,410,406,TRUE
564,"RISE","RISE_S004","sleep",26,26,431,431,431,364,431,431,431,364,TRUE
565,"RISE","RISE_S004","sleep",27,27,509,509,449,343,509,509,449,343,TRUE
566,"RISE","RISE_S005","sleep",29,29,455,455,360,360,455,455,360,360,TRUE
567,"RISE","RISE_S005","sleep",30,30,475,475,475,475,475,475,475,475,TRUE
568,"RISE","RISE_S005","sleep",31,31,455,455,455,454,455,455,455,454,TRUE
569,"RISE","RISE_S005","sleep",32,32,390,390,390,388,390,390,390,388,TRUE
570,"RISE","RISE_S005","sleep",33,33,435,435,435,435,435,435,435,435,TRUE
571,"RISE","RISE_S005","sleep",34,34,500,500,500,500,500,500,500,500,TRUE
572,"RISE","RISE_S006","sleep",36,36,464,464,434,434,464,464,434,434,TRUE
573,"RISE","RISE_S006","sleep",37,37,519,519,519,514,519,519,519,514,TRUE
574,"RISE","RISE_S006","sleep",38,38,481,481,481,479,481,481,481,479,TRUE
575,"RISE","RISE_S006","sleep",39,39,425,425,425,425,425,425,425,425,TRUE
576,"RISE","RISE_S006","sleep",40,40,606,606,606,604,606,606,606,604,TRUE
577,"RISE","RISE_S006","sleep",41,41,456,456,456,429,456,456,456,429,TRUE
578,"RISE","RISE_S007","sleep",43,43,420,420,420,420,420,420,420,420,TRUE
579,"RISE","RISE_S007","sleep",44,44,445,445,445,445,445,445,445,445,TRUE
580,"RISE","RISE_S007","sleep",45,45,390,390,390,308,390,390,390,308,TRUE
581,"RISE","RISE_S007","sleep",46,46,619,619,619,330,619,619,619,330,TRUE
582,"RISE","RISE_S007","sleep",47,47,515,515,515,340,515,515,515,340,TRUE
583,"RISE","RISE_S007","sleep",48,48,495,495,495,271,495,495,495,271,TRUE
584,"RISE","RISE_S008","sleep",51,51,435,435,435,435,435,435,435,435,TRUE
585,"RISE","RISE_S008","sleep",52,52,480,480,480,480,480,480,480,480,TRUE
586,"RISE","RISE_S008","sleep",53,53,447,447,447,447,447,447,447,447,TRUE
587,"RISE","RISE_S009","sleep",55,55,380,380,290,243,380,380,290,243,TRUE
588,"RISE","RISE_S009","sleep",56,56,385,385,385,345,385,385,385,345,TRUE
589,"RISE","RISE_S009","sleep",57,57,500,500,500,319,500,500,500,319,TRUE
590,"RISE","RISE_S009","sleep",58,58,380,380,380,334,380,380,380,334,TRUE
591,"RISE","RISE_S009","sleep",59,59,435,435,435,319,435,435,435,319,TRUE
592,"RISE","RISE_S009","sleep",60,60,435,435,435,306,435,435,435,306,TRUE
593,"RISE","RISE_S010","sleep",62,62,405,405,385,385,405,405,385,385,TRUE
594,"RISE","RISE_S010","sleep",63,63,407,407,407,407,407,407,407,407,TRUE
595,"RISE","RISE_S010","sleep",64,64,370,370,370,370,370,370,370,370,TRUE
596,"RISE","RISE_S010","sleep",65,65,480,480,480,480,480,480,480,480,TRUE
597,"RISE","RISE_S010","sleep",66,66,500,500,500,500,500,500,500,500,TRUE
598,"RISE","RISE_S012","sleep",76,76,576,576,468,468,576,576,468,468,TRUE
599,"RISE","RISE_S012","sleep",83,83,555,555,555,555,555,555,555,555,TRUE
600,"RISE","RISE_S012","sleep",77,77,596,596,596,586,596,596,596,586,TRUE
601,"RISE","RISE_S012","sleep",78,78,518,518,518,518,518,518,518,518,TRUE
602,"RISE","RISE_S012","sleep",79,79,534,534,534,534,534,534,534,534,TRUE
603,"RISE","RISE_S012","sleep",80,80,540,540,540,540,540,540,540,540,TRUE
604,"RISE","RISE_S012","sleep",81,81,580,580,580,580,580,580,580,580,TRUE
605,"RISE","RISE_S013","sleep",84,84,600,600,360,360,600,600,360,360,TRUE
606,"RISE","RISE_S013","sleep",85,85,600,600,600,585,600,600,600,585,TRUE
