decision_id,date,status,scope,decision,rationale,evidence_locator,implementation_effect,reopening_condition
"H01-001","2026-07-30","approved","H01 multiple-testing correction","Adjust four separate complete 17-value vectors containing one preselected model-level test per metric for site photoperiod latitude and the same-frame site-versus-latitude comparison using Benjamini-Hochberg; do not adjust isolated scalar p-values or include every fitted coefficient","This implements the preregistered intent of correcting across 17 metric models while applying the method correctly to a vector and separately tests whether latitude adequately summarizes the site pattern","audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","H01 produces one registry row per planned metric and family and applies one vector-wide correction per family","Reopen if the outcome set primary model-level test or family definition changes"
"H01-002","2026-07-30","approved","H01 site deviations from the overall mean","After a supported adjusted overall site test preserve the emmeans comparison of every site with the equally weighted overall site mean; adjust the nine near-eye or eight chest deviations together within that metric and report raw and adjusted p-values and 95% confidence intervals","This retains the recognizable H1 follow-up while separating the primary across-model test from secondary within-metric localization","audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","Supported metrics report model-based site averages and from-mean differences or ratios with 95% intervals and their own secondary adjustment","Reopen if site weighting follow-up hierarchy placement site set or contrast scale changes"
"H01-003","2026-07-30","approved","H01 variation represented by the models","Retain marginal and conditional R2 participant-associated share and term-level part R2 for site and photoperiod on a fixed full-model denominator for every declared model; report overlapping terms separately and use a separate latitude-model part R2","This retains the construct while repairing significance-selected overlapping contributions and a conditional-R2 branch error","audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","All declared H01 models report non-additive variation summaries with joint 95% bootstrap intervals and explicit scale","Reopen if model family link random structure denominator definition or variance approximation changes or a result materially changes"
"H01-004","2026-07-30","approved","H01 uncertainty and sample reporting","Use at least 1000 successful joint parametric-bootstrap refits per metric for planned H01 effect and R2 intervals; record failures seeds methods scales and exact fitted samples overall and by site","Joint refitting propagates uncertainty in full-versus-reduced differences and model-specific samples are required to interpret every estimate","audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","H01 reports 95% intervals and exact participant participant-day or participant-level model-row and site counts with Tweedie lognormal primary and delta sensitivity","Reopen if the bootstrap target interval method model sample or Tweedie residual-variance approximation changes"
"H01-005","2026-07-30","approved","H01 response-family package","Use the approved 17-metric response-family and transformation package unchanged in the main and manuscript-prepared-data scenarios; required diagnostics may identify a common predefined alternative but no scenario receives a different primary model","The outcome-blinded support and distribution screen showed that one error distribution is unsuitable for all metrics while the fixed package preserves recognizable models where defensible","audit/decisions/h01_prefit_gate.md; audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","Every H01 metric has one fixed primary response model and explicit checks or alternatives before any H01 effect is examined; failure in either data scenario opens a major common-replacement gate","Reopen if a required diagnostic fails a primary model the metric support changes or a replacement model would change likelihood link transformation or estimand"
"H01-006","2026-07-30","approved","H01 formal site-versus-latitude family","For each of the 17 metrics compare the full site-factor model with the otherwise identical linear-latitude model on exactly the same observations and adjust the 17 model-level p-values together with Benjamini-Hochberg as a fourth family","Separate site and latitude tests do not establish whether one linear latitude gradient adequately summarizes the full site pattern","audit/decisions/h01_prefit_gate.md; audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","H01 may make a formal latitude-adequacy statement only from this same-frame fourth family; AIC and leave-one-site-out results remain descriptive support","Reopen if the comparison frame random structure latitude definition model family or family membership changes"
"H01-007","2026-07-31","approved","H01 calendar-day pre-sleep duration","Use cumulative time below 10 lx melEDI across all diary-defined pre-sleep intervals on the local calendar date; do not cap truncate replace or exclude valid values at three or six hours; use 24 hours as the physical response bound and strictly above six hours only as an audit warning","A calendar date can contain the post-midnight remainder of one pre-sleep interval and the evening portion of the next so values above three hours can be valid and are not duplicated","audit/decisions/h01_gate_resolution.md; audit/hypotheses/H01/H01_major_change_gate.md; audit/hypotheses/H01/H01_shared_pre_sleep_interval_evidence.csv","The same construct and Tweedie-log response are used for main and manuscript-prepared data and for near-eye and chest measurements; the six-hour threshold never changes a value or model row","Reopen if the analytical day pre-sleep interval assignment threshold role response bound or response family changes"
"H01-008","2026-07-31","approved","H01 L10 midpoint conversion","For the primary H01 model subtract 24 hours only from L10 midpoint clock times strictly later than 16:00; retain the noon conversion as a named same-row same-model sensitivity outside the four primary 17-test families","The author judged the nighttime midpoint to remain linearly interpretable after a 16:00 cut; this is a prefit transformation amendment rather than a circular model outcome change or response-family change","audit/decisions/h01_gate_resolution.md; scripts/hypotheses/H01/h01_contract.R; scripts/hypotheses/H01/h01_modeling.R; tests/hypotheses/H01/test_h01_modeling.R","The identical strict-after-16 primary and strict-after-noon sensitivity implementations are applied to main and manuscript-prepared data near eye and chest; exactly 16:00 is not shifted","Reopen if the L10 outcome clock cut strict boundary response family model rows or sensitivity membership changes"
"H01-009","2026-08-01","approved","H01 four-stage workflow transition","Treat the existing H01 audit decisions as Stage 1 and the accepted H01 implementation/V0 comparison as Stage 2; recognize the completed verified production bootstrap as an unnumbered computation gate between Stages 2 and 3; proceed next to the standalone reader-facing Stage 3 result and complete the Stage 4 pipeline description only after that result is accepted","The H01 computation predates the common gated workflow but already satisfies the scientific pilot and production requirements; rerunning 128 bootstrap targets or creating a duplicate production report solely to renumber the workflow would add risk and no evidence","audit/decisions/h01_four_stage_workflow.md; audit/handoffs/H01_worker_handoff.md; notebooks/hypotheses/H01.qmd; artifacts/12_manifests/H01_response_family_bootstrap_production_artifacts.csv; tests/hypotheses/H01/test_h01_bootstrap_outputs.R","The continuing H01 task preserves its accepted Stage 2 comparison source and HTML then rewrites notebooks/hypotheses/H01.qmd as the standalone Stage 3 result without V0 or construction history and stops for author review; after approval the Stage 4 preparation and provenance companion follows REPORT-007","Reopen if preserving Stage 2 or preparing Stage 3 changes an input formula target draw interval diagnostic multiplicity result or claim if Stage 3 reruns accepted production computation or if Stage 4 begins before Stage 3 approval"
"COVERAGE-002","2026-07-31","approved","Day-level flat-zero melEDI plausibility screen","Exclude an otherwise eligible participant-day when every finite one-minute melEDI value is exactly 0 lx; retain individual zero observations raw rows explicit classification fields and an all-zero-inclusive data sensitivity","Five placement-days contained 1440 finite melEDI minutes and 1440 exact zeros while neighboring days had positive exposure; the narrow exact-zero screen is reproducible outcome-independent and avoids an arbitrary near-zero threshold","audit/decisions/all_zero_medi_day_exclusion.md; audit/findings/all_zero_medi_days.md","Primary coverage changes from 818 to 816 near-eye days from 905 to 902 chest days and from 646 to 643 paired days without removing any participant; apply the same screen to every fixed coverage scenario","Reopen if a complete flat-zero record is shown valid the rule broadens beyond exact zero differs across scenarios or the all-zero-inclusive sensitivity materially changes a result"
"H02-INPUT-001","2026-07-31","approved","H02/H11 regenerated shared-input bundle","Treat the current near-eye and chest 30-minute base data their base manifest and the true-UTC source-bin wall-link and temporal-manifest files as one approved superseding six-artifact bundle","Both independent R 4.6.1 verifiers pass against the final Preparation 02-06 regeneration; approving the bundle explicitly prevents H02 or H11 from mixing current outcomes with earlier sequence identities","audit/decisions/h02_shared_input_transition.md; audit/findings/h02_h11_true_time_sequence_provenance.md; audit/handoffs/H02_shared_change_request.md","H02 must repin and rebuild all model frames before refitting; H11 must inherit the same current temporal-provenance bundle without copying H02 fitted values","Reopen if any of the six hashes changes either verifier fails the accepted coverage rule changes or H02/H11 uses a different elapsed-time sequence definition"
"COMPUTE-001","2026-07-31","approved","Pilot-first computation-heavy bootstrap execution","Run a separate 50- or 100-replicate production-code pilot report runtime failures resources and preview outputs and obtain explicit author confirmation before launching a full computation-heavy bootstrap or simulation","A small reviewable run permits iteration on output presentation and exposes execution problems while avoiding an unreviewed multi-hour computation","audit/decisions/bootstrap_execution_policy.md; audit/hypotheses/implementation_result_comparison_contract.qmd","Pilot outputs remain non-inferential and separate from production; every future full run is blocked until its pilot passes and the author approves its projected cost and presentation","Reopen if pilot size production target resampling structure runtime estimation target registry or the approval requirement changes"
"DISPLAY-001","2026-07-31","approved","Submitted-manuscript site presentation","Use the submitted manuscript site names colours and order in all reader-facing hypothesis descriptive and manuscript prose tables figures legends and facets","A shared presentation registry preserves the recognizable manuscript identity and prevents site identities from changing across independently developed outputs","config/site_display_registry.csv; audit/decisions/site_display_conventions.md; scripts/helpers.R; scripts/site_names.R","All outputs consume the same nine-site registry; missing sites are omitted without recolouring or reordering and accessibility is added through labels shapes or line types","Reopen only after author approval of a changed site name order or colour or when a journal accessibility requirement makes the palette unusable"
"AUDIT-002","2026-07-31","approved","H03-H11 gated hypothesis workflow","Complete H03-H11 in four stages: audit and plan; implementation and V0 comparison; standalone reader-facing results; and a preparation-and-provenance description of the result-producing pipeline; treat any production bootstrap or simulation as an unnumbered approval gate between Stages 2 and 3 and require interpreted model diagnostics at every post-fit stage","Separate approvals prevent method choices from being influenced by new outcomes preserve an exact V0 comparison during construction keep the Stage 3 report focused on the scientific question and make the accepted chain auditable in Stage 4 without refitting","audit/decisions/h03_h11_gated_workflow.md; audit/decisions/hypothesis_preparation_provenance_companions.md; audit/hypotheses/H03-H11_gated_workflow.qmd; audit/ledgers/hypothesis_stage_gates.csv","H03-H11 tasks stop after each rendered scientific gate; V0 terminology remains audit-only and Stage 3 near-eye and chest sections contain recreated outputs digestible gt tables model-specific samples uncertainty diagnostics and sensitivities; Stage 4 adds the ordinary-reader reciprocal-linked bounded-render pipeline companion with source-copy structural tests and a non-circular manifest","Reopen if stage order production computation is numbered as a stage approval requirements V0 terminology diagnostic assessment requirements Stage 3 scope or the REPORT-007 Stage 4 contract changes"
"ENV-001","2026-07-31","verified","R 4.6.1 renv lockfile synchronization","Snapshot the installed verified R 4.6.1 environment now retain explicit diagnostic and Quarto-scanner dependencies and require timeout-controlled status checks","Active parallel tasks need one usable package baseline and the stale R 4.5 lockfile no longer represented the installed analysis environment","renv.lock; scripts/environment/snapshot_renv_lock.R; tests/test_renv_lockfile.R; audit/decisions/renv_lockfile_update.md; audit/environment/r-4.6.1-lock-snapshot.md; audit/environment/renv-status/renv-status-metadata.csv","The lockfile records R 4.6.1 and 246 packages; deterministic reconciliation smoke tests and source-aware bounded renv status pass; workers use the shared library and request coordinator-owned dependency changes","Reopen if the required package set version source R minor version lockfile hash or bounded synchronization result changes"
"AUDIT-003","2026-08-01","approved","H03-H11 same-task stage continuity","Assign one continuing task to each H03-H11 hypothesis across Stages 1 through 4 and any unnumbered production-computation gate while requiring that task to stop for explicit author approval at every scientific gate","Keeping the evidence decisions and reasoning in one hypothesis task reduces handoff loss without allowing a later stage to begin automatically","audit/decisions/h03_h11_gated_workflow.md; audit/hypotheses/H03-H11_gated_workflow.qmd","Future H03-H11 prompts grant one task stage-dependent ownership of its hypothesis files; the task pauses and resumes after each approval while the coordinator retains all shared files and gate authority","Reopen if a hypothesis is split across replacement tasks approval is treated as transferable or task continuity is allowed to override coordinator ownership"
"H02-MODEL-001","2026-08-01","approved_verified","H02 final temporal model and H11 inheritance","Accept h02_nh_v2_sz with a cyclic common daily smooth sum-to-zero site deviations participant time curves participant-day intercept and boundary-aware AR1; keep near eye primary and chest complementary; allow H11 to inherit the frozen specification but not fitted values","The accepted implementation answers the within-site versus between-site fitted-pattern question with explicit estimands and verified sequence provenance; a same-sample thin-plate common-time diagnostic worsened AIC and midnight continuity without materially improving residual diagnostics","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md; artifacts/07_models/H02/selected_temporal_model_specification.csv; artifacts/09_tables/H02/global_time_basis_model_comparison.csv; artifacts/08_diagnostics/H02/global_time_basis_residual_metrics.csv","H02 claims use fitted-curve dispersion and conditional Shapley fitted-model relevance rather than observed variance explained; H11 inherits the transform bases hierarchy sequence-boundary and diagnostic contract","Reopen if the accepted input identities response construction temporal sequence boundaries formula common-time basis placement role or fitted sample changes"
"H05-001","2026-08-01","approved","H05 Stage 2 gate and Stage 3 transition","Approve H05 Stage 2 items 1-5 and 7; supersede the former item 6 that proposed skipping Stage 3; retain its deferred expensive analyses without a production-computation gate and proceed directly to the mandatory standalone Stage 3 reader-facing result","Production computation is an unnumbered conditional gate rather than Stage 3 and the approved H05 primary inference does not require it","audit/decisions/h05_stage2_gate_and_stage3_transition.md; audit/hypotheses/H05/02_implementation_and_v0_comparison.qmd; audit/handoffs/H05_stage2_handoff.md; audit/hypotheses/H03-H11_gated_workflow.qmd","The continuing H05 task corrects the Stage 2 wording without scientific recomputation then creates notebooks/hypotheses/H05.qmd and stops for author approval; Stage 4 remains blocked","Reopen if a production computation becomes necessary the Stage 2 wording repair changes a scientific result Stage 3 changes the approved conclusion or Stage 4 begins before approval"
"REPORT-010","2026-08-01","approved","Reader-facing name for the prepared-data sensitivity","Call the sensitivity dataset the gap-timing-unaware dataset in every Stage 3 and Stage 4 output; explain at first use that the 50%-per-hour and 80%-per-day coverage rules still apply and that the timing of remaining gaps is not used for an additional metric-specific adjustment; thereafter call the primary simply the primary dataset","The approved name describes the analytical distinction without referring to a historical manuscript artifact and avoids falsely implying that gaps or coverage were ignored","audit/decisions/gap_timing_unaware_dataset_terminology.md; audit/decisions/manuscript_prepared_data_sensitivity.md; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/hypotheses/H03-H11_gated_workflow.qmd","Stage 3 and Stage 4 prose headings tables figures captions legends alt text and visible links use gap-timing-unaware dataset; historical scenario identifiers and filenames may remain internal for provenance; active hypothesis tasks integrate the terminology at their next planned render without recomputation","Reopen if either preparation rule changes enough that the term is inaccurate or the author approves a different reader-facing name"
"H05-002","2026-08-01","approved","H05 Stage 3 gate and Stage 4 transition","Accept the standalone H05 reader-facing report and authorize the continuing H05 task to create the REPORT-007 analysis-preparation and provenance companion","The author explicitly approved Stage 3; Stage 4 documents the accepted result-producing chain under a bounded no-refit render","audit/decisions/h05_stage3_gate_and_stage4_transition.md; notebooks/hypotheses/H05.qmd; audit/handoffs/H05_stage3_handoff.md; audit/decisions/hypothesis_preparation_provenance_companions.md","H05 Stage 3 is complete and approved; Stage 4 is in progress under H05-only ownership; coordinator website integration begins only after the companion source exists","Reopen Stage 3 only if Stage 4 exposes a scientific discrepancy changes an accepted result or claim or requires scientific recomputation"
"REPORT-011","2026-08-01","approved_reference_typography_detail_qa_open","Reader-facing figure typography layout export geometry and final-size visual QA","Design and inspect every figure at its actual HTML and print display size; distinguish base design canvas literal ggsave export scale exported canvas and display width; keep essential axes labels legends and annotations normally within 5 to 7 pt after display scaling while keeping panel letters and central-result text more prominent; use A4 only as an optional QA simulation and export final assets tightly to the figure bounds; match dimensions to content; and inspect clipping overlap distortion wrapping and data-region compression","Several figures became difficult to read after export geometry and final display width were conflated; native-canvas browser-pixel or direct-170-mm checks alone did not establish the intended plot-to-text balance","audit/decisions/figure_readability_and_layout.md; audit/decisions/model_reporting.md; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/hypotheses/H03-H11_gated_workflow.qmd","The Figure 1 reference text values are approved at 14-point cowplot basis 12-point ticks 14-point titles and tags 11-point caption and 3-unit secondary map labels; this does not approve all figure details; active and future figure work records export and display geometry and excludes A4 QA canvases from final figure assets","Reopen if journal size requirements change a permitted format cannot preserve legibility or repair requires a different scientific display or result"
"H05-003","2026-08-01","verified","H05 four-stage analysis closure","Accept the H05 reader-facing result and bounded analysis-preparation and provenance companion as the closed four-stage H05 analysis","Stage 3 was author-approved and Stage 4 verifies the result-producing chain without introducing another scientific gate or recomputation","audit/decisions/h05_stage4_closure.md; audit/handoffs/H05_stage3_handoff.md; audit/handoffs/H05_stage4_handoff.md; notebooks/hypotheses/H05.qmd; audit/hypotheses/H05/H05_analysis_preparation.qmd","H05 is closed with zero of 68 BH-retained primary near-eye associations; complementary chest and gap-timing-unaware families also retain zero; sleep-environment cells are unfit for H05 inference","Reopen if a sealed input or output changes a verifier fails the accepted model or multiplicity specification changes or a manuscript claim exceeds the verified scope"
"REPORT-012","2026-08-01","approved","Answer-in-brief hypothesis-report staple","Place a compact Answer in brief note directly after the hypothesis and analytical-question section in H01 H02 H05 and every future H03-H11 Stage 3 report","Readers need the accepted primary conclusion and its essential uncertainty placement and sensitivity qualifications before entering detailed methods and displays","audit/decisions/answer_in_brief_callout.md; audit/decisions/model_reporting.md; audit/decisions/h03_h11_gated_workflow.md; audit/hypotheses/H03-H11_gated_workflow.qmd","H02 and H05 already satisfy the rule and are exemplars; H01 implements it now; future Stage 3 reports require the exact visible title Answer in brief before approval","Reopen if a compact callout cannot preserve the verified inferential qualification or conflicts with the detailed report"
"PREP-002","2026-08-01","approved","Preparation 03 version-specific verification reporting","Continue the bounded reader-facing rewrite without scientific rerunning; identify the current reference-profile manifest and current identity/support checks but attribute the 394-of-394 independent reconstruction only to its preceding manifest","The exact-all-zero melEDI day exclusion changed the Preparation 02 inputs and regenerated the reference profiles after the stored complete independent-verifier record was created","audit/decisions/preparation03_version_specific_verification.md; audit/findings/threshold_timing_zero_relevance_map.md; audit/handoffs/preparation_reports_shared_change_request.md; artifacts/12_manifests/reference_profile_artifacts.csv","Preparation 03 and the remaining preparation-report rewrites may continue; current-manifest independent reconstruction remains an explicitly open scientific audit item and the documentation task may not run it","Reopen if the current manifest changes a matching verifier record is found or produced or verification identifies a scientific discrepancy"
"H06-001","2026-08-01","approved","H06 Stage 1 gate and Stage 2 transition","Close H06-G1 in favor of the repaired deliberate hourly adaptation and authorize Stage 2 under the fixed three-predictor site dependence multiplicity placement diagnostic and sensitivity contract","The author resolved all Stage 1 choices after reviewing the registered daily question V0 implementation and repaired hourly estimand; the revised audit records the consequences without treating the deliberate adaptation as an error","audit/decisions/h06_stage1_gate_and_stage2_transition.md; audit/hypotheses/H06/01_audit_and_plan.qmd; audit/hypotheses/H06/01_audit_and_plan.html; audit/handoffs/H06_worker_handoff.md","Stage 2 may implement and compare the approved hourly analysis with V0 and must stop for author review; no current result or claim is accepted by this gate","Reopen if the approved estimand predictors model structure dependence marginalization multiplicity placement source pin sensitivity set or exploratory boundary changes or cannot be implemented as specified"
"PREP-003","2026-08-01","partially_resolved_metric_and_mder_verified_state_support_open","Preparation 04 version-specific verification reporting","Continue the bounded reader-facing rewrite; report the independently verified current metric and METRIC-010 MDER identities and retain version-specific qualification only for the exact current state-support manifest","Fresh R 4.6.1 reconstruction now matches the current metric manifest and active MDER values classifications and sample flow; no matching complete independent reconstruction has yet been recorded for the exact current state-support manifest","audit/decisions/preparation04_version_specific_verification.md; audit/decisions/mder_mean_of_viable_ratios.md; scripts/pipeline/verify_metric_derivation_mder.R; artifacts/08_diagnostics/mder_METRIC-010/; artifacts/12_manifests/metric_artifacts.csv; artifacts/12_manifests/state_support_gate_artifacts.csv","Preparation reports may describe current metrics and MDER as independently verified; the remaining open audit boundary is limited to exact current state-support classifications and does not authorize scientific rerunning inside reader-facing renders","Reopen if a current manifest changes a matching state-support verifier record is found or produced or verification identifies a scientific discrepancy"
"H01-010","2026-08-01","approved","H01 Stage 3 gate and Stage 4 transition","Accept the standalone H01 reader-facing report after the verified site-by-metric table addition and authorize the bounded Stage 4 analysis-preparation and provenance companion","The author explicitly approved Stage 3; the focused R 4.6.1 reporting test passes and Stage 4 documents the accepted result-producing chain without scientific recomputation","audit/decisions/h01_stage3_gate_and_stage4_transition.md; notebooks/hypotheses/H01.qmd; _build/nathealth/notebooks/hypotheses/H01.html; audit/handoffs/H01_worker_handoff.md; tests/hypotheses/H01/test_h01_reporting_inputs.R","H01 Stage 3 is complete and approved; Stage 4 may proceed from stored outputs under REPORT-007 and will later request coordinator-owned website integration","Reopen if Stage 4 exposes a scientific discrepancy an accepted input or output changes a verifier fails or the report or manuscript exceeds the accepted claim scope"
"H01-011","2026-08-01","verified","H01 four-stage analysis closure","Accept the H01 reader-facing result and bounded analysis-preparation and provenance companion as the closed four-stage H01 analysis","Stage 3 was author-approved and Stage 4 verifies the accepted result-producing chain without another scientific computation or gate","audit/decisions/h01_stage4_closure.md; audit/handoffs/H01_worker_handoff.md; notebooks/hypotheses/H01.qmd; audit/hypotheses/H01/H01_analysis_preparation.qmd; artifacts/12_manifests/H01/H01_preparation_report_manifest.csv; artifacts/12_manifests/H01_worker_artifacts.csv","H01 is closed with primary support counts of 8 site 12 photoperiod 6 latitude and 8 site-versus-latitude adequacy metrics; sensitivity is qualitatively sensitive at individual metric-family support level and all WARN_REVIEW limitations remain disclosed","Reopen if a sealed input or output changes a verifier fails the accepted analysis or multiplicity specification changes placement or sensitivity roles change or manuscript prose exceeds the verified scope"
"REPORT-011-PILOT-001","2026-08-01","typography_approved_detail_qa_open","Descriptive Figure 1 literal ggsave export-scale pilot","Retain the Figure 1 base size of 10.5 by 10 inches and literal ggsave scale 1.5 yielding a 15.75 by 15 inch 4725 by 4500 pixel asset at 300 dpi; retain the approved 14-point cowplot basis 12-point ticks 14-point titles and tags 11-point caption and 3-unit secondary map labels without multiplying typography or marks; use the approved LightLogR symlog transform; and display the tightly bounded asset at Quarto out-width 100 percent","The author approved the source-level text sizes and clarified that remaining figure details still require resolution; A4 is a QA scaffold rather than a final export format and export scale remains content-specific","audit/decisions/figure_readability_and_layout.md; audit/decisions/descriptives_visual_scale_pilot.md; notebooks/descriptives.qmd; _build/nathealth/notebooks/descriptives.html; audit/handoffs/descriptives_worker_handoff.md","The reference typography is accepted; the figure remains open for clipping annotation panel-balance wrapping and other detail-level QA; Figures 2-5 and other reports retain content-specific dimensions and do not automatically inherit scale 1.5","Reopen if detail repair requires changing the approved typography or if a different canvas or export scale is proposed for Figure 1"
"REPORT-013","2026-08-03","approved","Reader-facing scale for zero-containing right-skewed values","Use LightLogR::symlog_trans(base = 10 thr = 1 scale = 1) for reader-facing non-negative strongly right-skewed variables with meaningful exact zeros especially melEDI; retain original-unit labels breaks and untransformed paired source data","The fixed symlog scale preserves exact zero and resolves a log-normal-like positive distribution without an arbitrary additive offset or inconsistent pseudo-log parameters","audit/decisions/reader_facing_symlog_scale.md; audit/decisions/model_reporting.md; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/hypotheses/H03-H11_gated_workflow.qmd","New figures apply the scale immediately and existing figures adopt it at their next authorized display touchpoint without scientific recomputation; clock time duration dose signed contrasts ratios and other variables use it only when their actual display distribution meets the stated criterion","Reopen if the LightLogR transformation contract changes a variable requires a scientifically different threshold or a journal requirement cannot preserve meaningful zeros"
"METRIC-010","2026-08-11","approved_implemented_independently_verified_gap_repair_complete","MDER mean of viable momentary ratios","Define participant-day MDER as the arithmetic mean of one-minute MEDI/LIGHT ratios for minutes where both channels are finite and strictly positive; require at least 720 viable minutes on a complete 1440-minute local wall-clock grid and return metric-specific NA otherwise; calculate this same estimand independently within both primary and gap-timing-unaware prepared inputs","This is the intended momentary spectral-ratio estimand and avoids the photopic-illuminance weighting implicit in a ratio of integrals; reconstructing both scenarios prevents a relabelled frozen value from answering another question","audit/decisions/mder_mean_of_viable_ratios.md; scripts/pipeline/metric_derivation.R; scripts/pipeline/verify_metric_derivation_mder.R; scripts/pipeline/manuscript_prepared_data.R; scripts/pipeline/verify_manuscript_prepared_data_artifacts.R; audit/reconciliation/mder_METRIC-010_gap_repair/; artifacts/08_diagnostics/mder_METRIC-010/; artifacts/12_manifests/metric_artifacts.csv; artifacts/12_manifests/manuscript_prepared_data_artifacts.csv","Supersedes METRIC-003 and DEV-051; repairs the gap-timing-unaware reconstruction under FIND-049; repins Preparation 04-06 and H01 shared provenance; reopens only MDER-dependent portions of Descriptives H01 H05 the daily-metric H06 variant and H10 while all non-MDER results remain frozen","Reopen if paired-minute eligibility the one-minute wall-clock grid strict-positive rule 50 percent viable-minute cutoff DST handling arithmetic averaging scenario-specific reconstruction or independent verification changes"
"H06-004","2026-08-11","approved","H06 Stage 3 gate and Stage 4 transition","Accept the author-approved standalone H06 reader-facing report after its final display-only site-table change and authorize the bounded H06 analysis-preparation and provenance companion","The accepted source HTML tests manifest and handoff are sealed; the final change affects site identification only; all six H06 hourly frames remain exactly invariant under the later shared provenance repin","audit/decisions/h06_stage3_gate_and_stage4_transition.md; notebooks/hypotheses/H06.qmd; _build/nathealth/notebooks/hypotheses/H06.html; artifacts/12_manifests/H06/H06_stage3_artifacts.csv; audit/handoffs/H06_worker_handoff.md; artifacts/08_diagnostics/mder_METRIC-010/downstream_rebuild/h06_hourly_frame_invariance.csv","The H06 worker may create audit/hypotheses/H06/H06_analysis_preparation.qmd under REPORT-007 using stored accepted outputs only; it must cite the current base manifest as a provenance-only transition and stop for author approval before closure","Reopen if an accepted Stage 3 identity model result interval diagnostic sensitivity or claim changes if a focused verifier fails if hourly-frame invariance fails or if Stage 4 finds a discrepancy"
"H05-004","2026-08-11","verified","H05 METRIC-010 repaired-gap reseal closure","Accept the bounded integration of the repaired gap-timing-unaware MDER artifact and retain the existing four-stage H05 closure","All three complete 68-test families still retain zero associations; only repaired gap MDER models and mathematically dependent complete-family BH ranks and adjusted p-values changed while all primary and non-MDER fits remain frozen","audit/decisions/h05_metric010_gap_reseal_closure.md; artifacts/12_manifests/H05/H05_metric010_gap_reseal_reconciliation.csv; artifacts/08_diagnostics/H05/H05_mder_metric010_gap_influence_refits.csv; artifacts/12_manifests/H05/H05_stage2_artifacts.csv; artifacts/12_manifests/H05/H05_stage3_artifacts.csv; artifacts/12_manifests/H05/H05_preparation_report_manifest.csv; audit/handoffs/H05_stage3_handoff.md; audit/handoffs/H05_stage4_handoff.md","H05 remains closed with zero of 68 associations in the primary chest and repaired gap-timing-unaware families; 27 non-MDER adjusted p-values and 26 ranks change only through the corrected H05-F3 MDER slots","Reopen if a sealed H05 identity changes a focused verifier fails the repaired gap MDER sample or model changes a non-MDER raw test or fit changes or a complete 68-test family gains a retained association"
"H06-005","2026-08-11","verified","H06 Stage 4 verification and author gate","Record the bounded H06 preparation and provenance companion as complete and independently verified and open H06-G4 for explicit author approval without closing H06","The companion reconstructs the accepted H06 analysis chain from stored outputs and passes its focused verifier; author acceptance remains a distinct required gate","audit/decisions/h06_stage4_verification_author_gate.md; audit/hypotheses/H06/H06_analysis_preparation.qmd; _build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html; artifacts/12_manifests/H06/H06_preparation_report_manifest.csv; tests/hypotheses/H06/test_h06_preparation_report.R; audit/handoffs/H06_worker_handoff.md","Marks Stage 4 complete_verified and awaiting author review; changes no model frame estimate interval diagnostic sensitivity result figure table or scientific claim and authorizes no further H06 work before approval","Reopen if a sealed Stage 4 identity changes a focused verifier or manifest check fails scientific computation enters the bounded render website integration changes or the companion exceeds the accepted Stage 3 scope"
"H06-006","2026-08-11","approved","H06 Stage 4 acceptance with final version selection deferred","Accept H06-G4 and the verified main-H06 preparation companion while deferring final H06 version selection and overall closure until H06-Alternative is complete and the author explicitly chooses a version","The author accepted Stage 4 but directed that the accepted main H06 record remain unchanged and that no version be selected before the separately scoped alternative analysis is available","audit/decisions/h06_stage4_acceptance_version_selection_deferred.md; audit/decisions/h06_stage4_verification_author_gate.md; audit/handoffs/H06_worker_handoff.md; audit/ledgers/hypothesis_stage_gates.csv; audit/ledgers/hypothesis_comparison_status.csv","Marks the main H06 four-stage workflow author-accepted and frozen; keeps the central H06 gate open at version_selection; authorizes no further main-H06 work","Reopen the main H06 record only on explicit author instruction a sealed-identity or verifier failure or a later clearly scoped reconciliation required by the author-selected version"
