"item_id","record_type","artifact","line","construct_or_role","referenced_path","disposition","source_excerpt"
"D14","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",58,"figure image","../../audit/manuscript_nature_health/figure_table_selection_assets/brown_adherence_levels.svg","PRESENT_AFTER_ORDER71A","<img src=""../../audit/manuscript_nature_health/figure_table_selection_assets/brown_adherence_levels.svg"" alt=""Point-range chart of recommendation adherence for the Daytime, Pre-sleep, and Sleep Brown et al. recommendation windows. Blue circles show Work days and orange triangles show Free days; vertical bars show 95% confidence intervals. Daytime and Sleep adherence are lower on Free days, while Pre-sleep adherence is higher. The Sleep-window estimates are based on near-eye illuminance recorded during sleep, not bedroom environmental light."">"
"D15","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",65,"figure image","../../audit/manuscript_nature_health/figure_table_selection_assets/brown_supplementary_figure_s5.svg","PRESENT_AFTER_ORDER71A","<img src=""../../audit/manuscript_nature_health/figure_table_selection_assets/brown_supplementary_figure_s5.svg"" alt=""Two-panel forest plot of site-specific Brown recommendation adherence. Panel A shows Work-day adherence for nine country-coded sites in each of the Daytime, Pre-sleep, and Sleep recommendation windows. Panel B shows Free-minus-Work differences for the same sites and windows. Every point has a 95% confidence interval, and long-dashed blue lines mark equally weighted site averages. Filled diamonds and black asterisks distinguish the prespecified false-discovery-rate decisions described in the caption."">"
"D16","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",73,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html >}}"
"D17","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",81,"figure image","display_assets/brown_participant_state_raincloud.svg","PRESENT_AFTER_ORDER71A","<img src=""display_assets/brown_participant_state_raincloud.svg"" alt=""Participant-average recommendation adherence across the Daytime, Pre-sleep and Sleep Brown et al. recommendation windows. Colored points show anonymous participants' equal-cycle means, faint lines connect the same participant across windows, half-violin shapes show the window distributions, and dark bars with white points show interquartile ranges and medians. The lines are not time trajectories or ranks."">"
"D18","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",91,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html >}}"
"D19","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",100,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html >}}"
"D20","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",110,"figure image","../../audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s6.svg","PRESENT_AFTER_ORDER71A","<img src=""../../audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s6.svg"" alt=""Two-panel figure of geographic support and nonlinear photoperiod classifications. Panel A is an FDR support matrix for site, civil photoperiod, latitude, and site-versus-latitude adequacy across four separate 17-metric families. Panel B shows near-eye response smooths and first derivatives across observed civil photoperiod."">"
"D21","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",118,"included table or document","display_assets/table_s6_geographic_associations.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s6_geographic_associations.html >}}"
"D22","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",127,"included table or document","display_assets/table_s6_photoperiod_classification.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s6_photoperiod_classification.html >}}"
"D23","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",137,"figure image","../../artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.png"" alt=""Four-panel display of fitted near-eye melanopic EDI, light-source ratios, participant-hour support across local clock time, and light-source-by-site estimates."">"
"D24","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",146,"figure image","../../artifacts/10_figures/H06/H06_paired_placement_effects.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H06/H06_paired_placement_effects.png"" alt=""Paired near-eye and chest hourly associations estimated separately in the same participants and participant-days."">"
"D25","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",153,"figure image","../../artifacts/10_figures/H06/H06_reader_temporal_day_type.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H06/H06_reader_temporal_day_type.png"" alt=""Exploratory Free-versus-Work hourly fitted exposure and response-scale ratio curves with participant-hour support."">"
"D26","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",160,"figure image","../../artifacts/10_figures/H06/H06_reader_temporal_activity.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H06/H06_reader_temporal_activity.png"" alt=""Exploratory Active-versus-Sedentary hourly fitted exposure and response-scale ratio curves with participant-hour support."">"
"D27","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",167,"figure image","../../artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png"" alt=""Three aligned site-specific forest-plot panels show Free versus Work day, Active versus Sedentary daily activity status, and previous-sleep ratios with 95% confidence intervals across nine country-coded study sites. Filled points mark associations retained after a separate nine-site FDR adjustment within each predictor, and dashed lines mark site-average estimates."">"
"D28","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",175,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html >}}"
"D29","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",186,"included table or document","display_assets/table_s8_person_level_synthesis.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s8_person_level_synthesis.html >}}"
"D30","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",194,"figure image","../../artifacts/10_figures/H05/H05_reader_near_eye_effects.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H05/H05_reader_near_eye_effects.png"" alt=""Near-eye associations across Light Exposure Behaviour Assessment factors and personal light-exposure metrics."">"
"D31","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",200,"included table or document","display_assets/table_s9_light_behaviour_a.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s9_light_behaviour_a.html >}}"
"D32","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",202,"included table or document","display_assets/table_s9_light_behaviour_b.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s9_light_behaviour_b.html >}}"
"D33","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",208,"figure image","../../artifacts/10_figures/H08/H08_near_eye_effects.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H08/H08_near_eye_effects.png"" alt=""Near-eye site-average associations between VLSQ-8 and nine light-exposure metrics."">"
"D34","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",214,"included table or document","display_assets/table_s10_visual_sensitivity.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s10_visual_sensitivity.html >}}"
"D35","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",220,"figure image","../../audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s14.svg","PRESENT_AFTER_ORDER71A","<img src=""../../audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s14.svg"" alt=""Two-panel figure of chronotype and personal light-exposure timing. Panel A shows study-site-adjusted chronotype associations with five timing metrics. Panel B shows observed participant-day timing values across chronotype and country-coded study sites."">"
"D36","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",226,"included table or document","display_assets/table_s11_chronotype.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s11_chronotype.html >}}"
"D37","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",232,"figure image","../../audit/manuscript_nature_health/figure_table_selection_assets/H10_age_site_significant_associations_selection_candidate.png","PRESENT_AFTER_ORDER71A","<img src=""../../audit/manuscript_nature_health/figure_table_selection_assets/H10_age_site_significant_associations_selection_candidate.png"" alt=""Three-panel figure with uppercase left-side panel tags showing age distributions, FDR-retained associations, and descriptive site-specific age-by-site estimates."">"
"D38","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",238,"included table or document","display_assets/table_s12_age_sex.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s12_age_sex.html >}}"
"D39","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",244,"figure image","../../artifacts/10_figures/H11/stage3/H11_reader_primary_near_eye_curves.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/H11/stage3/H11_reader_primary_near_eye_curves.png"" alt=""Biological-sex-specific near-eye fitted curves and Female-to-Male ratio with 95% confidence intervals."">"
"D40","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",250,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html >}}"
