"old_number","old_reference","doi","library_key","library_title","current_key","current_title","disposition","reason_category","reason"
68,"Kantermann, T., Sung, H. & Burgess, H. J. Comparing the morningness-eveningness questionnaire and munich ChronoType questionnaire to the dim light melatonin onset. Journal of Biological Rhythms 30, 449--453 (2015).","10.1177/0748730415597520","kantermann2015","Comparing the morningness-eveningness questionnaire and munich ChronoType questionnaire to the dim light melatonin onset","kantermann2015","Comparing the morningness-eveningness questionnaire and munich ChronoType questionnaire to the dim light melatonin onset","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
69,"Siraji, M. A. et al. An inventory of human light exposure behaviour. Scientific Reports 13, (2023).","10.1038/s41598-023-48241-y","siraji2023","An inventory of human light exposure behaviour","siraji2023","An inventory of human light exposure behaviour","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
70,"Grandner, M. A. et al. Development and initial validation of the assessment of sleep environment (ASE): Describing and quantifying the impact of subjective environmental factors on sleep. International Journal of Environmental Research and Public Health 19, 13599 (2022).","10.3390/ijerph192013599","grandner2022","Development and initial validation of the assessment of sleep environment (ASE): Describing and quantifying the impact of subjective environmental factors on sleep","grandner2022","Development and initial validation of the assessment of sleep environment (ASE): Describing and quantifying the impact of subjective environmental factors on sleep","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
71,"Verriotto, J. D. et al. New methods for quantification of visual photosensitivity threshold and symptoms. Translational Vision Science & Technology 6, 18 (2017).","10.1167/tvst.6.4.18","verriotto2017","New methods for quantification of visual photosensitivity threshold and symptoms","verriotto2017","New methods for quantification of visual photosensitivity threshold and symptoms","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
72,"Harris, P. A. et al. MyCap: A flexible and configurable platform for mobilizing the participant voice. JAMIA Open 5, (2022).","10.1093/jamiaopen/ooac047","harris2022","MyCap: A flexible and configurable platform for mobilizing the participant voice","harris2022","MyCap: A flexible and configurable platform for mobilizing the participant voice","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
73,"Patridge, E. F. & Bardyn, T. P. Research electronic data capture (REDCap). Journal of the Medical Library Association 106, (2018).","10.5195/jmla.2018.319","patridge2018","Research electronic data capture (REDCap)","patridge2018","Research electronic data capture (REDCap)","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
74,"Duijnhoven, J. van et al. Measuring light exposure in daily life: A review of wearable light loggers. Building and Environment 274, 112771 (2025).","10.1016/j.buildenv.2025.112771","vanduijnhoven2025","Measuring light exposure in daily life: A review of wearable light loggers","vanduijnhoven2025","Measuring light exposure in daily life: A review of wearable light loggers","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
75,"Zauner, J., Biller, A. M. & Spitschan, M. Impact of light logger and dosimeter placement on wearability and appeal in real-life settings. Open Research Europe 5, 293 (2025).","10.12688/openreseurope.20985.1","zauner2025","Impact of light logger and dosimeter placement on wearability and appeal in real-life settings","zauner2025","Impact of light logger and dosimeter placement on wearability and appeal in real-life settings","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
76,"Roenneberg, T. & Merrow, M. Entrainment of the human circadian clock. Cold Spring Harbor Symposia on Quantitative Biology 72, 293--299 (2007).","10.1101/sqb.2007.72.043","roenneberg2007","Entrainment of the human circadian clock","roenneberg2007","Entrainment of the human circadian clock","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
77,"Horne, J. A. & Östberg, O. A self-assessment questionnaire to determine morningness-eveningness in human circadian rhythms. International Journal of Chronobiology 4, 97--110 (1976).",,"horne1976","A self-assessment questionnaire to determine morningness-eveningness in human circadian rhythms","horne1976","A self-assessment questionnaire to determine morningness-eveningness in human circadian rhythms","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
78,"Hartmeyer, S. & Andersen, M. Towards a framework for light-dosimetry studies: Quantification metrics. Lighting Research & Technology 56, 337--365 (2023).","10.1177/14771535231170500","hartmeyer2023","Towards a framework for light-dosimetry studies: Quantification metrics","hartmeyer2023","Towards a framework for light-dosimetry studies: Quantification metrics","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
79,"Hartmeyer, S., Webler, F. & Andersen, M. Towards a framework for light-dosimetry studies: Methodological considerations. Lighting Research & Technology 55, 377--399 (2022).","10.1177/14771535221103258","hartmeyer2022","Towards a framework for light-dosimetry studies: Methodological considerations","hartmeyer2022","Towards a framework for light-dosimetry studies: Methodological considerations","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
80,"R Core Team. R: A language and environment for statistical computing. <https://www.R-project.org/> (2025).",,"base","R: A language and environment for statistical computing","base","R: A language and environment for statistical computing","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
81,"Zauner, J., Hartmeyer, S. & Spitschan, M. LightLogR: Reproducible analysis of personal light exposure data. 10, 7601 (2025).","10.21105/joss.07601","LightLogR","LightLogR: Reproducible analysis of personal light exposure data","LightLogR","LightLogR: Reproducible analysis of personal light exposure data","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
82,"Zauner, J., Guidolin, C. & Spitschan, M. How to deal with darkness: Modeling and visualization of zero-inflated personal light exposure data on a logarithmic scale. Journal of Biological Rhythms 40, 480--490 (2025).","10.1177/07487304251336624","zauner2025a","How to deal with darkness: Modeling and visualization of zero-inflated personal light exposure data on a logarithmic scale","zauner2025a","How to deal with darkness: Modeling and visualization of zero-inflated personal light exposure data on a logarithmic scale","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
83,"Wickham, H. et al. Welcome to the tidyverse. 4, 1686 (2019).","10.21105/joss.01686","tidyverse","Welcome to the tidyverse","tidyverse","Welcome to the tidyverse","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
84,"Bates, D., Mächler, M., Bolker, B. & Walker, S. Fitting linear mixed-effects models using lme4. 67, (2015).","10.18637/jss.v067.i01","lme4","Fitting linear mixed-effects models using lme4","lme4","Fitting linear mixed-effects models using lme4","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
85,"Brooks, M. E. et al. glmmTMB balances speed and flexibility among packages for zero-inflated generalized linear mixed modeling. 9, (2017).","10.32614/rj-2017-066","glmmTMB","glmmTMB balances speed and flexibility among packages for zero-inflated generalized linear mixed modeling","glmmTMB","glmmTMB balances speed and flexibility among packages for zero-inflated generalized linear mixed modeling","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
86,"Wood, S. N. Fast stable restricted maximum likelihood and marginal likelihood estimation of semiparametric generalized linear models. 73, (2011).","10.1111/j.1467-9868.2010.00749.x","mgcv","Fast stable restricted maximum likelihood and marginal likelihood estimation of semiparametric generalized linear models","mgcv","Fast stable restricted maximum likelihood and marginal likelihood estimation of semiparametric generalized linear models","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
87,"Simpson, G. L. Gratia: An r package for exploring generalized additive models. 9, 6962 (2024).","10.21105/joss.06962","gratia","Gratia: An r package for exploring generalized additive models","gratia","Gratia: An r package for exploring generalized additive models","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
88,"Rij, J. van, Wieling, M., Baayen, R. H. & Rijn, H. van. Itsadug: Interpreting time series and autocorrelated data using GAMMs. (2025).",,"itsadug","Itsadug: Interpreting time series and autocorrelated data using GAMMs",,,"dropped","unused_software","The itsadug package was not used in the accepted analyses; unused software should not be cited as an analysis dependency."
89,"Zauner, J. & Spitschan, M. melidosData: Load data from the MeLiDos field study. <https://melidosproject.github.io/melidosData/> (2026).",,"melidosData","melidosData: Load data from the MeLiDos field study","melidosData","melidosData: Load data from the MeLiDos field study","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
90,"Lüdecke, D., Ben-Shachar, M. S., Patil, I., Waggoner, P. & Makowski, D. Performance: An r package for assessment, comparison and testing of statistical models. 6, 3139 (2021).","10.21105/joss.03139","performance","Performance: An r package for assessment, comparison and testing of statistical models","performance","Performance: An r package for assessment, comparison and testing of statistical models","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
91,"Lenth, R. V. & Piaskowski, J. Emmeans: Estimated marginal means, aka least-squares means. <https://doi.org/10.32614/CRAN.package.emmeans> (2026) doi:10.32614/CRAN.package.emmeans.","10.32614/cran.package.emmeans","emmeans","Emmeans: Estimated marginal means, aka least-squares means","emmeans","Emmeans: Estimated marginal means, aka least-squares means","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
92,"R Core Team. R: A language and environment for statistical computing. <https://www.R-project.org/> (2025).",,"stats","R: A language and environment for statistical computing",,,"dropped","duplicate","Exact duplicate of old reference 80, the retained R Core Team citation."
93,"Benjamini, Y. & Hochberg, Y. Controlling the false discovery rate: A practical and powerful approach to multiple testing. Journal of the Royal Statistical Society Series B: Statistical Methodology 57, 289--300 (1995).","10.1111/j.2517-6161.1995.tb02031.x","benjamini1995","Controlling the false discovery rate: A practical and powerful approach to multiple testing","benjamini1995","Controlling the false discovery rate: A practical and powerful approach to multiple testing","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
94,"Zauner, J., Plischke, H. & Strasburger, H. Spectral dependency of the human pupillary light reflex. Influences of pre-adaptation and chronotype. PLOS ONE 17, e0253030 (2022).","10.1371/journal.pone.0253030","zauner2022","Spectral dependency of the human pupillary light reflex. Influences of pre-adaptation and chronotype",,,"dropped","claim_mismatch","This laboratory pupillary-reflex study does not support a current claim about field exposure architecture or the analysed person-level correlates."
95,"Hastie, T. & Tibshirani, R. Generalized additive models. Statistical Science 1, (1986).","10.1214/ss/1177013604","hastie1986","Generalized additive models","hastie1986","Generalized additive models","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
96,"Hastie, T. & Tibshirani, R. Generalized additive models for medical research. Statistical Methods in Medical Research 4, 187--196 (1995).","10.1177/096228029500400302","hastie1995","Generalized additive models for medical research","hastie1995","Generalized additive models for medical research","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
97,"Pedersen, E. J., Miller, D. L., Simpson, G. L. & Ross, N. Hierarchical generalized additive models in ecology: An introduction with mgcv. PeerJ 7, e6876 (2019).","10.7717/peerj.6876","pedersen2019","Hierarchical generalized additive models in ecology: An introduction with mgcv","pedersen2019","Hierarchical generalized additive models in ecology: An introduction with mgcv","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
98,"Bozdogan, H. Model selection and akaike's information criterion (AIC): The general theory and its analytical extensions. Psychometrika 52, 345--370 (1987).","10.1007/bf02294361","bozdogan1987","Model selection and akaike’s information criterion (AIC): The general theory and its analytical extensions",,,"dropped","unused_method","General AIC theory is not needed because the revised manuscript makes no AIC-based model-selection claim."
