frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant
gap__glasses__gap_common__m10_midpoint__MCTQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,140,803,803,9,,3,6,8
gap__glasses__gap_common__m10_midpoint__MEQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,m10_midpoint,MEQ,ESTIMABLE,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,141,809,809,9,,3,6,8
gap__glasses__gap_common__mean_timing_above_250__MCTQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e,140,731,731,9,,2,5,7
gap__glasses__gap_common__mean_timing_above_250__MEQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,eadfb1cdd333fadee16969bc3c69d391dccecb3bf78271737400695e8684a28f,141,737,737,9,,2,5,7
primary__chest__gap_common__first_timing_above_250__MCTQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e,153,790,790,8,18381.033333333333,1,6,7
primary__chest__gap_common__first_timing_above_250__MEQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836,154,795,795,8,18497.266666666666,1,6,7
primary__chest__gap_common__l10_midpoint__MCTQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,153,888,888,8,20594.75,2,6,8
primary__chest__gap_common__l10_midpoint__MEQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,l10_midpoint,MEQ,ESTIMABLE,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,154,894,894,8,20734.066666666666,2,6,8
primary__chest__gap_common__last_timing_above_250__MCTQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5,153,780,780,8,18203.116666666665,2,5,7
primary__chest__gap_common__last_timing_above_250__MEQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281,154,784,784,8,18297.383333333335,2,5,7
primary__chest__gap_common__m10_midpoint__MCTQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,153,888,888,8,20594.75,2,6,8
primary__chest__gap_common__m10_midpoint__MEQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,m10_midpoint,MEQ,ESTIMABLE,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,154,894,894,8,20734.066666666666,2,6,8
primary__chest__gap_common__mean_timing_above_250__MCTQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d,153,820,820,8,19097.266666666666,2,6,7
primary__chest__gap_common__mean_timing_above_250__MEQ,9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,87ef17555413757cf826458620604588bedab24644f07355046790662734023e,154,826,826,8,19236.583333333332,2,6,7
gap__chest__gap_common__first_timing_above_250__MCTQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e,153,790,790,8,,1,6,7
gap__chest__gap_common__first_timing_above_250__MEQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836,154,795,795,8,,1,6,7
gap__chest__gap_common__l10_midpoint__MCTQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,153,888,888,8,,2,6,8
gap__chest__gap_common__l10_midpoint__MEQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,l10_midpoint,MEQ,ESTIMABLE,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,154,894,894,8,,2,6,8
gap__chest__gap_common__last_timing_above_250__MCTQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5,153,780,780,8,,2,5,7
gap__chest__gap_common__last_timing_above_250__MEQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281,154,784,784,8,,2,5,7
gap__chest__gap_common__m10_midpoint__MCTQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,153,888,888,8,,2,6,8
gap__chest__gap_common__m10_midpoint__MEQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,m10_midpoint,MEQ,ESTIMABLE,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,154,894,894,8,,2,6,8
gap__chest__gap_common__mean_timing_above_250__MCTQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d,153,820,820,8,,2,6,7
gap__chest__gap_common__mean_timing_above_250__MEQ,10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,87ef17555413757cf826458620604588bedab24644f07355046790662734023e,154,826,826,8,,2,6,7
