"link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","pass","completion_classification","accepted_order33g"
"IMP-002","../../notebooks/preregistration_deviations.html#imp-002","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"imp-002",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"DEV-049","../../notebooks/preregistration_deviations.html#dev-049","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-049",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"DEV-050","../../notebooks/preregistration_deviations.html#dev-050","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-050",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"site-curve predictions","../../artifacts/11_source_data/H02/site_curve_predictions.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H02/site_curve_predictions.csv",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"fitted-curve variation results","../../artifacts/09_tables/H02/variation_summary.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/09_tables/H02/variation_summary.csv",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Shapley allocation results","../../artifacts/09_tables/H02/dominance_summary.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/09_tables/H02/dominance_summary.csv",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"matched-position curve data","../../artifacts/11_source_data/H02/paired_placement_site_curves.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H02/paired_placement_site_curves.csv",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H02 analysis preparation and provenance","../../audit/hypotheses/H02/H02_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H01 preparation and provenance","../../audit/hypotheses/H01/H01_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H02 preparation and provenance","../../audit/hypotheses/H02/H02_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Edit this page","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/notebooks/hypotheses/H02.qmd","external","",TRUE,"",TRUE,FALSE,TRUE,"resolved_external",TRUE
"Report an issue","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","external","",TRUE,"",TRUE,FALSE,TRUE,"resolved_external",TRUE
