"deviation_id","reader_section","current_status","current_observed_or_approved","current_rationale_or_evidence","current_likely_consequence","superseded_or_related_id","current_source_locator"
"IMP-013","resolved_implementation_history","resolved_superseded","The historical ratio-of-integrals MDER implementation is superseded. Current MDER is the arithmetic mean of viable one-minute momentary MEDI/LIGHT ratios with strict positivity and a 720-minute support rule.","The author explicitly rejected ratio of integrals and approved METRIC-010, followed by independent shared and gap-variant verification.","Only METRIC-010/DEV-058 outputs are current; historical ratio-of-integrals results belong in the technical history section.","DEV-058","audit/decisions/mder_mean_of_viable_ratios.md"
"IMP-017","scientific_deviation","approved_implemented_verified","Timestamp processing uses UTC to preserve real instants and a separate local wall-clock axis for cross-site clock-time summaries. Repeated fall-back minutes are averaged only for clock-aligned profiles and retained as separate real intervals for elapsed-time and sequential metrics.","The dual-axis rule prevents daylight-saving transitions from either duplicating wall-clock profiles or erasing real elapsed intervals.","Clock-aligned and elapsed-time metrics can legitimately treat the repeated hour differently; the distinction is recorded in preparation provenance.","","audit/findings/timestamp_dst_fallback.md; audit/decisions/metric_implementation_parameters.md"
"IMP-018","scientific_deviation","approved_implemented_verified","Diary state is authoritative for sleep context. Wear='sleep' is provenance only; wear='off' invalidates waking measurements outside diary sleep, while off or missing wear during diary sleep and site-leave records are retained according to the approved context rules.","The rule separates measurement-context validity from the participant's diary-defined state.","Waking non-wear is excluded, whereas retained sleep values remain environmental rather than verified worn exposure.","DEV-005","audit/findings/state_precedence_and_channel_mask.md; audit/decisions/placement_decision.md"
"IMP-019","resolved_implementation_history","resolved_by_current_metric_rules","The historical channel-specific mask left finite broadband LIGHT values when melEDI was missing during waking non-wear. Current derived metrics require their declared valid channels and MDER requires both MEDI and LIGHT to be finite and strictly positive.","Channel-specific validity is now explicit in shared metric derivation and tests.","Invalid melEDI rows cannot enter melEDI metrics or current MDER merely because LIGHT remains finite.","DEV-058","audit/findings/state_precedence_and_channel_mask.md; audit/decisions/mder_mean_of_viable_ratios.md"
"REP-001","scientific_deviation","approved_implemented_verified","Simple pooling of near-eye and chest measurements is rejected; placements retain separate estimands.","The placements differ systematically and are not duplicate measures of one interchangeable quantity.","No pooled placement claim is permitted.","DEV-001","audit/decisions/placement_decision.md"
"REP-002","scientific_deviation","approved_implemented_verified","Direct near-eye/chest displays use placement-matched participant, local-date, and clock keys, while chest remains complementary in all-available analyses.","Matching makes the compared placements refer to the same observed periods and avoids conflating placement with sample composition.","Matched comparisons describe placement sensitivity, not equivalence, and unmatched all-available estimates are not plotted against each other as identities.","DEV-001","audit/decisions/paired_placement_comparison_display.md"
"REP-003","scientific_deviation","approved_implemented_verified","Retained sleep-period logger values are described as bedside sleep-environment exposure.","This language matches what the logger can measure when wear is not verified during sleep.","Sleep-period results must not be called ocular exposure.","DEV-005|IMP-012","audit/decisions/placement_decision.md"
"IMP-020","technical_provenance","approved_source_clarification","The pinned source releases contain both 60-second and 1-second near-eye streams in addition to predominant 10-second streams; preparation aggregates from actual timestamps rather than assuming six equal subepochs per minute.","The source-epoch audit disproved a universal six-subepoch rule.","Minute-level summaries and coverage checks depend on actual source timing, not an assumed device epoch count.","","audit/findings/heterogeneous_source_epochs.md"
"DEV-017","scientific_deviation","approved_implemented_verified","H01 includes photoperiod in all 17 primary metric models and retains the narrower literal preregistration scope as a named sensitivity.","The author approved a common primary adjustment set while preserving direct evidence for what changes under the literal registered scope.","Primary H01 estimates are photoperiod-adjusted even for metrics where the preregistration named it only selectively.","","audit/handoffs/H01_worker_handoff.md"
"DEV-018","scientific_deviation","approved_implemented_verified","H01 uses an approved metric-specific set of Gaussian, transformed-Gaussian, and Tweedie models with fixed diagnostic criteria and prespecified alternatives across data scenarios.","The 17 metrics differ in scale, bounds, exact-zero mass, and tail behaviour, so one universal Gaussian mixed model is not adequate.","Effect scales and diagnostic limitations differ by metric and are reported explicitly.","","audit/handoffs/H01_worker_handoff.md"
"DEV-019","scientific_deviation","approved_implemented_verified","H02 and H11 preserve supported constant profiles and exclude only otherwise eligible participant-days whose finite one-minute melEDI values are all exactly zero under the approved upstream plausibility rule.","Individual zero observations are valid; the day-level exclusion targets only an implausible complete zero signal and is retained as a data sensitivity.","The accepted samples do not apply a general constant-profile deletion.","DEV-057","audit/decisions/all_zero_medi_day_exclusion.md; audit/handoffs/H02_worker_handoff.md; audit/handoffs/H11_worker_handoff.md"
"DEV-020","scientific_deviation","approved_implemented_verified","The accepted H02 primary model omits the earlier day/night-state smooth and does not call that term photoperiod.","The term did not represent daily photoperiod duration and was removed during the H02 model evaluation.","H02 temporal results are not adjusted for a day/night-state smooth labelled as photoperiod.","","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md"
"DEV-021","scientific_deviation","approved_implemented_verified","H02 uses participant-specific time curves, a participant-day random intercept, and boundary-aware AR(1) sequence starts.","The repeated 30-minute structure requires participant, day, and within-sequence dependence beyond the registered simple participant effect.","Uncertainty and fitted variation reflect this hierarchy; H11 inherits it.","DEV-011","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md"
"DEV-051","resolved_implementation_history","resolved_superseded","The briefly approved ratio-of-integrals MDER modification is superseded by the later author-approved mean of viable momentary ratios.","METRIC-010 explicitly replaced METRIC-003 after author review and independent verification.","DEV-051 is retained only as decision history; it must never define reader-facing current MDER.","DEV-058","audit/decisions/mder_mean_of_viable_ratios.md"
"DEV-055","scientific_deviation","approved_implemented_verified","Primary daily coverage uses finite melEDI in eligible hours against a fixed 1440-wall-minute day for the hybrid waking-plus-bedside-sleep record. Sleep-excluded denominators are fixed sensitivities.","The author retained the hybrid 24-hour construct as primary while requiring alternative denominators to show dependence on sleep handling.","Primary daily metrics intentionally treat unobserved eligible minutes as missing against the full wall-clock day and should be interpreted as hybrid full-day exposure summaries.","IMP-012","audit/decisions/daily_coverage_denominator.md"
"DEV-056","scientific_deviation","approved_implemented_verified","The corrected upstream TUM exercise diary assigns the seven affected May 2024 records to TUM_S001, not TUM_S101; no local identifier rewrite is applied.","The current melidosData source contains the corrected participant key and is pinned directly.","H06 exercise analyses use the authoritative corrected participant identity without altering shared data locally.","","audit/handoffs/H06_worker_handoff.md; audit/reconciliation/preparation06/tum_exercise_source_transition_columns.csv"
"IMP-022","technical_provenance","approved_scope_clarification","Window onset and offset values produced during M10/L10 derivation are retained only as internal boundary diagnostics and are excluded from the analytical metric registry.","They support verification of the selected ten-hour window but are not preregistered analytical outcomes.","No hypothesis may treat these boundary diagnostics as additional tested metrics.","DEV-054","audit/decisions/metric_implementation_parameters.md"
"DEV-057","scientific_deviation","approved_implemented_verified","The main analysis excludes an otherwise eligible participant-day only when every finite one-minute melEDI value is exactly 0 lx. Individual zeros remain valid, raw rows remain auditable, and the former inclusion is a fixed data sensitivity.","A complete exact-zero day is treated as a signal-plausibility failure rather than ordinary darkness.","Affected samples lose only the documented all-zero participant-days; zero-capable metrics and models otherwise retain zero observations.","","audit/decisions/all_zero_medi_day_exclusion.md"
"DEV-058","scientific_deviation","approved_implemented_independently_verified","MDER is the arithmetic mean of viable one-minute MEDI/LIGHT ratios. A minute is viable only when both channels are finite and strictly positive; a day requires at least 720 viable minutes on the fixed 1440-minute local wall-clock grid, otherwise MDER is missing for that day.","The author specified momentary ratios averaged across viable pairs and rejected ratios of integrals. The shared and gap-timing-unaware implementations were independently verified.","MDER represents the average spectral ratio during viable paired minutes, not a ratio of daily totals; metric-specific missingness and model samples follow the 50% viable-minute rule.","IMP-013|DEV-051","audit/decisions/mder_mean_of_viable_ratios.md"
"IMP-023","scientific_deviation","approved_implemented_verified","For H01 L10 midpoint models, clock times strictly after 16:00 are represented on the preceding negative-hour scale; a noon-based conversion is retained as a same-row, same-model sensitivity.","The primary conversion avoids splitting the darkest-window midpoint across midnight in the fitted linear timing model.","H01 L10 midpoint coefficients depend on the declared circular-to-linear representation and are interpreted with its sensitivity.","","audit/decisions/h01_gate_resolution.md; audit/handoffs/H01_worker_handoff.md"
"IMP-024","scientific_deviation","approved_implemented_verified","Time below 10 lx melEDI before sleep is the cumulative duration across all diary-defined pre-sleep intervals on the local calendar date; no three-hour or six-hour cap is imposed, and values above six hours trigger an audit warning only.","This is the implemented construct accepted by the author and is now stated explicitly.","The metric can exceed six hours and should not be interpreted as exposure within a fixed pre-sleep window.","","audit/decisions/h01_gate_resolution.md; audit/handoffs/H01_worker_handoff.md"
