deviation_id,date_recorded,scope,record_type,status,preregistered_or_expected,observed_or_approved,rationale_or_evidence,likely_consequence,source_locator,next_action
DEV-037,2026-07-30,"H09 chronotype predictors","implemented_deviation","pending_author_decision","H09 registered both MCTQ and MEQ chronotype predictors","The current implementation uses MCTQ MSFsc only; MEQ is absent from code, outputs, and deviation documentation","Omission may reflect unavailable or unaudited scoring but has not been approved as an estimand change","Narrows the chronotype construct and removes all MEQ tests from H09","audit/evidence/preregistration_contract.md:172-177; audit/hypotheses/H09-H11_migration_map.md:280-298","Restore and audit MEQ or explicitly approve and document its omission or reclassification before H09 modelling"
DEV-038,2026-07-30,"H09 site adjustment","implemented_deviation","pending_author_decision","H09 registered Metric ~ chronotype * Site with participant nested in site","The current reported primary test and slopes come from a chronotype-only model without site; site-adjusted and interaction models are fitted but not used consistently for the reported estimate","A significance-driven model object is created, while estimates and R2 always use the chronotype-only fit","Changes the primary estimand, model provenance, and interpretation of chronotype slopes","audit/evidence/preregistration_contract.md:172-177; audit/hypotheses/H09-H11_migration_map.md:336-392; audit/ledgers/deviation_register.csv:27","Confirm a site-adjusted primary association and separate heterogeneity test or approve a different estimand, then regenerate all estimates from the declared model"
DEV-039,2026-07-30,"H09 multiplicity and model selection","implemented_deviation","pending_author_decision","H09 requires within-hypothesis FDR for five timing outcomes crossed with both registered chronotype instruments and site interactions","The current code applies scalar n=5 adjustments to three MCTQ comparison types, claims a nine-member site family, omits MEQ, and selects models using adjusted significance","The family partition and model-selection rule are not the registered complete vector","Adjusted conclusions, selected models, and reported slopes can change","audit/hypotheses/H09-H11_migration_map.md:394-418","Declare MCTQ and MEQ main and interaction families before fitting and do not select the reporting model by repaired significance"
DEV-040,2026-07-30,"H10 sex-by-site interaction","implemented_deviation","open_reaudit","H10 registered age and biological-sex predictors each interacting with site","The current sex-by-site model is fitted but no comparison, p-value, estimate, interval, or table field is produced for the sex interaction","The registered interaction was omitted from inference rather than declared non-estimable","Leaves part of H10 untested and can overstate a cross-site null result","audit/evidence/preregistration_contract.md:179-186; audit/hypotheses/H09-H11_migration_map.md:725-754","Run the registered sex-interaction test on an audited sparse-cell frame or record metric-specific non-estimability"
DEV-041,2026-07-30,"H10 multiplicity","implemented_deviation","pending_author_decision","H10 requires within-hypothesis FDR for age and sex associations and their site interactions","The current code sets n=34 but adjusts each sex, age, and age-interaction p-value separately; age and sex are not assembled as declared vectors and sex-interaction p-values are absent","The registration does not state whether age and sex share one main family or use separate families","Adjusted age/sex conclusions and sparse-interaction interpretation can change","audit/hypotheses/H09-H11_migration_map.md:725-754","Choose and freeze the age-main, sex-main, age-interaction, and sex-interaction family partition before vector-wide adjustment"
DEV-042,2026-07-30,"H11 outcome and epoch","implemented_deviation","pending_author_decision","H11 registered hourly geometric-mean melanopic EDI","The current H11 implementation models zero-aware-log-transformed arithmetic mean MEDI in 30-minute bins, inheriting the H02 adaptation without an H11 deviation entry","The adapted outcome can preserve the recognizable time curve but changes epoch, scale, support, and dependence","Changes the H11 estimand, row count, temporal correlation, and effect magnitude","audit/evidence/preregistration_contract.md:188-194; audit/hypotheses/H09-H11_migration_map.md:1013-1052","Choose the registered hourly outcome or approve the supported 30-minute adaptation with the registered outcome as a named sensitivity"
DEV-043,2026-07-30,"H11 sex estimand","implemented_deviation","pending_author_decision","The registered H11 full model contains both a parametric sex effect and a sex-specific cyclic time smooth","The current full model omits parametric sex and represents sex only with an sz time-deviation smooth","A deviation-only smooth cannot estimate a time-constant sex difference and does not implement the registered level-plus-shape estimand","Changes the H11 null hypothesis and interpretation of the sex pattern","audit/evidence/preregistration_contract.md:188-194; audit/hypotheses/H09-H11_migration_map.md:1070-1111","Define whether the primary test is joint level-plus-pattern or shape conditional on a sex main effect, and include the parametric term in the approved full model"
DEV-044,2026-07-30,"H11 temporal and site smooths","implemented_deviation","pending_author_decision","H11 registered cyclic sex smooths, a site factor smooth, and a site random effect","The current model uses non-explicitly-cyclic overall and sz sex/site deviations and omits the registered site random effect","The change was not documented for H11 and can affect midnight continuity and separation of site level from shape","Changes curve topology, site adjustment, effective degrees of freedom, and sex uncertainty","audit/evidence/preregistration_contract.md:188-194; audit/hypotheses/H09-H11_migration_map.md:1070-1111","Approve a cyclic registered or adapted temporal/site structure after identifiability and concurvity checks"
DEV-045,2026-07-30,"H11 participant hierarchy","implemented_deviation","pending_author_decision","H11 registered a participant random-effect smooth","The current model replaces or augments it with participant-specific time curves and an added participant-day random effect","The richer hierarchy may account for repeated patterns but has no H11 deviation rationale or approved variance target","Changes covariance, participant/day weighting, identifiability, and uncertainty","audit/evidence/preregistration_contract.md:188-194; audit/hypotheses/H09-H11_migration_map.md:1070-1111","Approve the participant and participant-day structure only after exact-frame identifiability, singularity, and autocorrelation checks"
DEV-046,2026-07-30,"H11 photoperiod adjustment","implemented_deviation","pending_author_decision","The H11 registration does not include a photoperiod-state temporal smooth","The current full and null models both add an sz time-by-photoperiod-state deviation","The term can control day/night state but is not daily photoperiod duration and was not documented as part of H11","Changes the conditional sex curve and attribution of temporal differences","audit/hypotheses/H09-H11_migration_map.md:1070-1111; audit/evidence/preregistration_contract.md:188-194","Decide whether the state smooth belongs in the primary model, a named sensitivity, or neither"
DEV-047,2026-07-30,"H11 contextual activity analysis","implemented_deviation","pending_author_decision","No activity-adjusted causal or mediation estimand was registered for H11","The current exploratory activity model changes the sample and is used to claim that the sex pattern is behaviourally driven","Covariate attenuation in contemporaneous observational data does not identify mediation and was not compared on an exact common sample","Can overstate mechanism and confound sample restriction with activity adjustment","audit/hypotheses/H09-H11_migration_map.md:1188-1221","Classify activity adjustment as a common-sample contextual sensitivity unless a separate causal estimand is approved"
DEV-048,2026-07-30,"H11 curve inference and multiplicity","implemented_deviation","pending_author_decision","H11 registered one temporal sex hypothesis with FDR if multiple tests were used","The current report converts pointwise sex-smooth intervals into a claimed significant time period and does not declare a global, level, shape, or time-grid multiplicity family","Pointwise exclusion does not control simultaneous coverage over the daily curve","Changes whether and when a sex-pattern difference can be claimed","audit/hypotheses/H09-H11_migration_map.md:1146-1188","Approve one global H11 test and simultaneous difference band; predeclare any separate level and shape family"
DEV-049,2026-07-30,"Computational environment","environment_migration","in_progress","The signed preregistration names R 4.5","The project is being restored and rerun under R 4.6.1; Matrix 1.7-6 and sf 1.1-2 replace lockfile versions required by the older runtime, and Shiny runtime dependencies were restored","The author required R 4.6.1 and the minimal package changes needed for compatibility; final lockfile snapshot remains gated on a complete clean run","Version-sensitive model fits, diagnostics, serialization, and rendering may change and must be re-baselined","audit/evidence/preregistration_contract.md:70-79; audit/environment/r-4.6.1-baseline.md","Complete all clean runs, compare scientific outputs, then snapshot the verified R 4.6.1 environment without a blanket package update"
DEV-050,2026-07-30,"LightLogR and analysis APIs","environment_migration","in_progress","The manuscript reports LightLogR 0.10.2 and analysis outputs from the earlier package/runtime stack","The canonical rebuild requires LightLogR 0.10.3, explicit half-open add_states bounds, full argument names, public circular-time APIs, and refitted version-sensitive modelling outputs","Static API audit found compatible public calls plus required repairs for partial matching, implicit interval bounds, and non-exported helpers","Boundary states, circular timings, IS/IV, model diagnostics, and reported software versions can change","audit/environment/lightlogr-api-audit.md; index.qmd:546","Finish the tested API migration, rerun all dependent artifacts, and report the versions actually used"
DEV-051,2026-07-30,"MDER metric definition","approved_metric_modification","approved","MDER is a melanopic daylight efficacy ratio calculated on a supported common signal domain","Replace the current mean of epoch-level MEDI/LIGHT ratios with the ratio of MEDI and LIGHT integrals over identical paired valid intervals; require a positive paired LIGHT integral and at least 0.80 ordinary paired fixed MEDI-profile and fixed LIGHT-profile support; use 0.70/0.90 sensitivities and never scale or profile-weight the ratio","Mean of ratios overweights low-light intervals and can use incompatible masks; the independently verified cutoff-neutral gate establishes the approved common-domain rule without inspecting repaired ratios or hypothesis results","Changes MDER values missingness samples and all H01/H05/H06/H10 results that use MDER; at the support gate 0.80 retains 733/811 near-eye and 825/897 chest instances while keeping all participants and sites represented","data_preparation.qmd:355-359; audit/decisions/metric_validity.md:121-135; audit/decisions/metric_implementation_parameters.md; audit/findings/mder_support_cutoff_gate.md; audit/ledgers/metric_validity.csv:19","Implement METRIC-003 in canonical Preparation 04 and compare repaired values denominators models and claims; downstream result comparisons remain open under CHG-018"
DEV-052,2026-07-30,"Melanopic EDI dose","approved_metric_modification","in_progress","Daily dose should represent an adequately supported integration interval","The current implementation sums observed partial exposure with na.rm; the approved repair retains observed actual-duration dose and applies a fixed-profile time-sensitive correction only when profile-weighted coverage is at least 0.80","An unqualified partial sum ignores when missing exposure occurred, while naive universal scaling would over-weight missing low-exposure night periods","Changes dose scale, missingness, model samples, and level of interpretation","data_preparation.qmd:355-355; audit/decisions/metric_implementation_parameters.md:71-84; audit/ledgers/metric_validity.csv:18","Complete the fixed-profile dose implementation, retain observed and corrected values, and compare downstream results"
DEV-053,2026-07-30,"IS and IV temporal support","approved_metric_modification","in_progress","IS and IV should quantify repeated-day regularity and true adjacent-hour fragmentation without bridging unobserved time","The approved implementation moves to explicit one-hour grids, requires at least three eligible days, uses at least 20 repeated clock hours for IS and at least 24 true adjacent pairs across three days for IV, collapses fall-back only for IS, and preserves both real hours for IV","The current na.rm-based calculations can return values on irregular support or treat rows across gaps as adjacent","Changes participant-level metric values, estimability, and downstream H01/H05/H06/H10 samples","audit/decisions/metric_validity.md:128-139; audit/decisions/metric_implementation_parameters.md:111-122; audit/ledgers/metric_validity.csv:20-21","Complete clean derivation and report value, support, and sample differences with reason-coded non-estimability"
DEV-054,2026-07-30,"Window, continuous-period, and timing support","approved_metric_modification","in_progress","M10/L10, continuous threshold periods, and threshold timings should represent supported contiguous clock intervals without compressing gaps","The approved repair requires 20 consecutive supported 30-minute bins for M10/L10, midnight wrap for L10, deterministic ties, gap-terminated continuous periods, circular duration-weighted mean timing, and boundary-censor support for first/last events","Current na.rm-based helpers can select incomplete windows, bridge gaps, or report observed boundaries as true event boundaries","Changes window levels and timings, duration/timing missingness, samples, and affected H01/H05/H06-H10 results","audit/decisions/metric_validity.md:98-112; audit/decisions/metric_implementation_parameters.md:86-109; audit/ledgers/metric_validity.csv:5-6; audit/ledgers/metric_validity.csv:13-17","Complete clean metric derivation and compare values and reason-coded denominators before reopening affected hypotheses"
DEV-055,2026-07-30,"Daily 80% coverage denominator","approved_preregistration_deviation","approved","The signed preregistration excludes participant-days below 80% valid wear time with sleep excluded from the daily denominator","Rule A remains primary: finite MEDI in eligible hours is evaluated against a fixed 1440-wall-minute day, intentionally treating worn waking and bedside diary-sleep measurements as the observed hybrid 24-hour cycle; Rules B and C are fixed sleep-excluded sensitivities","Rule A operationalizes the intended whole-cycle coverage question, but it conflicts with the literal signed wording and is therefore disclosed as a preregistration deviation rather than called preregistration-faithful; the decision preceded inspection of rebuilt hypothesis results","Primary flow remains 811 near-eye and 897 chest participant-days; Rule B yields 758 and 838, Rule C yields 757 and 837, and any material result instability reopens the affected hypothesis","audit/evidence/preregistration_contract.md:83-89; audit/decisions/daily_coverage_denominator.md; audit/findings/daily_coverage_denominator.md; scripts/pipeline/daily_coverage_rule_diagnostic.R:1-35; scripts/pipeline/build_daily_coverage_rule_diagnostic.R","Keep Rule A in the primary pipeline; run Rules B and C in the sensitivity battery with scenario-specific and common-sample flow, result comparisons, and stability classifications"
DEV-056,2026-07-30,"TUM exercise-diary participant key","approved_data_source_repair","approved","Questionnaire and diary source records should be joined under their correct immutable site-participant identifiers","The corrected upstream TUM exercisediary assigns the seven 2024-05-13 through 2024-05-19 records to TUM_S001 rather than TUM_S101; the corrected object is pinned directly and no local identifier rewrite is applied","The data owner confirmed the earlier identifier was erroneous and published a corrected upstream object; exact-source replacement is more auditable than maintaining a parallel manual correction","H06 exercise predictors and availability for the affected participant follow TUM_S001; no light metric participant-day or exposure value changes","config/model_input_source_pins.csv; audit/findings/preparation05_input_provenance_gaps.md; audit/reconciliation/preparation06/normalization_gate.md; audit/reconciliation/preparation06/tum_exercise_source_transition_columns.csv; tests/test_tum_exercise_source_transition.R","Use the corrected immutable upstream source in all model-data builds and compare H06 samples and results against the baseline identity when H06 is audited"
IMP-022,2026-07-30,"M10/L10 analytical metric scope","clarified_intended_behavior","approved","The registered and manuscript-facing brightest/darkest-window timing outcomes are the M10 and L10 midpoints","Package-compatible derivation also exposes window onset and offset; these are retained only as internal boundary diagnostics and are excluded from the analytical metric registry","The signed preregistration lists only the two midpoints and the manuscript reports only levels and midpoints; excluding convenience boundaries restores the intended outcome set without changing a metric value","Removes four non-registered convenience variables from author-facing comparison and prevents them from entering models multiplicity tables figures or claims; M10/L10 levels midpoints support and participant-days are unchanged","audit/evidence/preregistration_contract.md; audit/ledgers/decision_register.csv:METRIC-009; scripts/pipeline/metric_derivation.R; scripts/pipeline/preanalysis_comparison.R","Assert the four boundary variables are absent from every analytical registry and author-facing artifact while retaining only the minimum internal diagnostics needed to verify wrapping duration and tie handling"
"DEV-057","2026-07-31","Participant-day light-signal plausibility","approved_inclusion_repair","approved","The preregistration and submitted implementation use coverage and signal-validity rules but do not specify exclusion of an otherwise eligible complete day-long exact-zero melEDI series","The main analysis excludes an otherwise eligible participant-day when all finite one-minute melEDI values equal exactly 0 lx; individual zeros remain valid raw rows remain auditable and the former inclusion is retained as a fixed data sensitivity","Five placement-days had 1440 finite exact-zero melEDI values and were inconsistent with neighboring active recordings; an exact-zero rule is outcome-independent and avoids an arbitrary near-zero threshold","Removes two near-eye and three chest participant-days from the primary sample changes the paired set from 646 to 643 days and can affect metric support models and claims without removing any participant","audit/findings/all_zero_medi_days.md; audit/decisions/all_zero_medi_day_exclusion.md; scripts/pipeline/aggregation_coverage.R; scripts/pipeline/build_coverage_sample_flow.R","Rebuild Preparation 02 onward compare every affected H01-H11 sample result and claim and run the fixed all-zero-inclusive sensitivity"
"IMP-023","2026-07-31","H01 L10 midpoint response conversion","approved_prefit_transformation_amendment","approved","The submitted H01 implementation linearized the L10 midpoint by moving clock times strictly after noon onto negative hours","The primary H01 model moves clock times strictly after 16:00 onto negative hours and retains the noon conversion as a same-row same-model sensitivity","The author judged the nighttime midpoint to remain linear under this boundary and approved the change before releasing rebuilt H01 inference","Changes the transformed response for L10 observations after noon through 16:00 and can change H01 estimates diagnostics p-values and claims without changing raw L10 values or model rows","audit/decisions/h01_gate_resolution.md; scripts/hypotheses/H01/h01_contract.R; scripts/hypotheses/H01/h01_modeling.R","Repin both data inputs rerun all H01 models and diagnostics and compare the primary 16:00 and noon-conversion results"
"IMP-024","2026-07-31","H01 time below 10 lx melEDI before sleep","clarified_implemented_construct","approved","The outcome was described as time below 10 lx melEDI in the three hours before sleep and was checked against a three-hour ceiling","Retain the implemented cumulative value across all diary-defined pre-sleep intervals on the local calendar date; apply no three-hour or six-hour cap and use strictly above six hours only as an audit warning","Every value above three hours was explained by two valid pre-sleep intervals on the same calendar date rather than duplicated rows; the clarification preserves the prepared values","No metric value or model row changes from this clarification but the estimand name bound diagnostics and interpretation change","audit/decisions/h01_gate_resolution.md; audit/hypotheses/H01/H01_shared_pre_sleep_interval_evidence.csv; scripts/hypotheses/H01/audit_h01_major_gates.R","Repin both data inputs rerun response and fitted-model diagnostics and report any value strictly above six hours without truncation"
