finding_id,date,status,severity,scope,expected,observed,evidence_locator,potential_impact,decision_id,affected_units,resolution,reopening_condition
"FIND-035","2026-07-30","repair_verified","high","Direct CSV-to-RDS checks for manuscript-prepared sensitivity data","Every reader-facing CSV must be compared directly with its authoritative reconstructed RDS table, not only with a checksum in the same output inventory","A CSV value and its inventory checksum could be changed together while the verifier still returned PASS; ordinary CSV serialization also introduced at most 2.91e-11 numeric and subsecond timestamp differences","audit/findings/manuscript_prepared_csv_rds_parity.md; scripts/pipeline/verify_manuscript_prepared_data_artifacts.R; tests/test_manuscript_prepared_data.R","A corrupted source-data CSV could be accepted and later disagree with the verified RDS used by models","REPORT-006; SOURCE-001","Preparation 06; H01-H11 manuscript-prepared-data sensitivity; source-data export","Directly compare all five CSV/RDS pairs with exact keys categories and missingness plus 1e-12 numeric and less-than-one-second timestamp serialization tolerances; a CSV-plus-inventory tamper test now fails closed","Any paired CSV without direct RDS comparison broadened tolerance or CSV-plus-inventory alteration that passes verification"
"FIND-036","2026-07-30","repair_verified","high","Same-model H01 adapter for the manuscript-prepared-data sensitivity","The formal data sensitivity must operationally pass both prepared datasets through the same H01 implementation while retaining scenario-specific value definitions and honest support metadata","The raw sensitivity artifacts declared new_h01_h11 but the production H01 builder was hard-coded to main; timing units differed and 62 L10 midpoints were already negative; exact metric-support minutes were unavailable","audit/findings/h01_manuscript_prepared_adapter.md; scripts/pipeline/h01_manuscript_prepared_adapter.R; scripts/pipeline/build_h01_manuscript_prepared_data.R; scripts/pipeline/verify_h01_manuscript_prepared_data_artifacts.R; tests/test_h01_manuscript_prepared_adapter.R; tests/test_build_h01_manuscript_prepared_data.R","Without an operational adapter the formal sensitivity could silently use different model-data logic double-transform nighttime timing or overstate support provenance","REPORT-004; REPORT-005; REPORT-006","Preparation 06; H01 manuscript-prepared-data sensitivity; later H02-H11 adapters","Use the same shared H01 row sample-flow and exclusion implementation; preserve dose and MDER labels; restore negative L10 hours before one shared nighttime transform; record unavailable support honestly; independently rebuild and reject coordinated tampering","Any implementation or shared-code hash change scenario-specific model rule timing-unit change support-reconstruction change or failure to reconcile the exact fitted-model frame"
"FIND-037","2026-07-31","preparation_verified_downstream_rebuild_in_progress","high","Otherwise eligible participant-days with only zero melEDI values","An active personal light record should not contain a complete otherwise eligible 24-hour day in which every finite one-minute melEDI value is exactly 0 lx","Five placement-days had 1440 finite melEDI minutes and 1440 exact zeros: IZTECH_S009 on 2025-03-18 and 2025-03-19 at near-eye and chest plus THUAS_S002 chest on 2025-03-09","audit/findings/all_zero_medi_days.md; scripts/pipeline/aggregation_coverage.R; scripts/pipeline/build_coverage_sample_flow.R; scripts/pipeline/verify_coverage_artifacts.R; tests/test_aggregation_coverage.R; tests/test_build_coverage_sample_flow.R","Flat inactive or failed recordings would otherwise enter low-light metrics models and claims as fully observed exposure days","COVERAGE-002; DEV-057","Preparation 02-07; H01-H11; all placement and coverage sensitivities","Exclude only otherwise eligible exact-all-zero melEDI days preserve raw rows and reason-coded flags and retain an all-zero-inclusive data sensitivity; independent R verification gives 816 near-eye 902 chest and 643 paired eligible days","Any evidence that a full flat-zero series is valid any near-zero rather than exact-zero threshold scenario-specific screen or material sensitivity change"
"FIND-038","2026-08-01","analysis_verified","medium","H02 fitted-pattern variation estimand and stability","Claims must distinguish model-implied fitted-pattern variation from observed or uniquely explained variance and must preserve placement and common-sample uncertainty","The participant-plus-day/site ordering remained above one across near-eye chest preparation model-form and placement-matched checks; participant-only intervals included one at chest and in both placement-matched fits","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md; artifacts/09_tables/H02/variation_summary.csv; artifacts/09_tables/H02/formula_sensitivity_variation_summary.csv; artifacts/09_tables/H02/manuscript_prepared_stability.csv","Calling these quantities observed variance explained would overstate the construct and hiding the participant-only instability would overstate placement robustness","H02-MODEL-001","H02; H11 inheritance; manuscript Results and Discussion","Use fitted-curve dispersion and conditional Shapley fitted-model relevance terminology; state the stable combined ordering and the less-stable participant-only result with 95% confidence intervals","Any changed fitted sample formula contribution definition resampling hierarchy placement role or claim that converts fitted-pattern summaries into observed or causal variance"
"FIND-039","2026-08-01","diagnostic_verified","low","H02 common time-basis diagnostic","A whole-day common exposure curve should preserve midnight continuity unless a non-cyclic alternative materially improves fit or residual behavior","Changing only the common smooth from cyclic cubic to thin plate increased AIC by 5.988 near eye and 4.732 at chest left residual summaries essentially unchanged and produced 24:00/00:00 ratios of 1.006607 and 1.058287 instead of 1.000000","audit/decisions/h02_final_analysis.md; artifacts/09_tables/H02/global_time_basis_model_comparison.csv; artifacts/08_diagnostics/H02/global_time_basis_residual_metrics.csv; artifacts/08_diagnostics/H02/global_time_basis_midnight_continuity.csv","Selecting the non-cyclic alternative would weaken the boundary behavior without compensating evidence of better model performance","H02-MODEL-001","H02; H11 temporal inheritance","Retain the cyclic common time smooth and keep the thin-plate fit as a diagnostic-only sensitivity","A changed clock domain non-whole-day estimand material residual improvement under a non-cyclic basis or changed temporal model specification"
"FIND-040","2026-08-01","qualification_verified","medium","H02 residual and identifiability diagnostics","The selected temporal model must reduce serial dependence and disclose distributional or smooth-identifiability limitations that constrain inference","Boundary-aware AR correction reduced average lag-1 dependence but exact-zero lower-bound structure fitted-dependent residual spread some participant-day dependence and high formal common/site concurvity remain","audit/handoffs/H02_worker_handoff.md; notebooks/hypotheses/H02.qmd; artifacts/08_diagnostics/H02; artifacts/10_figures/H02/model_diagnostics_near_eye.png; artifacts/10_figures/H02/model_diagnostics_chest.png","Ignoring the remaining structure could make coefficient-level smooth interpretations or strong distributional claims appear more certain than supported","H02-MODEL-001","H02; H11 inheritance; manuscript limitations","Treat the models as acceptable with stated limitations; target constrained fitted curves and registered summaries rather than isolated smooth coefficients; carry the diagnostic contract into H11","Any materially worse convergence basis check residual dependence influence distributional behavior or identifiability result"
"FIND-041","2026-08-01","repair_verified","low","H02 comparison-ledger schema conformance","Every result-comparison row must reference exactly one registered implementation-audit row and use the declared practical-change vocabulary","H02-CMP-001 had an empty implementation_audit_id and used construct_changed where the centralized verifier permits not_comparable for non-interchangeable estimands","audit/ledgers/hypothesis_implementation_audit.csv; audit/ledgers/hypothesis_result_comparisons.csv; audit/scripts/verify_hypothesis_comparison_ledgers.R","The missing link and out-of-contract label blocked automated comparison-ledger verification but did not affect an H02 model result or claim","H02-MODEL-001","Central audit chain; H02","Register H02-IMP-001 link H02-CMP-001 to it and classify the explicitly non-interchangeable result as not_comparable without changing the comparison content","Any result-comparison row without a resolvable implementation ID duplicate implementation ID undeclared controlled-vocabulary value or changed accepted H02 specification"
"FIND-042","2026-08-01","repair_verified","low","Comparison-ledger terminology assertion","A structural verifier must test the currently approved reader-facing terminology rather than a superseded historical label","The comparison-ledger verifier still required manuscript-prepared-data sensitivity after REPORT-010 changed the contract text to gap-timing-unaware dataset sensitivity","audit/scripts/verify_hypothesis_comparison_ledgers.R; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/decisions/gap_timing_unaware_dataset_terminology.md","The stale assertion blocked a clean audit-ledger verification but did not affect any dataset analysis result or claim","REPORT-010","Central audit chain; H01-H11 comparison records","Update the literal structural assertion to the approved term and rerun the full comparison-ledger verifier under R 4.6.1","Any verifier assertion that requires superseded visible terminology or fails to detect the approved gap-timing-unaware contract"
"FIND-043","2026-08-01","documented_open","medium","Preparation 03 independent-verifier provenance","Any claim of complete independent reconstruction should resolve to the exact current reference-profile manifest","The stored 394-of-394 reconstruction resolves to manifest c8e02302521360d3a5cb18f49e0a97aed4a1f0ea64343ead68bde274cddce10d whereas the post-flat-zero-exclusion current manifest is 5e08099602682a4b951b0304764f341932ef2f03ccd4c62f32793ea82084e062 and no matching current verifier record was found","audit/findings/threshold_timing_zero_relevance_map.md; audit/handoffs/preparation_reports_shared_change_request.md; artifacts/12_manifests/reference_profile_artifacts.csv; audit/ledgers/change_log.csv","Without version-specific wording the Preparation 03 report would overstate verification of the current profile values; this is not evidence that those values or downstream results are incorrect","PREP-002","Preparation 03-06 provenance; H01-H11 audit chain","Report only demonstrably current identity and support checks attribute 394-of-394 to the preceding manifest and retain current-manifest reconstruction as an open audit item","A matching current-manifest verifier is found or run the manifest changes or verification identifies a discrepancy"
"FIND-044","2026-08-01","partially_resolved_metric_and_mder_verified_state_support_open","medium","Preparation 04 current-manifest independent-verifier provenance","Claims of complete independent reconstruction should resolve to the exact current metric MDER and state-support manifests","The current metric manifest 7bb2830c695e5600f0877acca500a187a040fe727a029bdb069f69099abe4f43 and active METRIC-010 MDER values classifications and sample flow now have matching independent R 4.6.1 reconstruction; the exact current state-support manifest 755508076e42ed74ce0d40f48de192b69ea81b04532db2d5a950c451236e2619 still lacks a matching complete independent reconstruction record","audit/decisions/mder_mean_of_viable_ratios.md; audit/decisions/preparation06_current_base_model_gate.md; scripts/pipeline/verify_metric_derivation_mder.R; artifacts/08_diagnostics/mder_METRIC-010/; artifacts/12_manifests/metric_artifacts.csv; artifacts/12_manifests/state_support_gate_artifacts.csv","Current metric and MDER verification may be stated without qualification; the remaining limitation applies only to exact current state-support classifications and is not evidence that those data are wrong","PREP-003; METRIC-010","Preparation 04-07 provenance; state-supported outcomes in H01-H11","Close the metric and MDER portions of FIND-044; retain version-specific wording and the open reconstruction item only for the exact current state-support manifest","A matching current state-support verifier is found or run any relevant manifest changes or verification identifies a discrepancy"
"FIND-045","2026-08-01","report_verified","low","H01 standalone reader-facing result","The accepted H01 report should render entirely from sealed outputs with semantic tables accessible figures exact samples intervals multiplicity diagnostics sensitivities and no leaked construction history","The final Nature Health HTML contains 36 semantic gt tables 10 alt-text-bearing figures and no cell-output error; the focused reporting verifier passes and the author approved the report","notebooks/hypotheses/H01.qmd; _build/nathealth/notebooks/hypotheses/H01.html; tests/hypotheses/H01/test_h01_reporting_inputs.R; artifacts/12_manifests/H01_worker_artifacts.csv","A failed or incomplete reader report would break claim-to-output review even if model artifacts remained valid","H01-010; H01-011","H01 Stage 3; manuscript result transfer","Retain the accepted standalone result as the authoritative H01 reader-facing report and preserve V0 comparison only in the separate Stage 2 audit","Any changed result-page source or HTML failed reporting test broken resource or claim beyond the verified scope"
"FIND-046","2026-08-01","figure_qa_verified","low","H01 reader-facing figure readability and accessibility","Displayed figures should remain legible and unclipped at their final dimensions with correct units site order colours captions alt text and placement interpretation","Direct original-dimension inspection found all ten H01 result figures and both preparation figures readable and unclipped; HTML structure and assets passed while automated browser reload of file URLs was unavailable by policy","audit/handoffs/H01_worker_handoff.md; notebooks/hypotheses/H01.qmd; audit/hypotheses/H01/H01_analysis_preparation.qmd; artifacts/12_manifests/H01_worker_artifacts.csv","Undetected rendering defects could obscure estimates diagnostics or placement qualifications; the browser-policy limitation does not indicate a scientific or source failure","REPORT-011; H01-011","H01 Stage 3 and Stage 4 figures","Accept the direct exported-figure and structural HTML checks; record the browser limitation as a verification-tool limitation rather than an analytical deviation","Any changed figure asset final dimensions failed alt text broken reference or later browser inspection revealing a material display defect"
"FIND-047","2026-08-01","provenance_verified","low","H01 analysis-preparation and provenance companion","The Stage 4 page should map sealed inputs scripts models inference diagnostics sensitivities and report artifacts without repeating expensive scientific computation","The final companion contains 20 semantic gt tables two alt-text-bearing figures reciprocal links byte-identical source and downloads and 53 verified manifest identities; executable chunks contain no prohibited fit prediction emmeans simulation or bootstrap calls","audit/hypotheses/H01/H01_analysis_preparation.qmd; _build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html; artifacts/12_manifests/H01/H01_preparation_report_manifest.csv; tests/hypotheses/H01/test_h01_preparation_report.R; audit/handoffs/H01_worker_handoff.md","Without this mapping the accepted H01 result could not be efficiently audited from data identity through final display","REPORT-007; H01-011","H01 Stage 4; final manuscript provenance","Accept the bounded companion and close H01; retain scientific recomputation in its producing scripts rather than the reader-page render","Any changed sealed identity source-copy mismatch prohibited scientific call broken reciprocal link failed verifier or discrepancy between companion and accepted result"
"FIND-048","2026-08-11","verified_repair_downstream_mder_updates_required","high","MDER estimand and pronounced distribution shift","MDER should average scientifically meaningful momentary spectral ratios and remain comparable on participant-days with sufficient viable paired support","The ratio-of-integrals implementation answered an illuminance-weighted question and shifted common-sample means upward by 0.123 near eye and 0.138 at the chest relative to METRIC-010. The earlier comparison with relabelled frozen gap-timing-unaware values was invalidated by FIND-049. After reconstructing both streams under the same approved estimand the primary and gap-timing-unaware common-sample means differ by only 0.000039 near eye and 0.000009 at the chest with correlations above 0.9997","audit/decisions/mder_mean_of_viable_ratios.md; artifacts/08_diagnostics/mder_METRIC-010/paired_comparisons.csv; artifacts/08_diagnostics/mder_METRIC-010/distribution_summary.csv; artifacts/08_diagnostics/mder_METRIC-010/non_mder_invariance.csv; audit/reconciliation/mder_METRIC-010_gap_repair/primary_gap_current_summary.csv","Explains the anomalously high descriptive MDER values and changes MDER samples models multiplicity vectors displays and claims while leaving every shared non-MDER participant-day field unchanged; FIND-049 separately records the corrected gap-timing-unaware reconstruction","METRIC-010; DEV-058; FIND-049","Descriptives; Preparation 03-06 provenance; H01; H05; daily H06 variant; H10","Use METRIC-010 as primary; reopen only MDER-dependent outputs; inspect current-estimand upper tails and influence; preserve all non-MDER fits results and claims; use only the repaired gap-timing-unaware values for sensitivity analyses","Any independent verifier failure downstream MDER discrepancy current-estimand influence problem or substantive MDER result instability"
"FIND-049","2026-08-11","repair_verified_downstream_gap_mder_updates_required","high","Gap-timing-unaware MDER reconstruction","A scenario labelled with the METRIC-010 MDER construct must calculate that construct from its pinned one-minute MEDI and LIGHT inputs and return metric-specific missingness when no viable positive ratio exists","The first repin copied frozen daily MDER values while relabelling them as the mean of viable one-minute ratios; this retained a construct-impossible finite zero for THUAS::THUAS_S002 at chest level on 2025-03-09 despite zero viable positive source pairs","audit/decisions/mder_mean_of_viable_ratios.md; audit/reconciliation/mder_METRIC-010_gap_repair/; scripts/pipeline/manuscript_prepared_data.R; scripts/pipeline/build_manuscript_prepared_data.R; scripts/pipeline/verify_manuscript_prepared_data_artifacts.R","Gap-timing-unaware MDER samples values and MDER-dependent sensitivity models were wrong under the approved estimand; all 25620 non-MDER participant-day cells were exactly unchanged","METRIC-010; DEV-058; CHG-101","Preparation 04 and 06 provenance; Descriptives; H01; H05; daily H06 variant; H10","Recalculate gap-timing-unaware MDER from the pinned one-minute inputs; require 720 viable strictly positive finite pairs; repair the impossible zero to reason-coded NA; repin shared and H01 inputs; rerun only MDER-dependent hypothesis branches and complete-family derived fields","Any gap MDER builder or input change verifier failure non-MDER mismatch reappearance of a nonpositive finite MDER or downstream discrepancy"
"FIND-050","2026-08-12","repair_verified_downstream_l10_updates_required","high","Positive L10 numerical residuals from all-zero source windows","A non-negative L10 mean derived from a selected window whose every finite source minute is exactly zero should be stored and modelled as exact zero while preserving missing minutes and source evidence","Eight primary L10 mean cells were stored as 4.163336342344337e-17 lx after offset geometric-mean backtransformation; seven windows contain 600 observed zero minutes and one chest window contains 547 observed zeros plus 53 missing minutes while satisfying the existing 80% support rule","audit/findings/l10_positive_roundoff.md; audit/decisions/l10_numerical_zero_normalization.md; audit/reconciliation/l10_METRIC-011/; artifacts/05_metrics/metrics_glasses_numerical_zero_audit.csv; artifacts/05_metrics/metrics_chest_numerical_zero_audit.csv","The numerical magnitude is negligible but treating these cells as positive changes zero-mass classification and the component entered in two-part models; affected L10 estimates diagnostics multiplicity derivatives displays and claims require bounded reconciliation","METRIC-011; FIND-033; CHG-106","Preparation 04-06 provenance; Descriptives; H01; H05; H07; H08; H10; H06 daily variant","Apply the shared source-verified numerical-zero rule before model-frame construction; retain exact zeros in zero-capable outcomes and occurrence components; rebuild only L10-dependent downstream branches and preserve all non-L10 fits and raw inferential results","Any METRIC-011 rule or input change verifier failure L10 discrepancy non-L10 scientific change failure to retain a zero in a zero-capable branch or downstream reconciliation failure"
